ano,clube,jogador,pos11,idade,Altura,minutos,fatia,Contrato termina,Golos de cabeça/90,Golos de cabeça,Duelos aéreos/90,"Duelos aéreos ganhos, %",Golos esperados/90,Remates/90,Toques na área/90,rendimento,faixa,aereos_ganhos_90
2022,CRB,Raul Prata,LD,34.0,176.0,2482,0.6630883567299752,2027-04-30,0.0,0,2.57,43.66,0.02,0.44,0.8,-0.06933256682494893,Meio,1.122062
2022,CRB,Guilherme Romão,LE,24.0,176.0,2241,0.5987030650410453,2028-12-31,0.0,0,3.73,46.24,0.03,0.64,0.48,-0.06933256682494893,Meio,1.724752
2022,CRB,Fabinho,ED,22.0,180.0,2166,0.578666148540341,2027-12-31,0.0,0,1.66,30.0,0.17,1.29,1.54,-0.06933256682494893,Meio,0.498
2022,CRB,Yago Henrique,VOL,27.0,180.0,1995,0.5329819789187351,,0.0,0,3.02,49.25,0.04,0.5,0.63,-0.06933256682494893,Meio,1.4873500000000002
2022,CRB,Rafael Longuine,MEI,32.0,174.0,1962,0.5241657356584253,,0.0,0,1.19,19.23,0.12,1.97,1.1,-0.06933256682494893,Meio,0.228837
2022,CRB,Reginaldo,LD,29.0,174.0,1947,0.5201583523582843,2026-11-30,0.0,0,1.8,38.46,0.04,0.23,0.6,-0.06933256682494893,Meio,0.6922800000000001
2022,CRB,Emerson Negueba,EE,21.0,175.0,1928,0.5150823335114393,2026-12-31,0.0,0,3.5,32.0,0.13,1.59,1.96,-0.06933256682494893,Meio,1.12
2022,CRB,Wellington Carvalho,ZE,29.0,185.0,1829,0.48863360373050957,,0.0,0,3.94,56.25,0.05,0.15,0.2,-0.06933256682494893,Meio,2.21625
2022,CRB,Richard Rodrigues,EE,22.0,171.0,1388,0.3708165347063681,2026-09-15,0.0,0,3.89,36.67,0.24,2.2,2.07,-0.06933256682494893,Meio,1.4264630000000003
2022,CRB,Diego Ivo,ZE,33.0,188.0,1361,0.36360324476611455,,0.0,0,4.1,59.68,0.03,0.26,0.46,-0.06933256682494893,Meio,2.4468799999999997
2022,CRB,Gilvan,ZE,32.0,188.0,1083,0.2893330742701705,,0.0,0,4.99,66.67,0.01,0.17,0.42,-0.06933256682494893,Meio,3.326833
2022,CRB,Gabriel Conceição,CA,21.0,180.0,1078,0.2879972798367902,,0.0,0,6.76,40.74,0.13,1.09,1.92,-0.06933256682494893,Meio,2.754024
2022,CRB,Juninho Valoura,VOL,36.0,172.0,1072,0.28639432651673385,,0.0,0,2.69,40.63,0.03,1.26,0.25,-0.06933256682494893,Meio,1.0929470000000001
2022,CRB,Marthã,VOL,25.0,181.0,1058,0.2826541021032691,,0.0,0,3.06,52.78,0.01,0.26,0.0,-0.06933256682494893,Meio,1.615068
2022,CRB,Uillian Correia,VOL,32.0,184.0,1054,0.28158546655656486,,0.0,0,1.88,59.09,0.01,0.26,0.09,-0.06933256682494893,Meio,1.110892
2022,CSA,Marcelo Carné,GOL,32.0,188.0,3268,0.8740942469484025,2026-11-30,0.0,0,0.58,80.95,0.0,0.0,0.0,-0.2412591642698685,Cai,0.46951
2022,CSA,Diego Renan,LE,32.0,172.0,2844,0.7606866702329427,,0.0,0,3.1,56.12,0.03,0.73,0.44,-0.2412591642698685,Cai,1.7397200000000002
2022,CSA,Gabriel,MEI,32.0,178.0,2743,0.7336721295530808,2026-12-31,0.0,0,1.57,52.08,0.05,1.02,0.72,-0.2412591642698685,Cai,0.817656
2022,CSA,Osvaldo,EE,35.0,169.0,2144,0.5734571803725138,2026-12-31,0.0,0,1.39,24.24,0.15,1.93,2.98,-0.2412591642698685,Cai,0.33693599999999996
2022,CSA,Lourenço,ED,24.0,169.0,1908,0.5103340952195692,2026-11-30,0.0,0,3.16,29.85,0.16,2.5,1.89,-0.2412591642698685,Cai,0.9432600000000001
2022,CSA,Werley,ZE,33.0,184.0,1621,0.43357000437679327,,0.0,0,5.05,65.93,0.07,0.61,0.72,-0.2412591642698685,Cai,3.3294650000000003
2022,CSA,Giva,VOL,23.0,180.0,1609,0.4303603559791859,,0.0,0,2.57,30.43,0.03,0.56,0.39,-0.2412591642698685,Cai,0.7820509999999998
2022,CSA,Igor Inocêncio,LD,24.0,185.0,1597,0.4271507075815786,2026-11-30,0.0,0,4.45,60.76,0.02,0.62,0.56,-0.2412591642698685,Cai,2.70382
2022,CSA,Lucas Marques,LD,24.0,173.0,1381,0.36937703642464625,,0.0,0,3.32,50.98,0.03,0.52,0.72,-0.2412591642698685,Cai,1.6925359999999998
2022,CSA,Wellington,ZD,27.0,187.0,1358,0.36322521032923216,2027-06-30,0.0,0,4.18,49.21,0.03,0.27,0.46,-0.2412591642698685,Cai,2.056978
2022,CSA,Yann Rolim,MEI,27.0,173.0,1071,0.28646111948645625,2026-09-30,0.0,0,1.68,30.0,0.16,1.76,2.52,-0.2412591642698685,Cai,0.504
2022,CSA,Élton,CA,36.0,185.0,907,0.24259592471915578,,0.0,0,6.95,27.14,0.24,1.98,3.47,-0.2412591642698685,Cai,1.8862300000000003
