ano,clube,jogos_sofa,gp_x,gc_x,pen,pen_sof,esc_fav,esc_contra,xg_bp_pro,xg_bp_sof,pro_esc,sof_esc,pro_fd,sof_fd,pro_fi,sof_fi,pro_lat,sof_lat,bp_pro_sem_pen,bp_sof_sem_pen,bp_pro,bp_sof,saldo_bp,saldo_bp_sem_pen,saldo_bola_rolando,pct_gols_bp,gols_por_escanteio_pct,gols_sof_por_escanteio_pct,saldo_xg_bp,bp_com_rem_pct,cantos_com_rem_pct,livres_com_rem_pct,cantos_pj,duel_aer_pct,altura_media,jogos,pontos,gp_y,gc_y,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento
2023,Botafogo-SP,38,25,42,2,2,200,204,0.0,0.0,4,6,1,2,3,1,1,0,9,9,11,11,0,0,-17,44.0,2.0,2.9411764705882355,0.0,12.865263157894736,24.97394736842105,35.08763157894737,5.2631578947368425,42.72210526315789,1.8145098039215688,38,47,25.0,42.0,-17.0,12,-17,1.236842105263158,Meio,8600000.0,15.967272761223736,16.0,1.223173493450667,0.013668611812490905
2023,CRB,38,45,39,0,5,160,189,0.0,0.0,7,9,1,0,4,3,0,0,12,12,12,17,-5,0,11,26.666666666666668,4.375,4.761904761904762,0.0,12.925263157894738,35.28815789473684,32.28026315789474,4.2105263157894735,45.24131578947369,1.8176923076923077,38,57,45.0,39.0,6.0,10,-7,1.5,Meio,13900000.0,16.44739939810092,10.5,1.3493742365976384,0.15062576340236156
2023,Ceará,38,40,45,4,6,205,189,0.0,0.0,6,4,2,0,3,1,0,0,11,5,15,11,4,6,-9,37.5,2.926829268292683,2.1164021164021163,0.0,12.366052631578947,25.302105263157895,16.200526315789475,5.394736842105263,45.368947368421054,1.8116949152542372,38,50,40.0,45.0,-5.0,11,-14,1.3157894736842106,Meio,35475000.0,17.38433878101038,1.0,1.5956476930671757,-0.27985821938296507
2023,Chapecoense,38,38,43,5,4,185,198,0.0,0.0,6,0,1,1,3,4,0,1,10,6,15,10,5,4,-10,39.473684210526315,3.2432432432432434,0.0,0.0,13.289473684210526,38.655789473684216,17.062105263157896,4.894736842105263,47.43394736842105,1.8062,38,40,38.0,43.0,-5.0,16,-24,1.0526315789473684,Meio,16325000.0,16.60820823312677,6.0,1.3916426568978695,-0.3390110779505011
2023,Criciúma,38,45,33,5,2,188,219,0.0,0.0,5,6,2,0,2,2,0,1,9,9,14,11,3,0,9,31.11111111111111,2.6595744680851063,2.73972602739726,0.0,12.79763157894737,25.252368421052633,17.41236842105263,5.0,45.225,1.807906976744186,38,64,45.0,33.0,12.0,3,0,1.6842105263157894,Sobe,10900000.0,16.204273347199372,12.0,1.2854688292623395,0.39874169705344986
2023,Guarani,38,42,33,3,1,198,188,0.0,0.0,6,9,0,0,1,1,0,0,7,10,10,11,-1,-3,10,23.80952380952381,3.0303030303030303,4.787234042553192,0.0,12.137368421052633,29.057105263157897,16.139999999999997,5.2105263157894735,43.33973684210527,1.8041176470588236,38,57,42.0,33.0,9.0,9,-7,1.5,Meio,14200000.0,16.46875252257149,8.0,1.354986881199535,0.14501311880046508
2023,Ituano,38,33,38,1,4,213,171,0.0,0.0,3,5,1,0,3,3,0,1,7,9,8,13,-5,-2,0,24.242424242424242,1.408450704225352,2.9239766081871346,0.0,12.906842105263157,27.187105263157893,19.56736842105263,5.578947368421052,44.51157894736842,1.8017857142857143,38,42,33.0,38.0,-5.0,14,-22,1.105263157894737,Meio,6225000.0,15.644084000315045,20.0,1.1382236933964398,-0.03296053550170286
2023,Juventude,38,42,31,6,0,173,170,0.0,0.0,7,5,2,2,4,5,0,0,13,12,19,12,7,1,4,45.23809523809524,4.046242774566474,2.9411764705882355,0.0,13.587368421052632,34.49552631578947,23.627368421052633,4.552631578947368,44.67526315789474,1.816153846153846,38,65,42.0,31.0,11.0,2,1,1.7105263157894737,Sobe,16825000.0,16.638376433495065,5.0,1.3995723342235191,0.31095398156595455
2023,Londrina,38,31,58,5,4,236,210,0.0,0.0,7,11,3,1,1,4,0,0,11,16,16,20,-4,-5,-23,51.61290322580645,2.9661016949152543,5.238095238095238,0.0,12.708684210526316,32.22052631578948,15.043421052631578,6.2105263157894735,43.51315789473684,1.8078873239436621,38,31,31.0,58.0,-27.0,19,-33,0.8157894736842105,Cai,7700000.0,15.856730886823913,18.0,1.1941176868641952,-0.37832821317998466
2023,Mirassol,38,42,31,6,2,165,187,0.0,0.0,3,6,2,0,6,4,0,0,11,10,17,12,5,1,6,40.476190476190474,1.8181818181818181,3.2085561497326203,0.0,14.204210526315789,31.22184210526316,28.94763157894737,4.368421052631579,48.51342105263158,1.7974468085106383,38,63,42.0,31.0,11.0,7,-1,1.6578947368421053,Meio,14900000.0,16.51687177091569,7.0,1.3676349711705669,0.29025976567153844
