ano,clube,jogador,pos11,idade,minutos,fatia,Contrato termina,Cantos/90,Livres/90,Livres directos/90,Assistências esperadas/90,Passes para a área de penálti/90,Cruzamentos/90,"Cruzamentos certos, %",rendimento,faixa,cantos_temp,livres_temp
2022,Grêmio,Diogo Barbosa,LE,30.0,1635,0.4824949698189135,2026-11-30,0.94,0.5,0.0,0.07,2.48,2.64,37.5,0.025855751827733586,Sobe,17.076666666666664,9.083333333333334
2022,Ponte Preta,Norberto,LD,32.0,1247,0.3296959500060089,,1.23,0.43,0.0,0.04,2.89,3.18,25.0,-0.16202681237652006,Meio,17.042333333333332,5.957888888888889
2022,Bahia,Rildo,EE,22.0,976,0.26307277628032344,2027-06-30,1.48,1.2,0.55,0.11,1.75,2.4,23.08,0.16512566879886736,Sobe,16.049777777777777,13.013333333333334
2022,CSA,Gabriel,MEI,32.0,2743,0.7336721295530808,2026-12-31,0.52,0.23,0.03,0.12,3.28,2.23,41.18,-0.2412591642698685,Cai,15.848444444444446,7.009888888888889
2022,Novorizontino,Danielzinho,VOL,27.0,2176,0.5821577974511138,2027-12-31,0.62,0.62,0.17,0.1,2.27,1.32,21.88,-0.13704714893867997,Meio,14.99022222222222,14.99022222222222
2022,CRB,Raul Prata,LD,34.0,2482,0.6630883567299752,2027-04-30,0.51,0.54,0.0,0.09,2.03,2.43,34.33,-0.06933256682494893,Meio,14.064666666666666,14.892000000000003
2022,Londrina,Eltinho,LE,35.0,1057,0.28169594185342217,,1.17,0.72,0.18,0.04,1.54,1.72,10.53,0.22893520831096859,Meio,13.740999999999998,8.456
2022,Grêmio,Janderson,ED,23.0,954,0.28152917505030184,2027-11-30,1.23,0.19,0.0,0.1,3.4,3.21,41.18,0.025855751827733586,Sobe,13.038,2.014
2022,Operário-PR,Felipe Saraiva,EE,24.0,1010,0.27377344077277543,2026-12-31,1.16,0.27,0.09,0.08,1.07,1.34,33.33,-0.39133416123100295,Cai,13.017777777777777,3.0300000000000007
2022,Ponte Preta,Igor Formiga,LD,23.0,1980,0.5234947722629492,2026-12-31,0.59,0.41,0.09,0.1,2.91,3.0,43.94,-0.16202681237652006,Meio,12.98,9.02
2022,Guarani,Yago César,ED,25.0,1269,0.3424261008217834,2027-06-30,0.92,0.21,0.07,0.17,3.26,3.4,35.42,0.053639264952930255,Meio,12.972,2.9610000000000003
2022,Novorizontino,Felipe Albuquerque,LD,22.0,996,0.2664656094950871,2026-10-30,1.17,0.81,0.18,0.08,3.98,4.43,30.61,-0.13704714893867997,Meio,12.947999999999999,8.964
2022,Operário-PR,Giovanni Pavani,EE,25.0,1840,0.49875557526921466,2027-12-31,0.59,0.2,0.05,0.05,2.4,2.15,20.45,-0.39133416123100295,Cai,12.062222222222221,4.088888888888889
2022,Ponte Preta,Echaporã,EE,22.0,1104,0.29188799423146256,2026-11-30,0.98,0.41,0.33,0.08,2.45,3.42,19.05,-0.16202681237652006,Meio,12.021333333333335,5.029333333333333
2022,CRB,Guilherme Romão,LE,24.0,2241,0.5987030650410453,2028-12-31,0.48,0.36,0.08,0.03,1.57,1.89,46.81,-0.06933256682494893,Meio,11.952,8.964
