ano,clube,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,gols,artilheiro_pct,top3_pct,marcadores,gols_zaga_vol,gols_laterais,pts_apos_derrota,pts_apos_vitoria,maior_seq_sem_vencer,pts_casa,pts_fora,dias_lesao,lesionados,elenco_tm
2023,Botafogo-SP,38,47,25.0,42.0,-17.0,12,-17,1.236842105263158,Meio,8600000.0,15.967272761223736,16.0,1.223173493450667,0.013668611812490905,25.0,20.0,44.0,14.0,4.0,3.0,1.5,1.5,9,1.368421052631579,1.105263157894737,418,3,52
2023,Avaí,38,44,31.0,48.0,-17.0,13,-20,1.1578947368421053,Meio,20300000.0,16.826131444012017,3.0,1.448923526256774,-0.2910287894146686,27.0,14.814814814814815,40.74074074074074,15.0,1.0,1.0,1.2857142857142858,0.8,11,1.263157894736842,1.0526315789473684,32,1,67
2023,Ituano,38,42,33.0,38.0,-5.0,14,-22,1.105263157894737,Meio,6225000.0,15.644084000315045,20.0,1.1382236933964398,-0.03296053550170286,31.0,16.129032258064516,41.935483870967744,12.0,3.0,2.0,1.4285714285714286,0.7777777777777778,10,1.368421052631579,0.8421052631578947,292,2,57
2023,Ponte Preta,38,42,24.0,35.0,-11.0,15,-22,1.105263157894737,Meio,10675000.0,16.18341511707896,13.0,1.2799862670803126,-0.17472310918557565,24.0,20.833333333333332,50.0,13.0,2.0,3.0,1.2142857142857142,1.125,10,1.368421052631579,0.8421052631578947,211,1,46
2023,Chapecoense,38,40,38.0,43.0,-5.0,16,-24,1.0526315789473684,Meio,16325000.0,16.60820823312677,6.0,1.3916426568978695,-0.3390110779505011,38.0,21.05263157894737,39.473684210526315,17.0,4.0,3.0,1.0625,1.125,9,1.1578947368421053,0.9473684210526315,134,2,51
2023,Sampaio Corrêa,38,39,31.0,43.0,-12.0,17,-25,1.0263157894736843,Cai,8500000.0,15.955576721460545,17.0,1.2200992026352449,-0.19378341316156056,29.0,44.827586206896555,65.51724137931035,13.0,2.0,2.0,1.1428571428571428,0.625,11,1.368421052631579,0.6842105263157895,0,0,66
2023,Tombense,38,37,37.0,50.0,-13.0,18,-27,0.9736842105263158,Cai,6950000.0,15.754252217540975,19.0,1.1671812846176195,-0.19349707409130368,36.0,25.0,55.55555555555556,13.0,3.0,2.0,1.0,1.1111111111111112,9,1.1578947368421053,0.7894736842105263,54,2,49
2023,Londrina,38,31,31.0,58.0,-27.0,19,-33,0.8157894736842105,Cai,7700000.0,15.856730886823913,18.0,1.1941176868641952,-0.37832821317998466,31.0,22.580645161290324,51.61290322580645,13.0,11.0,0.0,0.8571428571428571,0.5,9,1.1578947368421053,0.47368421052631576,173,2,71
2023,ABC,38,28,28.0,51.0,-23.0,20,-36,0.7368421052631579,Cai,9400000.0,16.056220247240233,15.0,1.2465532394888115,-0.5097111342256536,25.0,20.0,48.0,11.0,0.0,0.0,0.75,1.0,14,0.8421052631578947,0.631578947368421,54,1,70
2024,Santos,38,68,57.0,32.0,25.0,1,4,1.7894736842105263,Sobe,64075000.0,17.97556483021441,1.0,1.7510507910137747,0.03842289319675163,56.0,17.857142857142858,42.857142857142854,17.0,5.0,3.0,1.4444444444444444,1.7,4,2.1052631578947367,1.4736842105263157,1508,18,60
2024,Mirassol,38,67,42.0,26.0,16.0,2,3,1.763157894736842,Sobe,16975000.0,16.647252231409034,9.0,1.401905327660523,0.36125256707631914,40.0,22.5,47.5,13.0,6.0,2.0,2.0,1.4444444444444444,4,2.4210526315789473,1.105263157894737,237,4,49
2024,Sport,38,66,57.0,37.0,20.0,3,2,1.736842105263158,Sobe,20975000.0,16.858841810317543,6.0,1.457521409022072,0.2793206962410859,57.0,17.54385964912281,45.6140350877193,17.0,6.0,3.0,1.1,1.6666666666666667,3,2.0526315789473686,1.4210526315789473,681,6,49
2024,Ceará,38,64,59.0,41.0,18.0,4,0,1.6842105263157894,Sobe,24725000.0,17.02332543547305,4.0,1.5007557437491474,0.18345478256664194,58.0,22.413793103448278,56.89655172413793,14.0,7.0,2.0,1.6666666666666667,1.631578947368421,4,2.3684210526315788,1.0,625,6,50
2024,Novorizontino,38,64,43.0,31.0,12.0,5,0,1.6842105263157894,Meio,11000000.0,16.213405830762646,16.0,1.2878692922317736,0.3963412340840158,39.0,20.512820512820515,46.15384615384615,14.0,10.0,1.0,1.3333333333333333,1.2222222222222223,3,1.894736842105263,1.4736842105263157,258,4,48
