pos11,jogador,clube,liga,mercado,idade,minutos,contrato,livre,tec_A,fis_A,patamar_A,psv,aderencia
ZE,B. Valdez,Sportivo Trinidense,Paraguai,Sul-americano,33.0,1677,2026-12-31,True,50.0,33.0,42.0,27.76,49.1
ED,G. Mainero,Platense,Argentina A,Sul-americano,31.0,1561,2027-12-31,False,49.0,36.0,42.0,28.46,47.0
CA,L. Delgado,San Miguel,Argentina B,Sul-americano,31.0,1533,2026-12-31,True,42.0,,42.0,,48.3
ZE,J. Ludueña,Unión Santa Fe,Argentina A,Sul-americano,23.0,2050,2026-12-31,True,56.0,27.0,42.0,28.1,56.6
CA,C. Ocampos,Sportivo Ameliano,Paraguai,Sul-americano,27.0,1006,2026-12-31,True,52.0,32.0,42.0,28.16,45.8
ED,Stiwart Acuña,Envigado,Colombia B,Sul-americano,27.0,1512,2026-12-31,True,42.0,,42.0,,42.6
MEI,Vitinho,Fortaleza,Brasil B,Série B,25.0,1348,2026-12-31,True,37.0,46.0,42.0,29.68,34.2
LD,M. Albarracín,Estudiantes Caseros,Argentina B,Sul-americano,26.0,1407,2026-12-31,True,42.0,,42.0,,29.8
MED,J. Lobo,Estudiantes de Mérida,Venezuela,Sul-americano,24.0,1017,2026-12-31,True,42.0,,42.0,,44.3
CA,A. Peralta,Cúcuta Deportivo,Colombia A,Sul-americano,21.0,1028,2027-12-31,False,61.0,24.0,42.0,29.05,65.6
ZE,Zé Marcos,Sport,Brasil B,Série B,28.0,1173,2027-12-31,False,58.0,27.0,42.0,28.24,68.7
EE,Clayson,Sport,Brasil B,Série B,31.0,1133,2026-11-30,True,25.0,59.0,42.0,28.62,39.4
LE,V. Fernández,Everton,Chile,Sul-americano,27.0,1000,2026-12-31,True,31.0,52.0,42.0,29.31,37.1
ZE,R. Garay,Chaco For Ever,Argentina B,Sul-americano,29.0,1284,2026-12-31,True,42.0,,42.0,,38.6
CA,João Victor,Paços de Ferreira,Portugal B,Exterior,26.0,2174,2026-06-30,True,42.0,,42.0,,42.5
VOL,Zé Ricardo,Avaí,Brasil B,Série B,30.0,1697,2026-12-31,True,30.0,53.0,42.0,27.46,44.3
EE,L. Fragozo,Emelec,Equador A,Sul-americano,16.0,936,,True,52.0,33.0,42.0,30.21,68.1
GOL,L. Terán,Trujillanos,Venezuela,Sul-americano,32.0,992,,True,42.0,,42.0,,35.6
GOL,E. Lima,Monagas,Venezuela,Sul-americano,33.0,961,,True,42.0,,42.0,,45.2
CA,B. Miranda,Aucas,Equador A,Sul-americano,28.0,913,,True,51.0,34.0,42.0,28.82,49.4
ZE,B. Córdoba,América de Cali,Colombia A,Sul-americano,26.0,1006,2029-06-30,False,38.0,45.0,42.0,28.76,53.0
VOL,K. Coba,Atlético Vinotinto,Equador B,Sul-americano,30.0,1429,2026-12-31,True,42.0,,42.0,,35.5
MED,Bruno Ritter,Al Najma,Bahrain,Exterior,27.0,1569,,True,42.0,,42.0,,31.8
LE,S. Franca,Cerro Largo,Uruguai,Sul-americano,23.0,1610,2026-12-31,True,52.0,32.0,42.0,28.63,59.8
MEI,R. Atencio,Independiente Rivadavia,Argentina A,Sul-americano,24.0,988,2029-12-31,False,56.0,29.0,42.0,27.11,53.1
MED,W. Godoy,Atletico FC,Equador B,Sul-americano,32.0,1802,2026-12-31,True,42.0,,42.0,,43.6
ZE,R. Cabezas,El Nacional,Equador B,Sul-americano,26.0,1762,2026-12-31,True,42.0,,42.0,,49.4
EE,L. Assadi,Universidad de Chile,Chile,Sul-americano,22.0,909,2028-12-31,False,60.0,23.0,42.0,30.23,74.0
ED,C. Romero,Rayo Zuliano,Venezuela,Sul-americano,21.0,913,,True,42.0,,42.0,,40.9
LE,E. Velasco,Deportivo Cali,Colombia A,Sul-americano,34.0,2115,2027-06-30,True,42.0,41.0,42.0,29.2,43.3
LD,J. Arcos,Independiente Juniors,Equador B,Sul-americano,20.0,1635,,True,42.0,,42.0,,41.7
CA,R. Bentancourt,Liverpool,Uruguai,Sul-americano,33.0,1528,2026-12-31,True,45.0,40.0,42.0,28.07,49.7
LD,A. De Freitas,Sport,Brasil B,Série B,18.0,1202,2027-08-31,False,27.0,58.0,42.0,29.04,38.4
GOL,A. Lastra,Estudiantes Río Cuarto,Argentina A,Sul-americano,25.0,1077,2027-12-31,False,42.0,,42.0,,34.6
EE,N. Lopez,Progreso,Uruguai,Sul-americano,19.0,1402,2027-12-31,False,46.0,38.0,42.0,28.77,80.8
MED,Juan Carrizo,Chaco For Ever,Argentina B,Sul-americano,25.0,1354,2026-12-31,True,42.0,,42.0,,39.9
VOL,F. Mosquera,Jaguares de Córdoba,Colombia A,Sul-americano,31.0,1090,,True,42.0,,42.0,,39.9
ZD,S. Callegari,Orense,Equador A,Sul-americano,29.0,1086,2026-12-31,True,52.0,31.0,42.0,27.76,59.5
ED,G. Marín,Anzoátegui FC,Venezuela,Sul-americano,25.0,1087,2026-12-31,True,42.0,,42.0,,30.0
MED,N. Del Priore,Tristán Suárez,Argentina B,Sul-americano,29.0,1924,2026-12-31,True,42.0,,42.0,,44.2
LD,C. Barrio,22 de Julio,Equador B,Sul-americano,24.0,965,,True,42.0,,42.0,,53.8
ED,D. De Sousa,UCV,Venezuela,Sul-americano,22.0,1053,2026-12-31,True,42.0,,42.0,,45.5
MEI,A. Arroyo,Fortaleza,Colombia A,Sul-americano,24.0,1797,2027-06-30,True,63.0,21.0,42.0,27.0,59.7
ZD,F. Allauca,Gualaceo,Equador B,Sul-americano,24.0,1088,,True,42.0,,42.0,,37.0
LE,A. Frugone,Defensor Sporting,Uruguai,Sul-americano,21.0,2129,2027-12-31,False,39.0,46.0,42.0,29.31,43.6
LE,M. De Ritis,San Lorenzo,Argentina A,Sul-americano,23.0,1329,2026-12-31,True,42.0,41.0,42.0,27.94,41.7
ZD,F. Costantini,Beroe,Bulgaria,Exterior,26.0,2796,2027-06-30,True,42.0,,42.0,,40.3
CA,S. Herrera,Fortaleza,Colombia A,Sul-americano,31.0,1049,,True,54.0,29.0,42.0,27.83,50.3
EE,J. Coime,Gualaceo,Equador B,Sul-americano,26.0,916,,True,42.0,,42.0,,59.2
MED,Jadsom Silva,Al Wahda,Emirados,Exterior,25.0,1938,,True,49.0,34.0,42.0,27.26,45.6
LE,Maurício,Fortaleza,Brasil B,Série B,25.0,1739,2028-11-30,False,41.0,,41.0,,40.8
CA,K. Ortiz,Metropolitanos,Venezuela,Sul-americano,24.0,1548,2026-12-31,True,41.0,,41.0,,44.9
ZD,F. Miño,Deportivo Riestra,Argentina A,Sul-americano,26.0,1398,2026-12-31,True,37.0,45.0,41.0,27.53,37.8
ZD,O. Preciado,Tigres,Colombia B,Sul-americano,26.0,1695,,True,41.0,,41.0,,45.8
LE,J. Sánchez,Deportivo Táchira,Venezuela,Sul-americano,20.0,1444,2027-12-31,False,41.0,,41.0,,62.1
