ano,clube,bc_criadas,bc_cedidas,bc_perdidas,bc_conv,chutes_area,chutes_area_adv,pct_area,pct_area_adv,terco_final,terco_final_adv,posse_1t,posse_2t,chutes_sof_1t,chutes_sof_2t,defesas_gk,mom_pct,mom_ult15,mom_t2,jogador_jogos_lesao,jogador_jogos_suspensao,titulares_distintos,titularidades_top11,jogos,onze_fixo_pct,nota_media,nota_desvio,pontos,ppj,rendimento,faixa,valor_eur
2026,Goiás,1.593,1.889,1.13,0.488,6.966,6.966,0.565,0.502,56.897,52.759,54.207,52.034,6.414,7.172,2.966,0.513,33.036,-3.643,50.0,0.0,26,198,29,0.621,6.864,0.591,36,1.333,0.012,Meio,12500000.0
2026,Juventude,2.0,1.286,1.37,0.553,7.552,5.966,0.614,0.478,52.517,56.897,51.448,48.69,6.379,6.034,2.793,0.488,12.034,15.069,58.0,0.0,26,223,29,0.699,7.023,0.572,50,1.852,0.466,Sobe,15975000.0
2026,Londrina,2.179,2.179,1.522,0.455,7.429,8.0,0.496,0.574,52.214,61.536,44.071,50.214,6.536,7.5,2.679,0.488,18.286,29.857,30.0,0.0,33,190,28,0.617,6.884,0.642,22,0.846,-0.287,Cai,6100000.0
2026,Novorizontino,2.821,1.536,1.92,0.481,9.571,6.5,0.592,0.566,60.286,48.821,46.643,51.25,5.393,6.143,1.929,0.568,74.556,284.778,74.0,0.0,28,220,28,0.714,6.977,0.57,49,1.815,0.499,Sobe,12250000.0
2026,Náutico,2.138,2.897,1.481,0.487,9.759,7.517,0.581,0.613,62.448,47.621,57.0,58.862,6.793,5.862,3.31,0.605,190.556,420.407,15.0,0.0,31,203,29,0.636,6.913,0.642,37,1.37,0.399,Meio,3300000.0
2026,Operário-PR,2.357,2.143,1.708,0.532,6.379,8.414,0.449,0.548,49.103,49.241,51.483,51.552,7.103,8.0,3.276,0.492,-54.276,-21.483,51.0,0.0,25,246,29,0.771,6.94,0.635,43,1.593,0.35,Meio,9275000.0
2026,Ponte Preta,1.862,3.034,1.538,0.429,5.759,11.69,0.549,0.64,53.483,60.966,40.138,42.655,8.897,9.345,4.276,0.336,-169.069,-534.138,18.0,0.0,43,166,29,0.52,6.654,0.61,10,0.37,-0.66,Cai,4125000.0
2026,Sport,2.538,2.192,1.957,0.452,8.5,8.036,0.585,0.567,50.607,48.536,55.714,54.429,6.607,7.893,2.929,0.501,-12.111,17.37,51.0,0.0,32,205,28,0.666,6.986,0.557,41,1.519,0.03,Meio,23625000.0
2026,São Bernardo,2.034,2.0,1.36,0.513,6.759,8.552,0.532,0.522,48.966,59.138,51.552,48.345,7.138,8.69,3.345,0.437,-19.704,-115.037,71.0,0.0,27,244,29,0.765,6.922,0.549,35,1.346,0.144,Meio,7925000.0
2026,Vila Nova,1.885,2.192,0.833,0.622,6.552,6.276,0.486,0.587,57.207,52.724,52.414,50.379,5.966,4.724,3.31,0.515,-56.286,35.286,26.0,0.0,29,221,29,0.693,6.914,0.613,47,1.808,0.52,Sobe,11000000.0
