id_jogador,jogador,temporada_tm,lesao,de,ate,dias,jogos_perdidos,dias_2022,dias_2023,dias_2024,dias_2025,dias_2026
288502,Gustavo Hebling,15/16,lesão na perna,2015-12-10,2015-12-18,9,1,0,0,0,0,0
561214,Thonny Anderson,24/25,Ruptura muscular na coxa,2025-01-24,2025-03-21,57,5,0,0,0,0,0
686150,Anderson Cordeiro,21/22,Entorse no joelho,2022-04-08,2022-05-05,28,4,28,0,0,0,0
686150,Anderson Cordeiro,20/21,Coronavírus,2020-11-03,2020-11-17,15,0,0,0,0,0,0
383637,Evandro,22/23,Lesão desconhecida,2022-10-30,2022-11-09,11,1,11,0,0,0,0
383637,Evandro,20/21,Lesão no joelho,2020-11-02,2021-03-11,130,19,0,0,0,0,0
383637,Evandro,18/19,Rotura muscular,2019-02-24,2019-03-07,12,1,0,0,0,0,0
691861,Fábio Lima,24/25,Lesão no joelho,2025-05-03,2025-05-12,10,1,0,0,0,10,0
691861,Fábio Lima,24/25,Problemas musculares na coxa,2025-02-15,2025-02-19,5,1,0,0,0,0,0
691861,Fábio Lima,24/25,Lesão muscular,2024-09-07,2024-09-30,24,3,0,0,24,0,0
691861,Fábio Lima,24/25,Lesão muscular,2024-07-24,2024-08-20,28,4,0,0,28,0,0
691861,Fábio Lima,23/24,Rotura muscular,2024-03-23,2024-04-19,28,4,0,0,19,0,0
897924,Agustín Rodríguez,25/26,Lesão desconhecida,2026-01-26,2026-02-05,11,1,0,0,0,0,0
897924,Agustín Rodríguez,25/26,Lesão na cabeça,2025-07-13,2025-09-08,58,9,0,0,0,58,0
880248,Nathan Melo,20/21,Cirurgia Ligamento Cruzado,2021-05-05,2021-12-31,241,0,0,0,0,0,0
225640,Luiz Gustavo,25/26,Achillessehnenanriss,2026-01-17,,238,17,0,0,0,0,0
425462,Felipe Vizeu,25/26,Problemas na zona lombar,2026-05-23,2026-08-10,80,12,0,0,0,0,80
425462,Felipe Vizeu,24/25,Problemas na zona lombar,2024-07-25,2024-09-14,52,7,0,0,52,0,0
425462,Felipe Vizeu,23/24,Lesão na coxa,2024-06-04,2024-07-15,42,10,0,0,42,0,0
518361,Matheus Peixoto,22/23,Entorse do tornozelo,2022-09-05,2023-04-01,209,24,87,1,0,0,0
