ano,clube,distance_p90,hsr_distance_p90,sprint_distance_p90,sprint_count_p90,hi_count_p90,high_accel_p90,high_decel_p90,expl_accel_sprint_p90,cod_count_p90,psv99,psv99_top5,sprint_distance_p30tip,sprint_distance_p30otip,hsr_distance_p30tip,hsr_distance_p30otip,runs_p30tip,runs_penalty_area_p30tip,runs_dangerous_p30tip,distance_p90_pct,hsr_distance_p90_pct,sprint_distance_p90_pct,sprint_count_p90_pct,hi_count_p90_pct,high_accel_p90_pct,high_decel_p90_pct,expl_accel_sprint_p90_pct,cod_count_p90_pct,psv99_pct,psv99_top5_pct,sprint_distance_p30tip_pct,sprint_distance_p30otip_pct,hsr_distance_p30tip_pct,hsr_distance_p30otip_pct,runs_p30tip_pct,runs_penalty_area_p30tip_pct,runs_dangerous_p30tip_pct,pos,pontos,faixa,posto_valor,rendimento
2024,Avaí,9863.854443202497,513.5825006778773,175.3314006172164,9.015162097209931,58.1420753454854,6.506793547403348,15.182223079651415,1.3507998720485814,31.117412291954636,28.555614269566455,30.497192450866315,98.64444535380555,102.76912008870413,239.27394039651674,343.54754838121573,24.23957686200804,3.288723740954729,8.370404641387973,95.0,75.0,80.0,80.0,90.0,60.0,70.0,70.0,65.0,50.0,45.0,70.0,75.0,30.0,85.0,60.0,70.0,75.0,10,53,Meio,8.0,-0.036790844825395075
2024,Amazonas,9176.31086487553,439.8984830258659,150.19547243272646,7.865606652254117,51.50981791639365,6.682473032211961,15.023785777172565,1.3721593990318492,28.246011919476636,28.37693724278344,30.336037270546942,97.26761788058572,79.20846947576045,234.15847286257292,279.3339889486777,22.910864976667032,2.882605121093833,6.839735243554288,10.0,5.0,10.0,20.0,5.0,85.0,55.0,75.0,25.0,10.0,20.0,60.0,5.0,10.0,5.0,25.0,40.0,30.0,11,52,Meio,17.0,0.11428842155292807
2024,Paysandu,9566.799833906445,529.404214541724,175.52686154390733,9.040183221066458,57.56173638319626,6.526841444626708,15.45300795450767,1.1872442996043182,31.411911284691435,28.43510079080954,30.394789541169757,89.33956037196312,128.7714467256495,260.7202246422792,406.8142515537717,24.750395751130522,3.1051989388909824,6.807429730448661,50.0,95.0,90.0,85.0,85.0,65.0,85.0,25.0,85.0,25.0,25.0,35.0,100.0,80.0,100.0,70.0,50.0,25.0,12,50,Meio,10.0,-0.03216267359260172
2024,Coritiba,9818.489511876123,513.8463682188691,175.50309407848206,9.427725280451073,58.66535112269582,6.8383017512879265,15.97865151688254,1.5697178385175041,33.63125063645075,28.854497047066644,30.74450590949885,101.72736840245743,102.85870452637828,260.7263878753739,332.8970142023448,25.377260584290433,3.517504749064087,8.987277925820614,90.0,80.0,85.0,95.0,95.0,95.0,100.0,90.0,100.0,90.0,70.0,75.0,80.0,85.0,65.0,75.0,80.0,90.0,13,50,Meio,2.0,-0.2531709005052454
2024,Botafogo-SP,9524.52932824718,486.1279903295131,173.50702030707888,9.088321148457235,55.302213277673694,6.548120246837315,15.150090695442739,1.3395510526954872,28.580177429793768,28.75926273885913,30.7746199591866,110.14546441147723,98.78185411511448,259.80702158323413,314.5310005381661,22.97106426046064,2.874007257285873,7.629202317474425,35.0,50.0,75.0,90.0,65.0,70.0,65.0,65.0,30.0,75.0,85.0,90.0,55.0,75.0,45.0,35.0,35.0,50.0,14,45,Meio,18.0,-0.06581500763510828
2024,Chapecoense,9695.648800888337,497.6517748298484,146.78180510580694,7.53397744512679,51.95754106410443,5.576476351993206,14.046972306351211,1.0942876575788734,27.553491273092014,28.139265585360814,30.05376598838834,83.06958520948106,91.60817652876463,257.1910217619732,329.03873120299767,22.76829993979035,2.1386183664602867,5.786125424680652,70.0,60.0,5.0,5.0,15.0,5.0,10.0,20.0,10.0,5.0,5.0,15.0,25.0,70.0,60.0,20.0,5.0,5.0,15,44,Meio,14.0,-0.1086443524692362
2024,CRB,9583.535910937799,493.2491916543469,156.83797783386302,7.784367912336008,52.65868156381583,6.40333146905175,14.39708534860676,1.0735334720854834,31.342717497201978,28.394350806697304,30.757859697845284,86.16096918483646,98.87266501617886,246.70454759530125,340.76415055784145,22.167219371638765,2.6243032803445505,6.20488214298313,55.0,55.0,30.0,10.0,20.0,45.0,25.0,15.0,80.0,15.0,75.0,25.0,60.0,40.0,75.0,15.0,20.0,10.0,16,43,Meio,11.0,-0.21350572927073252
2024,Ponte Preta,9480.336009975112,465.2451511927717,158.85507843401862,8.548700550471782,54.11135611111434,6.558043853396287,15.566574479822528,1.2986131406199164,31.335289543409502,28.45843744885983,30.444579024450416,92.45003439379252,92.16622120868668,251.9325393922485,290.47732037777706,23.28036932690772,3.0629305812779997,7.651881784481205,25.0,25.0,35.0,45.0,40.0,75.0,90.0,60.0,75.0,30.0,35.0,50.0,35.0,60.0,20.0,50.0,45.0,60.0,17,38,Cai,19.0,-0.20002465159252303
2024,Ituano,9703.039363186137,508.14366273520847,164.00587117668366,8.388503248027043,55.17972139334451,6.314679114293332,13.920375283557917,0.952694554682038,30.568308407272163,28.580631466503696,30.65629447646784,98.33129971380141,91.37207186841404,272.15549360768665,320.008849132099,25.457482643866353,3.185385299251055,8.64604659277814,75.0,70.0,55.0,40.0,60.0,40.0,5.0,5.0,50.0,65.0,55.0,65.0,20.0,95.0,55.0,80.0,60.0,80.0,18,37,Cai,15.0,-0.32241815779428873
2024,Brusque,9556.659422814037,480.2964664307645,159.1473155034139,8.311252649065944,53.604356138386144,6.09870624377479,14.466440785238278,1.2644290449103341,30.13786362404607,28.53452269987061,30.591841085347426,89.81062194554956,95.24992850731799,237.301795576547,319.2909069918423,23.27427723462947,2.781366615565641,7.478882263297655,45.0,40.0,40.0,30.0,35.0,20.0,35.0,55.0,45.0,45.0,50.0,40.0,40.0,25.0,50.0,45.0,30.0,45.0,19,36,Cai,20.0,-0.23983179110346897
