posicao,indicador,qtd_jogadores_liga,liga_p25,liga_mediana,liga_p75,titulares_mediana,qtd_titulares,ref_mediana,qtd_titulares_referencia,outros_titulares_mediana,ref_vs_outros_pct
ED,Desacelerações fortes/90,207,17.23,19.47,21.66,18.88,26,18.88,10,18.81,0.32
ED,Arrancadas explosivas/90,207,1.44,1.94,2.71,1.75,26,1.64,10,1.82,-9.89
ED,Mudanças de direção/90,207,35.23,40.48,44.56,35.44,26,36.14,10,34.12,5.92
ED,PSV-99 (km/h),207,28.58,29.21,30.1,29.24,26,28.96,10,29.48,-1.75
ED,PSV-99 top5 (km/h),207,30.28,31.18,31.99,31.66,26,31.17,10,31.85,-2.14
ED,Sprint/30min com bola (m),207,133.84,163.28,214.94,145.29,26,142.52,10,149.58,-4.72
ED,Sprint/30min sem bola (m),207,91.44,112.63,140.99,99.82,26,84.06,10,102.72,-18.17
ED,Alta vel./30min com bola (m),207,342.58,392.54,438.46,363.34,26,370.83,10,355.54,4.3
ED,Alta vel./30min sem bola (m),207,299.44,346.72,405.59,293.48,26,305.62,10,278.4,9.77
ED,Corridas sem bola/30min posse,207,30.9,35.32,38.78,29.94,26,31.34,10,29.52,6.18
ED,Corridas p/ área/30min posse,207,3.6,4.98,6.65,4.18,26,4.04,10,4.24,-4.95
ED,Corridas perigosas/30min posse,207,10.0,12.41,15.24,10.34,26,10.06,10,10.43,-3.59
EE,Distância/90 (m),217,9549.15,9860.87,10195.01,9722.0,20,9713.95,7,9759.67,-0.47
EE,Alta velocidade/90 (m),217,553.64,614.64,689.28,564.31,20,585.6,7,546.54,7.15
EE,Sprint/90 (m),217,196.52,247.11,301.87,229.48,20,216.83,7,248.09,-12.6
EE,Sprints/90,217,10.35,13.0,15.33,12.34,20,11.21,7,12.61,-11.1
EE,Ações alta intensidade/90,217,65.57,75.55,83.23,70.97,20,69.26,7,74.01,-6.42
EE,Acelerações fortes/90,217,7.09,8.12,9.31,7.58,20,7.02,7,7.91,-11.25
EE,Desacelerações fortes/90,217,17.28,19.5,21.86,18.67,20,18.4,7,19.04,-3.36
EE,Arrancadas explosivas/90,217,1.37,1.96,2.68,1.5,20,1.49,7,2.0,-25.5
EE,Mudanças de direção/90,217,35.56,40.18,44.44,36.95,20,35.93,7,37.97,-5.37
EE,PSV-99 (km/h),217,28.54,29.48,30.1,29.88,20,29.87,7,30.04,-0.57
EE,PSV-99 top5 (km/h),217,29.98,30.94,32.08,32.2,20,32.16,7,32.36,-0.62
EE,Sprint/30min com bola (m),217,125.03,171.91,219.02,196.06,20,191.45,7,200.68,-4.6
EE,Sprint/30min sem bola (m),217,90.49,118.19,155.18,99.07,20,86.88,7,104.48,-16.85
EE,Alta vel./30min com bola (m),217,341.18,391.12,432.84,386.78,20,387.37,7,373.49,3.72
EE,Alta vel./30min sem bola (m),217,299.42,345.12,398.2,318.85,20,298.64,7,326.7,-8.59
EE,Corridas sem bola/30min posse,217,29.93,34.39,38.62,33.84,20,33.95,7,33.74,0.62
EE,Corridas p/ área/30min posse,217,3.95,5.52,6.61,6.1,20,6.16,7,5.99,2.84
EE,Corridas perigosas/30min posse,217,11.03,14.22,17.06,15.24,20,14.95,7,16.34,-8.51
CA,Distância/90 (m),346,9181.35,9563.07,9945.54,9313.02,28,9399.1,10,9148.06,2.74
CA,Alta velocidade/90 (m),346,480.02,545.73,619.58,483.4,28,528.14,10,459.48,14.94
CA,Sprint/90 (m),346,146.72,197.52,247.86,137.32,28,181.78,10,120.06,51.41
CA,Sprints/90,346,7.75,10.73,13.22,8.04,28,10.41,10,6.96,49.46
CA,Ações alta intensidade/90,346,54.7,64.52,74.43,55.42,28,62.12,10,49.98,24.31
CA,Acelerações fortes/90,346,6.96,8.03,9.0,7.26,28,7.56,10,7.12,6.04
CA,Desacelerações fortes/90,346,14.83,16.87,18.76,15.08,28,16.4,10,14.38,14.12
CA,Arrancadas explosivas/90,346,0.89,1.57,2.39,1.32,28,1.59,10,1.18,34.18
CA,Mudanças de direção/90,346,30.13,35.19,40.21,31.67,28,38.84,10,29.54,31.48
CA,PSV-99 (km/h),346,27.73,28.68,29.7,28.06,28,28.72,10,27.76,3.46
CA,PSV-99 top5 (km/h),346,29.46,30.47,31.5,30.57,28,31.14,10,30.18,3.18
CA,Sprint/30min com bola (m),346,91.12,123.93,165.15,93.05,28,114.13,10,79.22,44.06
CA,Sprint/30min sem bola (m),346,68.85,100.5,135.94,71.63,28,85.67,10,64.09,33.67
CA,Alta vel./30min com bola (m),346,284.32,323.98,375.28,298.12,28,307.91,10,282.22,9.1
CA,Alta vel./30min sem bola (m),346,273.96,319.45,397.2,296.6,28,300.46,10,294.18,2.13
CA,Corridas sem bola/30min posse,346,27.84,32.13,37.0,30.88,28,31.48,10,28.65,9.9
CA,Corridas p/ área/30min posse,346,6.6,8.62,10.78,8.14,28,9.66,10,7.53,28.29
CA,Corridas perigosas/30min posse,346,16.02,19.63,23.25,17.76,28,21.48,10,15.23,41.04
