ano,clube,duelos_def_cru,duelos_def_padj,duelos_def_pct,aereos_pct,duelos_pct,intercep_padj,duelos_of_padj,duelos_of_pct,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,posse
2023,Guarani,5.2275,5.167529460732031,61.2825,51.8975,55.7375,5.06126271428943,2.6785856918448308,58.1325,38,57,42.0,33.0,9.0,9,-7,1.5,Meio,14200000.0,16.46875252257149,8.0,1.354986881199535,0.14501311880046508,49.419736842105266
2023,Ituano,5.376666666666666,5.352748333324601,62.32,54.913333333333334,56.096666666666664,4.964483265129325,2.4543001799267956,45.89666666666667,38,42,33.0,38.0,-5.0,14,-22,1.105263157894737,Meio,6225000.0,15.644084000315045,20.0,1.1382236933964398,-0.03296053550170286,49.77657894736842
2023,Juventude,4.265000000000001,4.472451114042398,69.4,58.585,59.730000000000004,4.246993437719041,1.6246422517642207,46.295,38,65,42.0,31.0,11.0,2,1,1.7105263157894737,Sobe,16825000.0,16.638376433495065,5.0,1.3995723342235191,0.31095398156595455,52.319210526315786
2023,Londrina,4.98,4.715063086766728,64.765,52.82000000000001,58.775000000000006,4.251131176623015,1.6740648212174611,63.94500000000001,38,31,31.0,58.0,-27.0,19,-33,0.8157894736842105,Cai,7700000.0,15.856730886823913,18.0,1.1941176868641952,-0.37832821317998466,47.19052631578948
2023,Mirassol,3.625,4.018565627333831,64.705,66.065,62.705,4.212565347274085,0.6603294216904434,50.0,38,63,42.0,31.0,11.0,7,-1,1.6578947368421053,Meio,14900000.0,16.51687177091569,7.0,1.3676349711705669,0.29025976567153844,54.896842105263154
2023,Novorizontino,5.085,4.992455638118663,67.72,65.325,63.68,5.301722801541944,1.4417250292259676,50.0,38,63,48.0,30.0,18.0,6,-1,1.6578947368421053,Meio,13900000.0,16.44739939810092,10.5,1.3493742365976384,0.30852050024446687,49.073157894736845
2023,Ponte Preta,6.07,5.71829477504636,63.98666666666667,60.220000000000006,60.28,4.7385539898654345,2.884050981227871,63.720000000000006,38,42,24.0,35.0,-11.0,15,-22,1.105263157894737,Meio,10675000.0,16.18341511707896,13.0,1.2799862670803126,-0.17472310918557565,46.92473684210527
2023,Sampaio Corrêa,4.47,4.527016582536899,70.92,49.59,60.47,5.306838230982853,2.0047506925927654,53.13,38,39,31.0,43.0,-12.0,17,-25,1.0263157894736843,Cai,8500000.0,15.955576721460545,17.0,1.2200992026352449,-0.19378341316156056,50.62973684210527
2023,Sport,3.42,3.4071603850751897,66.905,57.07,58.120000000000005,4.692317372428112,1.0338961560406585,51.74,38,63,59.0,40.0,19.0,5,-1,1.6578947368421053,Meio,17900000.0,16.70031127081098,4.0,1.415851836120754,0.24204290072135137,49.81157894736842
2023,Tombense,4.02,4.071971211515393,71.43,54.76,61.24,4.071971211515393,0.8689099649213979,52.17,38,37,37.0,50.0,-13.0,18,-27,0.9736842105263158,Cai,6950000.0,15.754252217540975,19.0,1.1671812846176195,-0.19349707409130368,50.63815789473684
