ano,Equipa,treinador,jogos,pontos,ppj,primeiro,ultimo,xg,xg_sof,dist_rem,dist_rem_sof,ppda,posse,ppj_esperado,posto_valor,pos_final_clube,pos_ao_assumir,pos_ao_sair,rendimento,temporada_inteira,ppj_vs_liga
2019,São Bento,Doriva,19,19,1.0,1,19,1.186842105263158,1.5868421052631578,21.63684210526316,20.20157894736842,10.723157894736843,50.800526315789476,,,,,18.0,,False,-0.3700000000000001
2018,Coritiba,Eduardo Baptista,18,26,1.4444444444444444,3,20,0.9433333333333334,1.4922222222222221,22.52388888888889,20.529999999999998,7.371666666666666,49.885,,,,7.0,8.0,,False,0.07444444444444431
2023,Novorizontino,Eduardo Baptista,38,63,1.6578947368421053,1,38,1.7126315789473683,0.8610526315789473,20.00526315789474,21.431052631578947,8.12578947368421,49.073157894736845,1.3493742365976384,10.5,6.0,,5.0,0.30852050024446687,True,0.2878947368421052
2024,Novorizontino,Eduardo Baptista,38,64,1.6842105263157894,1,38,1.1765789473684212,0.9118421052631579,20.666315789473686,20.896052631578947,11.131578947368421,42.28342105263158,1.2878692922317736,16.0,5.0,,4.0,0.3963412340840158,True,0.3142105263157893
2025,Criciúma,Eduardo Baptista,32,56,1.75,7,38,1.38125,1.0715625,20.055,21.3009375,9.362187500000001,48.7559375,1.441370821797717,8.0,5.0,15.0,5.0,0.30862917820228297,False,0.3799999999999999
2026,Criciúma,Eduardo Baptista,26,44,1.6923076923076923,1,26,1.2615384615384615,1.1703846153846154,19.338076923076922,19.308461538461536,9.88923076923077,51.341538461538455,1.3266752474392458,5.0,5.0,,4.0,0.3656324448684465,False,0.3223076923076922
2023,Avaí,Eduardo Barroca,23,33,1.434782608695652,16,38,1.0656521739130433,1.7047826086956521,20.652173913043477,19.049130434782608,10.353478260869565,50.05608695652174,1.448923526256774,3.0,13.0,18.0,13.0,-0.01414091756112179,False,0.064782608695652
2023,Ceará,Eduardo Barroca,12,21,1.75,3,14,1.1916666666666667,1.6908333333333332,19.963333333333335,19.031666666666666,9.615,54.49916666666667,1.5956476930671757,1.0,11.0,16.0,8.0,0.1543523069328243,False,0.3799999999999999
2025,CRB,Eduardo Barroca,38,56,1.4736842105263157,1,38,1.4452631578947368,1.3823684210526317,20.47657894736842,21.00605263157895,10.173421052631578,56.06578947368421,1.447625504516167,7.0,9.0,,8.0,0.026058706010148702,True,0.1036842105263156
2026,CRB,Eduardo Barroca,16,19,1.1875,1,16,1.52375,1.408125,19.88375,19.4575,13.800625,52.456875,1.2984080749326505,9.0,7.0,,14.0,-0.11090807493265054,False,-0.1825000000000001
2025,Cuiabá,Eduardo Barros,17,23,1.3529411764705883,22,38,1.3794117647058823,1.1182352941176472,18.76823529411765,19.49,9.811176470588235,47.327058823529406,1.4688647529911298,6.0,10.0,8.0,10.0,-0.11592357652054153,False,-0.017058823529411793
2026,Cuiabá,Eduardo Barros,23,34,1.4782608695652173,1,27,1.1478260869565218,0.8065217391304348,18.69,20.114347826086956,12.099130434782607,46.97608695652174,1.2842603265895347,11.0,10.0,,7.0,0.1940005429756826,False,0.10826086956521719
2023,Londrina,Eduardo Souza,12,9,0.75,16,27,0.8883333333333333,1.2758333333333334,23.021666666666665,20.69,8.755833333333333,48.38999999999999,1.1941176868641952,18.0,19.0,18.0,19.0,-0.44411768686419517,False,-0.6200000000000001
2026,Atlético-GO,Eduardo Souza,10,14,1.4,1,13,1.558,1.326,20.023,18.024,11.616,46.682,1.2768902493274128,12.0,9.0,,13.0,0.12310975067258711,False,0.029999999999999805
2020,Figueirense,Elano,17,15,0.8823529411764706,5,21,0.5505882352941176,1.1305882352941177,23.376470588235293,21.318823529411766,13.021176470588236,49.18117647058824,,,,12.0,18.0,,False,-0.48764705882352954
2022,Bahia,Enderson Moreira,17,24,1.411764705882353,16,32,1.526470588235294,0.9405882352941175,18.44470588235294,20.66470588235294,9.738823529411764,50.94411764705882,1.4664532785695537,4.0,3.0,,3.0,-0.05468857268720062,False,0.041764705882352926
2023,Sport,Enderson Moreira,37,60,1.6216216216216217,1,37,1.3191891891891891,1.104054054054054,19.306486486486488,19.42783783783784,9.58108108108108,49.82135135135135,1.415851836120754,4.0,5.0,,6.0,0.20576978550086777,True,0.2516216216216216
2024,Avaí,Enderson Moreira,19,28,1.4736842105263157,20,38,1.1805263157894736,1.1905263157894737,19.358947368421052,19.978421052631578,10.515263157894736,46.734736842105264,1.4315276869306581,8.0,10.0,11.0,9.0,0.04215652359565758,False,0.1036842105263156
2025,América-MG,Enderson Moreira,11,8,0.7272727272727273,11,21,1.6072727272727272,1.2563636363636363,19.856363636363636,20.164545454545454,11.372727272727273,54.291818181818186,1.4834550057470413,5.0,14.0,12.0,17.0,-0.756182278474314,False,-0.6427272727272728
2025,Novorizontino,Enderson Moreira,15,24,1.6,24,38,1.526,0.862,19.980666666666664,20.214,11.164666666666667,49.30266666666667,1.3392541484474396,14.0,7.0,4.0,7.0,0.26074585155256047,False,0.22999999999999998
2026,Novorizontino,Enderson Moreira,23,42,1.826086956521739,1,27,1.8834782608695653,1.0056521739130435,18.662608695652175,20.160434782608696,11.101739130434783,47.5695652173913,1.3161598905098124,8.0,2.0,,2.0,0.5099270660119266,False,0.4560869565217389
2019,América-MG,Felipe Conceição,29,56,1.9310344827586208,10,38,1.5334482758620689,0.7827586206896552,20.31551724137931,21.667241379310347,8.792068965517242,49.27172413793104,,,,18.0,5.0,,False,0.5610344827586207
2020,Guarani,Felipe Conceição,16,33,2.0625,16,31,1.283125,1.03,20.825625,20.678125,8.091875,51.42125,,,,,6.0,,False,0.6924999999999999
2021,Remo,Felipe Conceição,27,34,1.2592592592592593,9,35,1.1625925925925926,1.2022222222222223,20.60333333333333,20.88703703703704,8.924814814814814,51.069629629629624,,,,16.0,15.0,,False,-0.1107407407407408
