treinador,passagens,clubes,jogos,anos,ppj,ppj_pior,ppj_melhor,rendimento_medio,rendimento_pior,passagens_com_valor,clubes_com_rendimento_positivo,posto_valor_medio,temporadas_inteiras,acessos,g4_ao_sair,subiu_posicoes_media,xg,xg_sof,dist_rem,ppda,posse,clubes_lista
Gustavo Morínigo,1,1,38,2021–2021,1.68,1.68,1.68,,,0,0,,1,0,1,,1.15,1.06,20.8,10.1,51.6,"Coritiba 2021 (38j, 1.68)"
Guto Ferreira,6,6,119,2019–2026,1.74,1.27,2.3,0.28,-0.32,5,4,4.8,1,0,4,2.5,1.25,1.11,20.6,9.5,50.3,"Sport 2019 (38j, 1.79), Bahia 2022 (14j, 1.79), Ceará 2023 (11j, 1.27), Cuiabá 2025 (21j, 1.48), Remo 2025 (10j, 2.30), Vila Nova 2026 (25j, 1.84)"
Hemerson Maria,4,4,90,2018–2020,1.34,1.13,1.5,,,0,0,,1,0,0,-4.0,1.05,1.13,21.5,11.5,48.0,"Vila Nova 2018 (38j, 1.50), Botafogo-SP 2019 (23j, 1.13), Figueirense 2019 (12j, 1.50), Brasil de Pelotas 2020 (17j, 1.18)"
Higo Magalhães,1,1,18,2021–2021,1.78,1.78,1.78,,,0,0,,0,0,0,8.0,1.14,1.03,20.5,10.7,43.3,"Vila Nova 2021 (18j, 1.78)"
Hélio dos Anjos,6,4,143,2020–2026,1.35,1.08,1.55,0.0,-0.27,4,2,11.5,2,0,0,2.5,1.27,1.19,20.2,7.1,54.7,"Náutico 2020 (10j, 1.50), Náutico 2021 (32j, 1.50), Ponte Preta 2022 (38j, 1.29), CRB 2024 (11j, 1.55), Paysandu 2024 (25j, 1.08), Náutico 2026 (27j, 1.37)"
Itamar Schulle,1,1,26,2019–2019,1.27,1.27,1.27,,,0,0,,0,0,0,,1.21,1.2,20.3,7.9,49.4,"Cuiabá 2019 (26j, 1.27)"
Jair Ventura,2,2,46,2023–2025,1.61,1.37,1.95,0.21,0.03,2,2,8.5,0,0,1,8.0,1.35,1.21,19.1,9.5,51.1,"Atlético-GO 2023 (19j, 1.95), Avaí 2025 (27j, 1.37)"
Jerson Testoni,2,2,35,2021–2021,0.97,0.58,1.17,,,0,0,,0,0,0,0.0,1.0,1.58,21.7,10.5,49.0,"Brasil de Pelotas 2021 (12j, 0.58), Brusque 2021 (23j, 1.17)"
Jorginho,4,3,62,2019–2024,1.71,1.5,2.13,0.05,0.01,2,2,2.0,0,0,2,3.3,1.2,1.17,20.1,10.3,50.3,"Coritiba 2019 (15j, 2.13), Ponte Preta 2019 (18j, 1.50), Vasco 2022 (10j, 1.70), Coritiba 2024 (19j, 1.58)"
Jorginho Cantinflas,1,1,10,2020–2020,1.6,1.6,1.6,,,0,0,,0,0,0,2.0,1.18,1.17,21.1,7.7,47.6,"Figueirense 2020 (10j, 1.60)"
