mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Exterior,Bahrain,LE,Samuel Toscas,Al Riffa,26.0,2048,2031-06-30,0,Brazil,Brazil,94.5,59.4,83.22,1.0,71.3,True,0.0,,6,70.0,6.52,3.15,4.84,0.07,0.13,1.5,3,True,False,sim,False,False,N1
Exterior,Bulgaria,LE,Maicon,Levski Sofia,26.0,2951,2027-06-30,0,Brazil,Brazil,80.0,55.0,72.86,1.0,63.9,True,0.0,,6,60.84483357621762,8.1,2.68,6.11,0.09,0.15,2.79,5,True,False,sim,True,False,N1
Exterior,Espanha A,LE,Germán Valera,Elche,24.0,3085,2027-06-30,2000000,Spain,"Spain, Venezuela",73.3,53.0,70.99,2.0,62.0,True,0.0,57.86,6,56.74404555704151,5.59,1.04,8.1,0.09,0.12,2.95,4,True,True,sim,True,False,N1/N2
Exterior,Emirados,LE,Marcus Meloni,Al Jazira,25.0,1359,2030-06-30,2000000,Brazil,"Brazil, United Arab Emirates",71.7,52.5,65.59,1.0,59.0,True,0.0,37.64,6,53.28324176332181,9.22,2.62,6.65,0.11,0.07,1.66,1,True,False,sim,False,False,N1/N2
Exterior,Romenia,LE,Conrado,Oţelul,29.0,2529,2026-06-30,300000,Brazil,"Brazil, Italy",85.6,56.7,57.42,2.0,57.1,True,0.0,,6,51.07581186289999,7.31,2.43,7.53,0.22,0.28,6.05,8,True,False,sim,True,True,N1
Exterior,Italia B,LE,Paulo Azzi,Monza,31.0,3426,2027-06-30,1000000,Brazil,"Brazil, Italy",83.0,55.9,57.37,2.0,56.6,True,0.0,52.38,6,55.55553621607599,6.83,2.01,7.07,0.17,0.13,6.35,5,True,False,sim,True,False,N1
Exterior,Polonia,LE,Jean Carlos,Raków Częstochowa,30.0,1618,2027-12-31,800000,Brazil,"Brazil, Spain",75.0,53.5,59.43,1.0,56.5,True,0.0,,6,51.30960560093238,4.63,2.52,9.6,0.09,0.17,1.54,3,True,False,sim,False,False,N1
Exterior,Bahrain,LE,G. Olivera,Muharraq,25.0,1588,,300000,Uruguay,Uruguay,80.9,55.3,57.45,2.0,56.4,True,0.0,,6,56.07172285001273,6.58,3.74,4.7,0.03,0.0,0.58,0,True,True,sim,True,False,N1/N2
Exterior,Polonia,LE,Adriano,Raków Częstochowa,24.0,1600,2028-06-30,0,Brazil,Brazil,75.7,53.7,56.09,3.0,54.9,True,0.0,,6,51.30960560093238,6.36,3.12,14.97,0.09,0.06,1.59,1,True,False,sim,False,False,N1/N2
Exterior,Bulgaria,LE,Matheus Leoni,Dobrudzha 1919,34.0,1842,,250000,Brazil,"Brazil, Italy",78.3,54.5,54.11,6.0,54.3,True,0.0,,6,49.86322302798112,9.07,2.78,5.88,0.1,0.05,1.98,1,True,False,sim,True,False,N1
Exterior,Croacia,LE,M. Pérez Vinlof,Dinamo Zagreb,20.0,1730,2029-06-30,0,Sweden,"Sweden, Peru",58.0,48.4,57.15,3.0,52.8,True,0.0,,6,60.871566970897085,8.37,2.2,6.03,0.02,0.0,0.36,0,True,True,sim,False,False,N2 jovem
Exterior,Mexico,LE,J. Sanabria,Atlético de San Luis,26.0,1927,2030-06-30,0,Uruguay,"Uruguay, Spain",44.5,44.4,61.26,2.0,52.8,True,0.0,46.77,6,46.82514774702272,5.8,2.33,2.5,0.04,0.09,0.89,2,True,True,sim,False,False,N1
