ordem,pos11,jogador,clube,liga,mercado_l,idade,minutos,contrato,livre,valor,nota,aderencia_ajustada,nivel_overall,psv,sofa_vmax,tipo,tipo_pref,bp,sofa_nota,sofa_xgxa,scouts,score
6,LE,Maicon,Levski Sofia,Bulgaria,Exterior,26.0,2951,2027-06-30,True,0.0,63.9,55.0,72.9,,,,False,0.0,,,,63.9
7,LE,A. Fretes,Club Libertad,Paraguai,Sul-americanas,20.0,1363,2028-12-31,False,0.0,59.8,54.7,64.9,30.11,,Explosivo e rápido,True,0.0,,,,62.8
8,LE,J. Pérez,Carabobo,Venezuela,Sul-americanas,27.0,1462,2026-12-31,True,300000.0,61.2,57.5,65.0,,,,False,0.0,,,,61.2
9,LE,J. Mohor,Macará,Equador A,Sul-americanas,25.0,958,2026-12-31,True,100000.0,60.9,56.5,65.4,29.21,,Médio em tudo,False,0.0,,,,60.9
10,LE,C. Cuevas,Universidad Católica,Chile,Sul-americanas,31.0,1476,2026-12-31,True,750000.0,57.7,58.0,57.4,28.99,,Explosivo e rápido,True,0.0,,,,60.7
1,VOL,Rodrigo Yuri,Al Riffa,Bahrain,Exterior,32.0,1958,,True,0.0,63.1,48.5,77.7,,,,False,0.0,,,,63.1
2,VOL,M. Cova,Carabobo,Venezuela,Sul-americanas,34.0,1598,2026-12-31,True,0.0,62.4,49.8,74.9,,,,False,0.0,,,,62.4
3,VOL,Biel,Sport,Série B,Série B,24.0,1737,2028-07-31,False,200000.0,56.9,65.2,48.6,28.0,,Mais intenso,True,0.0,,,"média ≥6,5",61.9
4,VOL,S. Vasquez,Orense,Equador A,Sul-americanas,22.0,2439,,True,0.0,58.8,44.8,72.8,27.86,,Intermediário,True,0.0,,,,61.8
5,VOL,Wenderson,Náutico,Série B,Série B,28.0,2388,2026-11-30,True,,61.2,78.3,44.1,,35.52,,False,0.0,7.13,0.146,,61.2
6,VOL,D. Carabaño,Sport Huancayo,Peru,Sul-americanas,28.0,1003,2027-12-31,False,375000.0,59.4,45.0,73.9,27.05,,Menos intenso,False,0.0,,,,59.4
7,VOL,J. Mercado,Unión Magdalena,Colombia B,Sul-americanas,22.0,1344,,True,0.0,59.3,46.4,72.2,,,,False,0.0,,,,59.3
8,VOL,K. Salazar,Unión Magdalena,Colombia B,Sul-americanas,28.0,1413,,True,300000.0,58.5,57.2,59.8,,,,False,0.0,,,,58.5
9,VOL,R. Piris Da Motta,Cerro Porteño,Paraguai,Sul-americanas,32.0,1447,2027-12-31,False,1000000.0,55.1,42.0,68.2,28.09,,Intermediário,True,0.0,,,,58.1
10,VOL,Juan Fernando Alfaro,Olimpia,Paraguai,Sul-americanas,26.0,1688,2029-12-31,False,0.0,52.4,47.9,57.0,27.53,,Mais intenso,True,0.0,,,"média ≥6,5",57.4
1,MED,Crystopher,CRB,Série B,Série B,28.0,2138,2026-12-31,True,50000.0,64.7,75.0,54.4,27.7,32.73,Médio em tudo,True,0.0,7.004,0.225,,67.7
2,MED,Rafael Gava,Botafogo-SP,Série B,Série B,33.0,1987,2026-11-30,True,600000.0,60.7,73.9,47.6,27.6,34.17,Médio em tudo,True,95.9,6.996,0.322,,66.7
