pos11,mercado_l,jogador,clube,liga,idade,minutos,contrato,livre,br,fisico,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,runs_p30tip,tipo,tipo_pref,nota
ZD,Série B,Allyson,Avaí,Série B,35.0,1980,2026-11-30,True,True,65.0,29.05,6.51,39.66,0.86,5.16,Motor de volume,True,52.5
ZD,Série B,Marcelo Ajul,Sport,Série B,24.0,1426,2027-12-31,False,True,60.0,27.69,5.13,35.48,1.77,9.9,Baixa intensidade,False,47.4
ZD,Brasileiros e sul-americanos no exterior,Mateus Sarará,Portimonense,Portugal B,23.0,1794,2026-06-30,True,True,60.0,28.12,5.82,38.5,1.0,,Motor de volume,True,54.8
ZD,Brasileiros e sul-americanos no exterior,Jarleysom,Portimonense,Portugal B,22.0,1826,2028-06-30,False,True,58.0,28.74,5.51,36.21,1.0,,Baixa intensidade,False,44.1
ZD,Série B,Gabriel Pinheiro,Juventude,Série B,29.0,1236,2026-12-31,True,True,56.0,28.55,5.55,34.8,0.83,10.73,Motor de volume,True,57.1
ZD,Série B,Lucas Cunha,Ponte Preta,Série B,29.0,2014,2026-12-31,True,True,55.0,28.41,5.47,37.48,0.75,7.34,Motor de volume,True,43.6
ZD,Série B,Ricardo Silva,América-MG,Série B,34.0,1252,2026-11-30,True,True,52.0,28.07,4.53,34.59,1.17,10.31,Motor de volume,True,68.0
ZD,Brasileiros e sul-americanos no exterior,Volnei,Panserraikos,Grecia,26.0,2541,2026-06-30,True,True,52.0,29.03,5.44,35.51,0.81,,Motor de volume,True,51.6
ZD,Brasileiros e sul-americanos no exterior,Alysson,Farense,Portugal B,23.0,967,2026-06-30,True,True,48.0,27.19,5.7,38.41,0.79,,Baixa intensidade,False,44.5
ZD,Série B,Jemerson,São Bernardo,Série B,34.0,1706,2026-11-30,True,True,46.0,28.87,5.05,33.56,0.67,8.47,Baixa intensidade,False,60.4
ZD,Série B,Éder,Ceará,Série B,31.0,2021,2026-12-31,True,True,40.0,28.53,4.15,29.93,0.89,8.49,Baixa intensidade,False,33.6
ZD,Série B,Henri,CRB,Série B,24.0,1300,2027-12-31,False,True,38.0,28.7,4.37,30.71,0.69,8.86,Baixa intensidade,False,55.0
ZD,Série B,Bressan,CRB,Série B,33.0,1499,2027-11-30,False,True,37.0,27.22,4.84,36.75,0.39,10.48,Motor de volume,True,53.2
ZD,Série B,J. Cuenú,Operário-PR,Série B,31.0,1775,2026-11-30,True,False,37.0,28.96,4.34,32.51,0.5,7.72,Baixa intensidade,False,50.9
ZD,Brasileiros e sul-americanos no exterior,Kauan Ferreira,Paços de Ferreira,Portugal B,23.0,1323,2026-06-30,True,True,36.0,27.44,4.29,31.62,1.07,,Baixa intensidade,False,40.4
ZD,Brasileiros e sul-americanos no exterior,Iago Maidana,Henan,China,30.0,1533,2026-12-31,True,True,29.0,28.39,4.17,30.35,0.63,,Baixa intensidade,False,52.7
ZE,Série B,Betão,Náutico,Série B,27.0,1416,2026-11-30,True,True,98.0,30.26,11.23,58.32,1.97,11.79,Explosivo e rápido,False,53.5
ZE,Sul-americanas,D. Piña,Audax Italiano,Chile,24.0,1634,2026-12-31,True,False,97.0,29.72,8.86,52.23,1.71,16.2,Explosivo e rápido,False,48.5
ZE,Sul-americanas,Joaquín Sosa,Colo Colo,Chile,24.0,1628,2028-06-30,False,False,94.0,29.48,9.57,54.97,1.3,14.4,Explosivo e rápido,False,55.2
ZE,Sul-americanas,C. Inga,Universitario,Peru,24.0,1476,2027-12-31,False,False,94.0,28.99,7.79,48.22,1.95,20.6,Explosivo e rápido,False,56.9
ZE,Sul-americanas, Renzo Malanca,Huachipato,Chile,23.0,975,2026-12-31,True,False,92.0,29.59,8.48,50.88,1.47,8.7,Explosivo e rápido,False,55.0
ZE,Sul-americanas,N. Ramírez,Universidad de Chile,Chile,29.0,1546,2026-12-31,True,False,88.0,29.76,6.98,44.98,1.5,7.9,Explosivo e rápido,False,51.6
ZE,Sul-americanas,Leonel González,Univ. Concepción,Chile,32.0,936,2027-12-31,False,False,88.0,29.58,7.2,42.24,1.34,10.0,Explosivo e rápido,False,47.5
ZE,Série B,Lyncon,CRB,Série B,21.0,916,2026-11-30,True,True,87.0,28.92,8.69,50.61,1.1,8.62,Motor de volume,True,44.6
ZE,Sul-americanas,J. Garcia,Atlético Bucaramanga,Colombia A,23.0,1548,2029-12-31,False,False,87.0,28.97,7.49,42.17,1.55,8.5,Explosivo e rápido,False,53.0
ZE,Sul-americanas,C. Haydar,Atlético Nacional,Colombia A,25.0,1544,,True,False,86.0,30.68,7.28,40.8,1.17,10.6,Explosivo e rápido,False,60.3
ZE,Série B,Vilar,Botafogo-SP,Série B,26.0,2612,2026-11-30,True,True,85.0,30.17,7.4,44.98,0.99,8.93,Motor de volume,True,58.8
ZE,Sul-americanas,M. Palazzo,Huracán,Argentina A,21.0,963,2028-12-31,False,False,85.0,27.72,8.25,51.52,1.41,12.4,Explosivo e rápido,False,44.1
ZE,Sul-americanas,A. García,Aucas,Equador A,26.0,1723,2026-12-31,True,False,85.0,28.32,7.09,43.59,1.59,10.3,Explosivo e rápido,False,52.5
ZE,Sul-americanas,L. Ferreira,Peñarol,Uruguai,26.0,1984,2028-12-31,False,False,82.0,28.5,7.2,44.23,1.42,6.4,Motor de volume,True,51.8
ZE,Sul-americanas,Nicolás Vargas,Huachipato,Chile,32.0,1631,2026-12-31,True,False,81.0,28.9,6.64,41.9,1.17,10.1,Motor de volume,True,53.8
ZE,Sul-americanas,J. Balanta,Fortaleza,Colombia A,28.0,1829,,True,False,81.0,30.84,7.38,42.04,1.57,3.6,Explosivo e rápido,False,48.8
ZE,Sul-americanas,M. Gamarra,Olimpia,Paraguai,25.0,1774,2027-12-31,False,False,81.0,28.83,8.22,48.86,0.72,15.4,Motor de volume,True,65.9
ZE,Sul-americanas,J. Guasone,Cerro,Uruguai,25.0,1662,2026-12-31,True,False,81.0,29.04,7.05,45.83,1.81,3.4,Explosivo e rápido,False,42.7
ZE,Série B,Márcio,Ponte Preta,Série B,25.0,1261,2027-06-30,True,True,79.0,29.51,8.87,46.55,0.85,5.76,Motor de volume,True,37.8
ZE,Sul-americanas,A. Banguero,Boyacá Chicó,Colombia A,26.0,1486,,True,False,79.0,28.92,7.34,44.09,1.66,3.0,Explosivo e rápido,False,44.4
ZE,Sul-americanas,A. Yovera,Cienciano,Peru,25.0,901,2026-12-31,True,False,79.0,28.04,7.69,46.49,0.96,13.0,Motor de volume,True,52.3
ZE,Série B,B. Baldini,Avaí,Série B,19.0,938,2028-12-31,False,True,78.0,29.48,8.61,48.26,0.77,5.95,Motor de volume,True,38.8
ZE,Sul-americanas,L. Quiñónez,LDU Quito,Equador A,33.0,1702,,True,False,78.0,28.56,6.01,40.57,1.12,19.1,Motor de volume,True,53.4
ZE,Série B,Lucas Belezi,Athletic,Série B,23.0,2297,2028-11-30,False,True,75.0,29.95,6.07,38.73,0.79,13.4,Motor de volume,True,52.4
ZE,Sul-americanas,M. Valenti,Estudiantes Río Cuarto,Argentina A,23.0,1176,2026-12-31,True,False,73.0,27.56,6.94,45.29,1.06,7.8,Motor de volume,True,46.8
ZE,Sul-americanas,J. Díaz,Universidad Católica,Chile,28.0,1229,,True,False,72.0,28.93,5.14,38.2,1.27,10.2,Motor de volume,True,60.4
ZE,Série B,Vitor Mendes,Cuiabá,Série B,27.0,1430,2026-11-30,True,True,70.0,28.66,5.17,37.42,1.26,11.44,Motor de volume,True,51.9
ZE,Série B,Lucas Ribeiro,Goiás,Série B,27.0,1499,2026-12-31,True,True,70.0,30.05,5.42,36.21,1.27,6.89,Motor de volume,True,48.7
ZE,Brasileiros e sul-americanos no exterior,Rafael Santos,Leixões,Portugal B,28.0,1131,2026-06-30,True,True,68.0,28.61,6.68,41.45,0.72,,Motor de volume,True,41.1
ZE,Brasileiros e sul-americanos no exterior,Pedro Barcelos,Académico de Viseu F.C.,Portugal B,30.0,1149,2027-06-30,True,True,66.0,27.21,6.08,39.47,1.26,,Motor de volume,True,51.1
ZE,Brasileiros e sul-americanos no exterior,E. Ferigra,Larissa,Grecia,27.0,1585,2027-06-30,True,False,63.0,28.43,6.08,41.48,0.63,,Motor de volume,True,49.1
ZE,Série B,Gabriel Lacerda,Londrina,Série B,27.0,1811,2026-12-31,True,True,62.0,28.45,6.25,40.1,0.49,8.44,Motor de volume,True,49.7
ZE,Série B,Adriano Martins,Atlético-GO,Série B,29.0,1669,2026-12-31,True,True,57.0,28.55,6.35,38.54,0.36,6.8,Motor de volume,True,53.1
ZE,Brasileiros e sul-americanos no exterior,Rezende,Qingdao West Coast,China,31.0,1383,2026-12-31,True,True,57.0,27.62,5.28,40.45,0.95,,Motor de volume,True,53.7
ZE,Brasileiros e sul-americanos no exterior,Felipe Silva,Porto II,Portugal B,24.0,2905,2029-06-30,False,True,57.0,27.95,5.05,37.27,1.07,,Motor de volume,True,52.9
ZE,Série B,Anderson,Vila Nova,Série B,31.0,946,2026-11-30,True,True,53.0,28.6,5.95,38.76,0.24,6.26,Baixa intensidade,False,39.4
ZE,Brasileiros e sul-americanos no exterior,Lucas Maia,Henan,China,33.0,1533,,True,True,50.0,27.62,5.6,38.67,0.51,,Motor de volume,True,55.2
ZE,Série B,Zé Marcos,Sport,Série B,28.0,1173,2027-12-31,False,True,42.0,28.24,5.24,34.55,0.46,6.4,Baixa intensidade,False,64.2
ZE,Brasileiros e sul-americanos no exterior,Matheus Dario,Felgueiras 1932,Portugal B,22.0,2267,2026-06-30,True,True,41.0,27.72,4.88,34.21,0.67,,Baixa intensidade,False,48.9
ZE,Série B,Fabio Alemão,CRB,Série B,29.0,1608,2026-11-30,True,True,40.0,28.37,4.64,34.2,0.4,9.99,Motor de volume,True,53.1
ZE,Série B,Rafael Barcelos,América-MG,Série B,22.0,1519,2026-12-31,True,True,37.0,28.79,3.86,29.95,0.71,6.95,Baixa intensidade,False,48.2
ZE,Série B,Miranda,Operário-PR,Série B,26.0,1945,2026-11-30,True,True,37.0,28.1,4.57,32.79,0.55,9.08,Baixa intensidade,False,46.6
ZE,Brasileiros e sul-americanos no exterior,Lucas Possignolo,Zhejiang Professional,China,32.0,1082,,True,True,26.0,28.68,3.58,26.02,0.48,,Baixa intensidade,False,49.8
ZE,Brasileiros e sul-americanos no exterior,V. De Marco,Panserraikos,Grecia,33.0,2503,2027-06-30,True,False,23.0,27.27,3.91,31.57,0.48,,Baixa intensidade,False,53.1
ZE,Série B,Ramon Menezes,Goiás,Série B,31.0,1484,2026-12-31,True,True,17.0,27.23,2.99,26.46,0.37,9.02,Baixa intensidade,False,53.4
ZE,Série B,Lucas Gazal,Fortaleza,Série B,27.0,2331,2028-12-31,False,True,10.0,27.68,3.24,24.52,0.27,4.65,Baixa intensidade,False,55.3
ZE,Série B,Augusto,São Bernardo,Série B,29.0,1912,2026-11-30,True,True,6.0,27.75,2.87,23.12,0.18,2.98,Baixa intensidade,False,54.9
