treinador,clube,temporada,inicio,interino,rodadas,rodada_1a,rodada_ultima,no_g4,pct_g4,rodadas_apos_10,no_g4_apos_10,pct_g4_apos_10,pontos,ppj,pos_ao_assumir,pos_ao_sair,dist_g4_ao_assumir,dist_g4_ao_sair,xg_saldo_pj,xg_jogos,valor_elenco_eur,base_incompleta,em_curso,no_ranking,ppj_outros_mesmo_time,rodadas_outros
Marcelo Chamusca,Tombense,2023,2023-01-17,0,10,1,10,0,0.0,1,0,0.0,6,0.6,18,19,-3,-14,0.64,10,6950000.0,0,0,1,1.11,28
Fábio Matias,Atlético-GO,2025,2025-05-20,0,9,9,17,0,0.0,8,0,0.0,11,1.22,13,12,-5,-4,0.33,9,28675000.0,0,0,0,1.41,29
Gustavo Morínigo,Avaí,2023,2023-05-16,0,9,7,15,0,0.0,6,0,0.0,5,0.56,15,19,-7,-18,-0.03,9,20300000.0,0,0,0,1.34,29
Luizinho Lopes,Paysandu,2025,2025-02-12,0,9,1,9,0,0.0,0,0,,4,0.44,14,20,-3,-12,-0.38,9,14100000.0,0,0,0,1.0,23
Dado Cavalcanti,Vila Nova,2022,2022-05-18,0,9,8,16,0,0.0,7,0,0.0,5,0.56,16,20,-6,-14,0.18,9,8900000.0,0,0,0,1.45,29
Luizinho Lopes,Vila Nova,2025,2025-06-12,0,9,12,20,0,0.0,9,0,0.0,11,1.22,11,9,-5,-6,-0.2,9,11175000.0,0,0,0,1.25,28
Umberto Louzer,Vila Nova,2025,2025-09-30,0,9,30,38,0,0.0,9,0,0.0,9,1.0,13,13,-9,-15,0.12,9,11175000.0,0,0,0,1.32,28
Márcio Zanardi,Botafogo-SP,2025,2024-10-03,0,8,1,8,0,0.0,0,0,,5,0.62,16,18,-3,-10,-0.8,8,10125000.0,0,0,0,1.09,22
Umberto Louzer,CRB,2023,2023-01-10,0,8,1,8,0,0.0,0,0,,5,0.62,12,18,-3,-12,-0.27,8,13900000.0,0,0,0,1.73,30
Argel Fuchs,Chapecoense,2023,2023-03-21,0,8,1,8,0,0.0,0,0,,9,1.12,16,13,-3,-8,-0.36,8,16325000.0,0,0,0,1.11,28
Fábio Matias,Coritiba,2024,2024-06-13,0,8,10,17,0,0.0,8,0,0.0,6,0.75,8,15,-3,-8,-0.06,8,32050000.0,0,0,0,1.42,24
João Brigatti,Ponte Preta,2023,2023-10-05,0,8,31,38,0,0.0,8,0,0.0,9,1.12,16,15,-20,-22,-0.2,8,10675000.0,0,0,0,1.1,30
