fronteira,familia,comparacao,indicador,unidade,medida_nome,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,d,ic95_d,p,limiar_visivel,q,selo,poder_suficiente,nome,alvo_nome,porta_parcial,porta_p,porta_passa
sem,construcao,xg_por_remate_contra,passe_longo_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,11.876,0.099,-0.133,"[-0.4, 0.16]",0.344,0.28,0.516,sem diferença clara,False,Passe longo (% dos passes),Gol esperado por finalização sofrida,-0.126,0.26613,False
sem,construcao,xg_por_remate_contra,compr_passe,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,20.36,0.099,-0.223,"[-0.46, 0.04]",0.098,0.25,0.45,sem diferença clara,False,Comprimento médio do passe (m),Gol esperado por finalização sofrida,-0.022,0.84911,False
sem,construcao,xg_por_remate_contra,passes_progressivos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,67.303,0.099,0.194,"[-0.12, 0.48]",0.225,0.3,0.45,sem diferença clara,False,Passes progressivos por jogo,Gol esperado por finalização sofrida,0.035,0.75505,False
sem,construcao,xg_por_remate_contra,passes_terco_final,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,51.158,0.099,0.017,"[-0.28, 0.33]",0.9062,0.305,0.9062,sem diferença clara,False,Passes para o terço final por jogo,Gol esperado por finalização sofrida,0.011,0.92564,False
sem,como_ataca,xg_por_remate_contra,atq_posicional,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,27.711,0.099,0.067,"[-0.21, 0.35]",0.6514,0.28,0.7804,sem diferença clara,False,Ataques posicionais por jogo,Gol esperado por finalização sofrida,-0.067,0.55365,False
sem,como_ataca,xg_por_remate_contra,contra_ataques,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,1.026,0.099,0.144,"[-0.13, 0.4]",0.3086,0.265,0.6172,sem diferença clara,False,Contra-ataques por jogo,Gol esperado por finalização sofrida,-0.079,0.4841,False
sem,como_ataca,xg_por_remate_contra,cruzamentos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,15.171,0.099,0.148,"[-0.1, 0.4]",0.2438,0.25,0.6172,sem diferença clara,False,Cruzamentos por jogo,Gol esperado por finalização sofrida,0.055,0.63054,False
sem,como_ataca,xg_por_remate_contra,cruz_certos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,32.696,0.099,-0.045,"[-0.32, 0.23]",0.7804,0.275,0.7804,sem diferença clara,False,Cruzamentos certos (%),Gol esperado por finalização sofrida,-0.047,0.68079,False
sem,sem_bola,xg_por_remate_contra,ppda,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,10.347,0.099,0.017,"[-0.26, 0.3]",0.9246,0.28,0.9246,sem diferença clara,False,Passes do adversário por ação defensiva,Gol esperado por finalização sofrida,0.008,0.94701,False
sem,sem_bola,xg_por_remate_contra,recuperacoes,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,77.4,0.099,0.128,"[-0.21, 0.46]",0.4478,0.335,0.55975,sem diferença clara,False,Recuperações por jogo,Gol esperado por finalização sofrida,-0.098,0.38952,False
sem,sem_bola,xg_por_remate_contra,intensidade,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,15.557,0.099,0.255,"[-0.01, 0.51]",0.058,0.26,0.096667,sem diferença clara,False,Intensidade de jogo,Gol esperado por finalização sofrida,-0.028,0.80197,False
sem,sem_bola,xg_por_remate_contra,duelos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,47.769,0.099,0.394,"[0.09, 0.64]",0.0106,0.275,0.053,sem diferença clara,True,Divididas ganhas (%),Gol esperado por finalização sofrida,-0.054,0.6333,False
sem,sem_bola,xg_por_remate_contra,duelos_aereos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,45.991,0.099,0.326,"[0.04, 0.59]",0.029,0.275,0.0725,sem diferença clara,True,Divididas pelo alto ganhas (%),Gol esperado por finalização sofrida,0.091,0.42276,False
sem,bola_parada,xg_por_remate_contra,bolas_paradas,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,28.0,0.099,-0.205,"[-0.46, 0.06]",0.1236,0.26,0.2472,sem diferença clara,False,Bolas paradas por jogo,Gol esperado por finalização sofrida,0.114,0.31483,False
sem,bola_parada,xg_por_remate_contra,cantos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,5.184,0.099,0.025,"[-0.21, 0.27]",0.8282,0.24,0.8282,sem diferença clara,False,Escanteios por jogo,Gol esperado por finalização sofrida,0.162,0.15016,False
