subamostra,setor,comparacao,fronteira,familia,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,selo,passou_bh,passou_bh_nos_dois_cortes,confianca_do_achado
todos,Zaga,CM,sem,alta_intensidade,hi_distance_p30tip,Alta intensidade por 30 min COM a bola (m),21,54,11,21,45.0,54.7,126.55,132.92,-0.028,-0.6,0.56,0.91567,0.98971,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,alta_intensidade,hi_distance_p30otip,Alta intensidade por 30 min SEM a bola (m),21,54,11,21,45.0,50.4,329.04,332.83,-0.164,-0.7,0.34,0.49725,0.98971,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,sprints,sprint_distance_p90,Distância em sprint por 90 (m),13,54,8,21,46.7,47.9,95.31,94.815,-0.214,-0.88,0.56,0.49342,0.8156,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,sprints,sprint_count_p90,Número de sprints por 90,13,54,8,21,54.4,47.1,5.03,4.99,-0.168,-0.65,0.36,0.58837,0.8156,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,sprints,sprint_count_p30tip,Sprints por 30 min COM a bola,13,54,8,21,52.6,46.2,1.23,1.135,-0.078,-0.69,0.58,0.8156,0.8156,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,sprints,sprint_count_p30otip,Sprints por 30 min SEM a bola,13,54,8,21,46.7,48.2,3.74,3.71,-0.148,-0.75,0.5,0.63436,0.8156,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,sprints,sprint_distance_p90,Distância em sprint por 90 (m),21,54,11,21,55.0,47.9,99.23,94.815,-0.006,-0.58,0.53,0.98269,0.98269,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,sprints,sprint_count_p90,Número de sprints por 90,21,54,11,21,51.7,47.1,5.27,4.99,0.009,-0.51,0.52,0.97288,0.98269,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,sprints,sprint_count_p30tip,Sprints por 30 min COM a bola,21,54,11,21,50.0,46.2,1.1,1.135,0.155,-0.39,0.77,0.55587,0.98269,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,sprints,sprint_count_p30otip,Sprints por 30 min SEM a bola,21,54,11,21,55.8,48.2,4.04,3.71,-0.062,-0.59,0.44,0.79999,0.98269,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
