fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,setor,subamostra,unidade,medida_nome,nome
com,razao,CM,r_sprint_count,0,18,53,0.621,0.718,-0.17,"[-1.01, 0.48]",0.55336,0.78,0.55336,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
com,razao,CM,r_high_accel,0,18,53,0.713,0.747,-0.187,"[-0.92, 0.46]",0.52744,0.78,0.55336,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
com,razao,CM,r_cod_count,0,18,53,0.89,1.009,-0.31,"[-1.19, 0.42]",0.2654,0.78,0.55336,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
com,nivel_com_bola,SM,distance_p30tip,0,17,53,4188.72,4279.6,-0.17,"[-0.76, 0.35]",0.57252,0.79,0.67981,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
com,nivel_com_bola,SM,high_accel_p30tip,0,17,53,3.61,3.9,-0.132,"[-0.63, 0.3]",0.67981,0.79,0.67981,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
com,nivel_com_bola,SM,cod_count_p30tip,0,17,53,21.76,22.6,-0.134,"[-0.7, 0.39]",0.64322,0.79,0.67981,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
com,nivel_com_bola,CM,distance_p30tip,0,18,53,4270.285,4279.6,0.013,"[-0.5, 0.48]",0.95838,0.78,0.95838,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
com,nivel_com_bola,CM,high_accel_p30tip,0,18,53,4.245,3.9,0.291,"[-0.26, 0.88]",0.29879,0.78,0.89637,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
com,nivel_com_bola,CM,cod_count_p30tip,0,18,53,22.265,22.6,0.114,"[-0.35, 0.54]",0.67293,0.78,0.95838,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
com,nivel_sem_bola,SM,distance_p30otip,0,17,53,4467.81,4343.18,0.385,"[-0.27, 1.04]",0.18371,0.79,0.54219,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
com,nivel_sem_bola,SM,high_accel_p30otip,0,17,53,2.98,2.9,-0.178,"[-0.79, 0.43]",0.54219,0.79,0.54219,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
com,nivel_sem_bola,SM,cod_count_p30otip,0,17,53,23.81,23.22,0.225,"[-0.46, 0.78]",0.45144,0.79,0.54219,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
