treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Lisca,CR Vasco da Gama,Vasco,978,2021,0,0,2021-07-23,2021-09-12,10,14,23,38,12,1.08,0
Fernando Diniz,CR Vasco da Gama,Vasco,978,2021,0,0,2021-09-14,2021-11-11,12,24,35,38,12,1.25,0
Fabio Cortez,CR Vasco da Gama,Vasco,978,2021,1,0,2021-11-12,2021-12-01,3,36,38,38,3,0.67,0
Zé Ricardo,CR Vasco da Gama,Vasco,978,2022,0,0,2022-01-10,2022-06-05,10,1,10,38,25,1.72,0
Emilio Faro,CR Vasco da Gama,Vasco,978,2022,1,0,2022-06-06,2022-06-14,2,11,12,38,1,3.00,0
Maurício Souza,CR Vasco da Gama,Vasco,978,2022,0,0,2022-06-15,2022-07-24,8,13,20,38,8,1.13,0
Emilio Faro,CR Vasco da Gama,Vasco,978,2022,1,0,2022-07-25,2022-09-05,8,21,28,38,8,1.25,0
Jorginho,CR Vasco da Gama,Vasco,978,2022,0,0,2022-09-06,2022-11-09,10,29,38,38,10,1.70,0
Mazola Júnior,CRB,CRB,11449,2018,0,0,2017-09-18,2018-04-14,1,1,1,38,37,1.57,0
Júnior Rocha,CRB,CRB,11449,2018,0,0,2018-04-16,2018-06-27,12,2,13,38,16,1.06,0
Doriva,CRB,CRB,11449,2018,0,0,2018-06-28,2018-09-16,14,14,27,38,14,1.21,0
Roberto Fernandes,CRB,CRB,11449,2018,0,0,2018-09-16,2019-04-06,11,28,38,38,31,1.77,0
Marcelo Chamusca,CRB,CRB,11449,2019,0,0,2019-04-07,2019-10-14,28,1,28,38,33,1.30,0
Marcelo Cabo,CRB,CRB,11449,2019,0,0,2019-10-14,2020-11-08,10,29,38,38,53,1.55,0
Marcelo Cabo,CRB,CRB,11449,2020,0,0,2019-10-14,2020-11-08,20,1,20,32,53,1.55,0
Ramon Menezes,CRB,CRB,11449,2020,0,0,2020-11-11,2020-12-17,8,21,28,32,8,1.00,0
Roberto Fernandes,CRB,CRB,11449,2020,0,0,2020-12-18,2021-05-24,4,29,32,32,32,1.88,0
Roberto Fernandes,CRB,CRB,11449,2021,0,0,2020-12-18,2021-05-24,6,1,6,44,32,1.88,0
Allan Aal,CRB,CRB,11449,2021,0,0,2021-05-27,2022-02-10,38,7,44,44,50,1.54,0
Marcelo Cabo,CRB,CRB,11449,2022,0,0,2022-02-11,2022-05-15,7,1,7,38,24,1.38,0
Daniel Paulista,CRB,CRB,11449,2022,0,0,2022-05-16,2022-11-03,30,8,37,38,30,1.53,0
