unidade,fronteira,comparacao,familia,setor,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,passou_bh,selo
jogador-temporada,com,SC,fisico,Meia,hsr,Distância em corrida de alta velocidade por 90 min (m),28,27,16,15,54.9,36.4,552.87,509.42,0.494,-0.01,1.06,0.07254,0.29015,0.77,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Meia,spr_n,Sprints por 90 min,28,27,16,15,54.7,50.0,7.79,7.74,0.137,-0.41,0.7,0.61484,0.67845,0.77,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Meia,psv,Velocidade de pico da temporada (km/h),28,27,16,15,54.3,48.6,28.42,28.31,0.061,-0.46,0.63,0.82314,0.82314,0.77,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,t505_90,Tempo para girar 90 graus (s),23,24,14,12,41.2,56.2,1.86,1.9,0.332,-0.22,0.96,0.26122,0.49171,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,spr_n,Sprints por 90 min,23,24,14,12,62.5,38.1,11.54,8.99,0.421,0.04,0.89,0.15553,0.42093,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,spr_km,Distância em sprint por 90 min (m),23,24,14,12,60.0,43.0,208.83,172.78,0.361,-0.02,0.87,0.22176,0.47847,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",23,24,14,12,48.7,53.1,31.02,31.13,0.129,-0.3,0.57,0.66019,0.7042,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),23,24,14,12,45.0,40.6,0.68,0.655,0.12,-0.49,0.7,0.68235,0.70436,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,hsr,Distância em corrida de alta velocidade por 90 min (m),23,24,14,12,55.0,49.4,534.45,513.515,0.429,-0.09,1.14,0.14769,0.42093,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,psv,Velocidade de pico da temporada (km/h),23,24,14,12,59.0,56.2,29.01,28.99,0.154,-0.22,0.55,0.60015,0.67845,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,fisico,Atacante,expl,Arrancadas explosivas até o sprint por 90 min,23,24,14,12,62.5,46.8,1.72,1.53,0.154,-0.3,0.68,0.60012,0.67845,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Zaga,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",13,21,8,11,71.9,64.9,31.46,31.24,0.39,-0.22,1.06,0.24243,0.4661,1.02,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Lateral,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",14,21,8,10,58.0,50.8,31.46,31.24,0.412,-0.15,1.03,0.22758,0.4661,1.0,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Lateral,t_spr,Tempo até atingir o sprint (s),14,20,8,10,49.0,53.3,1.23,1.255,-0.038,-0.84,0.72,0.91477,0.91477,1.01,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Lateral,expl,Arrancadas explosivas até o sprint por 90 min,14,21,8,10,60.1,28.6,1.86,1.27,0.416,-0.35,1.41,0.25894,0.4661,1.0,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Meia,t505_90,Tempo para girar 90 graus (s),15,20,8,11,25.7,57.9,1.85,1.925,0.806,0.09,1.7,0.01833,0.32989,0.99,False,False,pode ser sorte
jogador-temporada,sem,SC,fisico,Meia,expl,Arrancadas explosivas até o sprint por 90 min,15,20,8,11,65.2,43.8,1.22,0.81,0.534,-0.14,1.42,0.13004,0.4661,0.99,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Meia,t505_180,Tempo para girar 180 graus (s),15,20,8,11,21.4,37.6,2.57,2.625,0.516,-0.05,1.22,0.13861,0.4661,0.99,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Meia,hsr,Distância em corrida de alta velocidade por 90 min (m),15,20,8,11,56.9,44.0,561.14,518.17,0.414,-0.3,1.24,0.23547,0.4661,0.99,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Meia,spr_n,Sprints por 90 min,15,20,8,11,61.1,54.9,9.59,8.0,0.221,-0.5,1.06,0.52186,0.67097,0.99,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Meia,psv,Velocidade de pico da temporada (km/h),15,20,8,11,65.3,48.1,28.68,28.24,0.184,-0.51,1.06,0.59568,0.68271,0.99,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,t505_90,Tempo para girar 90 graus (s),12,18,7,9,66.1,50.6,1.925,1.9,0.068,-0.8,0.81,0.86397,0.91477,1.08,False,False,não separa (poder insuficiente)
