temporada,clube,faixa,trave,fronteira,dist_g4,no_recorte,jogador,posicao,setor,idade_na_temporada,sc_player_id,sc_nome,sc_short_name,wyscout_player_id,nascimento,minutos_wy,jogos_wy,fatia_pct,sc_matches,sc_min_medio,sc_min_tot,sc_poucos_jogos,tem_fisico,elegivel,titular,titular_ordem,clube_sc,clube_confere,clubes_no_ano_sc,cobertura_clube_pct,cobertura_baixa,distance_p90,running_distance_p90,m_per_min,m_per_min_tip,m_per_min_otip,hi_distance_p90,hi_count_p90,hsr_distance_p90,high_accel_p90,hi_distance_p30tip,hi_distance_p30otip,sprint_distance_p90,sprint_count_p90,sprint_count_p30tip,sprint_count_p30otip,psv99,psv99_top5,distance_p90_m60,running_distance_p90_m60,m_per_min_m60,hi_distance_p90_m60,hi_count_p90_m60,hsr_distance_p90_m60,high_accel_p90_m60,sprint_distance_p90_m60,sprint_count_p90_m60,psv99_m60,identidade
2022,Brusque,Cai,0,0,-28,1,Júnior Todinho,CF,Atacante,28.0,172986,Geremias Ribeiro Júnior,Júnior Todinho,294070,1993-12-13,973.0,18.0,25.8,17,54.8,931,0,1,1,0,,,,,85.0,0,9743.77,1374.13,108.26,140.38,147.54,664.89,59.62,532.99,8.6,367.77,430.82,131.9,8.6,4.01,5.26,28.07,30.42,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Mascote,CF,Atacante,25.0,46806,Franklin Geovane de Santana Chagas,Mascote,426077,1996-08-14,577.0,9.0,15.3,9,63.9,575,0,1,0,0,,,,,85.0,0,9178.89,1017.03,101.99,129.45,131.23,702.63,65.7,472.85,10.48,413.15,360.92,229.78,11.57,6.66,5.29,29.82,31.7,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Patrick Carvalho,CF,Atacante,25.0,183965,Patrick Carvalho dos Santos,Patrick Carvalho,492807,1997-02-06,575.0,10.0,15.3,10,57.8,578,0,1,0,0,,,,,85.0,0,8870.41,1048.69,98.56,128.54,129.55,478.9,42.18,369.33,7.94,307.97,234.58,109.57,5.14,3.36,1.95,27.69,29.64,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Juliano,CF,Atacante,27.0,177438,Juliano Alexandre Borges,Juliano,270895,1995-02-28,57.0,3.0,1.5,3,19.1,57,1,1,0,0,,,,,85.0,0,10212.91,1706.34,113.48,149.27,160.07,957.56,67.5,698.55,7.85,647.56,569.23,259.01,12.56,6.59,4.4,28.6,28.6,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Bruno Santos,CF,Atacante,25.0,171859,Bruno Santos de Oliveira,Bruno Santos,433449,1996-11-18,12.0,1.0,0.3,1,11.7,12,1,1,0,0,,,,,85.0,0,11682.1,1948.3,129.8,,152.33,920.45,84.38,728.69,15.34,,567.12,191.76,7.67,,0.0,30.2,30.2,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Neto,RW,Extremo,18.0,365063,Hilton Luiz Batista de Melo,Neto,875765,2004-03-26,22.0,2.0,0.6,2,10.9,22,1,1,0,0,,,,,85.0,0,10993.74,2180.61,122.15,158.58,180.0,1141.83,82.44,873.89,16.49,559.38,849.53,267.94,8.24,5.54,8.41,25.2,25.2,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Pedoca,RW,Extremo,19.0,177468,Leandro Macedo do Nascimento,Pedoca,804357,2002-09-06,7.0,1.0,0.2,1,7.5,7,1,1,0,0,,,,,85.0,0,11605.79,1876.17,128.95,,,1395.1,60.13,1202.67,24.05,,,192.43,0.0,,,24.1,24.1,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Jordan,GK,Goleiro,24.0,,,,,,2492.0,25.0,66.2,,,,,0,0,1,1,,,,85.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Airton,LB,Lateral,33.0,172987,Airton Santos de Oliveira,Airton,49451,1989-02-08,2482.0,27.0,65.9,26,92.3,2400,0,1,1,1,1,,,,85.0,0,9386.87,1136.66,104.3,126.21,143.01,653.03,55.92,476.47,7.39,327.93,427.1,176.56,9.38,4.6,5.59,29.36,31.16,,,,,,,,,,,nome_colide
2022,Brusque,Cai,0,0,-28,1,Alex Ruan,LB,Lateral,29.0,172988,Alex Ruan Vasconcelos Ferreira,Alex Ruan,258731,1993-02-05,1821.0,27.0,48.3,24,71.5,1717,0,1,1,1,2,,,,85.0,0,9832.72,1330.05,109.25,139.56,145.53,755.43,63.64,581.33,5.92,425.7,458.41,174.1,10.01,5.26,5.45,28.31,30.3,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Pará,RB,Lateral,36.0,,,,,,1763.0,24.0,46.8,,,,,0,0,0,,,,,85.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Toty,RB,Lateral,31.0,172993,Christofoly Acioly da Silva,Toty,49623,1991-04-02,1141.0,21.0,30.3,20,52.9,1057,0,1,1,0,,,,,85.0,0,10631.48,1620.05,118.13,155.29,154.61,1009.65,83.07,764.02,9.45,639.29,556.8,245.62,14.21,8.51,7.37,28.59,30.5,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Ângelo,LB,Lateral,21.0,37358,Ângelo Samuel Chaves,Ângelo,580165,2001-02-10,293.0,5.0,7.8,5,58.7,294,1,1,0,0,,,,,85.0,0,10497.09,1479.31,116.63,148.5,148.43,798.36,72.05,604.6,7.05,448.45,470.05,193.77,12.88,6.55,6.58,28.86,28.86,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Fernandinho,LAMF,Meia,25.0,53099,Fernando José Marques Maciel,Fernandinho,368069,1997-07-19,2150.0,28.0,57.1,28,76.8,2150,0,1,1,1,1,,,,85.0,0,9687.58,1300.94,107.64,145.47,134.99,815.46,72.79,583.08,8.29,608.18,331.95,232.38,12.39,9.49,4.45,29.77,32.06,,,,,,,,,,,
