fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,subamostra,unidade,medida_nome,nome
sem,distancia,SM,amp_hi_distance_p90,0,8,32,83.543,75.52,0.571,"[-0.12, 1.35]",0.13298,1.14,0.26596,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Alta intensidade: do melhor ao último do onze
sem,distancia,SM,amp_sprint_count_p90,0,8,32,82.321,82.123,0.187,"[-0.47, 0.83]",0.57449,1.14,0.63334,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Sprints: do melhor ao último do onze
sem,distancia,SM,amp_high_accel_p90,0,8,32,69.194,75.894,-0.571,"[-1.4, 0.26]",0.18079,1.14,0.27119,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Arrancadas fortes: do melhor ao último do onze
sem,distancia,SM,amp_psv99,0,8,32,81.081,77.478,0.208,"[-0.58, 1.11]",0.63334,1.14,0.63334,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Velocidade de pico: do melhor ao último do onze
sem,distancia,SM,amp_m_per_min,0,8,32,77.786,73.628,0.837,"[0.05, 1.74]",0.04758,1.14,0.16963,pode ser sorte,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Metros por minuto: do melhor ao último do onze
sem,distancia,CM,amp_distance_p90,0,12,32,74.466,73.628,0.513,"[-0.26, 1.3]",0.14794,0.97,0.23873,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Distância: do melhor ao último do onze
sem,distancia,CM,amp_hi_distance_p90,0,12,32,71.762,75.52,0.049,"[-0.72, 0.82]",0.89072,0.97,0.89072,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Alta intensidade: do melhor ao último do onze
sem,distancia,CM,amp_sprint_count_p90,0,12,32,74.637,82.123,-0.493,"[-1.24, 0.14]",0.16945,0.97,0.23873,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Sprints: do melhor ao último do onze
sem,distancia,CM,amp_high_accel_p90,0,12,32,71.124,75.894,-0.475,"[-1.34, 0.37]",0.19894,0.97,0.23873,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Arrancadas fortes: do melhor ao último do onze
sem,distancia,CM,amp_psv99,0,12,32,82.244,77.478,0.645,"[0.03, 1.33]",0.03933,0.97,0.23598,pode ser sorte,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Velocidade de pico: do melhor ao último do onze
sem,distancia,CM,amp_m_per_min,0,12,32,74.466,73.628,0.513,"[-0.29, 1.32]",0.14794,0.97,0.23873,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Metros por minuto: do melhor ao último do onze
com,nivel,SM,med_distance_p90,0,10,34,41.226,44.798,-0.168,"[-1.0, 0.63]",0.68421,1.03,0.83595,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Distância: o onze médio
com,nivel,SM,med_hi_distance_p90,0,10,34,45.01,43.117,-0.151,"[-1.0, 0.59]",0.66439,1.03,0.83595,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Alta intensidade: o onze médio
com,nivel,SM,med_sprint_count_p90,0,10,34,46.416,47.703,-0.103,"[-0.9, 0.59]",0.75719,1.03,0.83595,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Sprints: o onze médio
com,nivel,SM,med_high_accel_p90,0,10,34,36.695,44.909,-0.358,"[-1.14, 0.35]",0.31575,1.03,0.83595,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Arrancadas fortes: o onze médio
com,nivel,SM,med_psv99,0,10,34,53.882,52.969,-0.067,"[-0.79, 0.62]",0.83595,1.03,0.83595,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Velocidade de pico: o onze médio
com,nivel,SM,med_m_per_min,0,10,34,41.226,44.798,-0.168,"[-0.95, 0.6]",0.68421,1.03,0.83595,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Metros por minuto: o onze médio
com,nivel,CM,med_distance_p90,0,11,34,35.714,44.798,-0.559,"[-1.28, 0.12]",0.12107,0.99,0.24214,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Distância: o onze médio
com,nivel,CM,med_hi_distance_p90,0,11,34,38.053,43.117,-0.544,"[-1.17, 0.03]",0.08115,0.99,0.24214,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Alta intensidade: o onze médio
com,nivel,CM,med_sprint_count_p90,0,11,34,45.536,47.703,-0.222,"[-0.89, 0.46]",0.50723,0.99,0.70472,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Sprints: o onze médio
com,nivel,CM,med_high_accel_p90,0,11,34,44.118,44.909,0.127,"[-0.4, 0.65]",0.70472,0.99,0.70472,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Arrancadas fortes: o onze médio
com,nivel,CM,med_psv99,0,11,34,55.14,52.969,-0.18,"[-0.86, 0.44]",0.60438,0.99,0.70472,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Velocidade de pico: o onze médio
com,nivel,CM,med_m_per_min,0,11,34,35.714,44.798,-0.559,"[-1.26, 0.15]",0.12107,0.99,0.24214,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Metros por minuto: o onze médio
com,topo,SM,max_distance_p90,0,10,34,89.435,81.953,0.503,"[-0.23, 1.36]",0.18637,1.03,0.32515,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Distância: o melhor do onze
com,topo,SM,max_hi_distance_p90,0,10,34,82.204,85.705,-0.282,"[-1.06, 0.52]",0.48172,1.03,0.57806,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Alta intensidade: o melhor do onze
com,topo,SM,max_sprint_count_p90,0,10,34,87.245,89.265,-0.116,"[-0.98, 0.77]",0.78194,1.03,0.78194,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Sprints: o melhor do onze
com,topo,SM,max_high_accel_p90,0,10,34,78.781,88.926,-0.638,"[-1.56, 0.16]",0.11673,1.03,0.32515,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Arrancadas fortes: o melhor do onze
com,topo,SM,max_psv99,0,10,34,96.395,92.508,0.408,"[-0.25, 1.12]",0.21676,1.03,0.32515,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Velocidade de pico: o melhor do onze
com,topo,SM,max_m_per_min,0,10,34,89.435,81.953,0.523,"[-0.19, 1.41]",0.16552,1.03,0.32515,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Metros por minuto: o melhor do onze
com,topo,CM,max_distance_p90,0,11,34,80.0,81.953,0.033,"[-0.67, 0.74]",0.9255,0.99,0.96148,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Distância: o melhor do onze
com,topo,CM,max_hi_distance_p90,0,11,34,75.41,85.705,-0.596,"[-1.41, 0.13]",0.09692,0.99,0.52802,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Alta intensidade: o melhor do onze
com,topo,CM,max_sprint_count_p90,0,11,34,85.648,89.265,-0.314,"[-1.02, 0.42]",0.42441,0.99,0.84882,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Sprints: o melhor do onze
com,topo,CM,max_high_accel_p90,0,11,34,83.673,88.926,-0.166,"[-0.88, 0.56]",0.61066,0.99,0.91598,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Arrancadas fortes: o melhor do onze
com,topo,CM,max_psv99,0,11,34,94.69,92.508,0.461,"[-0.18, 1.19]",0.17601,0.99,0.52802,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Velocidade de pico: o melhor do onze
com,topo,CM,max_m_per_min,0,11,34,80.0,81.953,0.017,"[-0.69, 0.68]",0.96148,0.99,0.96148,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo,Metros por minuto: o melhor do onze
com,distancia,SM,amp_distance_p90,0,10,34,75.77,73.567,0.715,"[0.03, 1.48]",0.05034,1.03,0.15102,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Distância: do melhor ao último do onze
com,distancia,SM,amp_hi_distance_p90,0,10,34,69.71,76.056,-0.196,"[-0.95, 0.48]",0.58051,1.03,0.69661,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Alta intensidade: do melhor ao último do onze
com,distancia,SM,amp_sprint_count_p90,0,10,34,81.145,82.123,-0.218,"[-0.93, 0.45]",0.52158,1.03,0.69661,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Sprints: do melhor ao último do onze
com,distancia,SM,amp_high_accel_p90,0,10,34,72.746,77.559,-0.285,"[-1.1, 0.48]",0.44749,1.03,0.69661,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Arrancadas fortes: do melhor ao último do onze
com,distancia,SM,amp_psv99,0,10,34,77.102,77.505,-0.012,"[-0.73, 0.74]",0.97515,1.03,0.97515,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Velocidade de pico: do melhor ao último do onze
com,distancia,SM,amp_m_per_min,0,10,34,75.77,73.567,0.736,"[0.09, 1.54]",0.043,1.03,0.15102,pode ser sorte,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Metros por minuto: do melhor ao último do onze
com,distancia,CM,amp_distance_p90,0,11,34,73.204,73.567,0.353,"[-0.46, 1.13]",0.33548,0.99,0.60671,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Distância: do melhor ao último do onze
com,distancia,CM,amp_hi_distance_p90,0,11,34,70.192,76.056,-0.281,"[-1.0, 0.41]",0.40448,0.99,0.60671,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Alta intensidade: do melhor ao último do onze
com,distancia,CM,amp_sprint_count_p90,0,11,34,79.331,82.123,-0.138,"[-0.8, 0.53]",0.67939,0.99,0.67939,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Sprints: do melhor ao último do onze
com,distancia,CM,amp_high_accel_p90,0,11,34,79.277,77.559,-0.19,"[-0.9, 0.6]",0.59408,0.99,0.67939,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Arrancadas fortes: do melhor ao último do onze
com,distancia,CM,amp_psv99,0,11,34,84.155,77.505,0.792,"[0.09, 1.66]",0.01555,0.99,0.0933,pode ser sorte,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Velocidade de pico: do melhor ao último do onze
com,distancia,CM,amp_m_per_min,0,11,34,73.204,73.567,0.337,"[-0.45, 1.16]",0.35911,0.99,0.60671,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Metros por minuto: do melhor ao último do onze
sem,nivel,SM,med_distance_p90,0,5,24,30.769,44.376,-0.378,"[-1.55, 0.83]",0.54015,1.43,0.64818,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Distância: o onze médio
sem,nivel,SM,med_hi_distance_p90,0,5,24,44.565,45.911,-0.384,"[-1.43, 0.51]",0.43503,1.43,0.64818,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Alta intensidade: o onze médio
sem,nivel,SM,med_sprint_count_p90,0,5,24,51.515,49.497,-0.069,"[-1.16, 0.84]",0.88706,1.43,0.88706,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Sprints: o onze médio
sem,nivel,SM,med_high_accel_p90,0,5,24,34.836,47.309,-0.69,"[-1.92, 0.37]",0.27372,1.43,0.64818,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Arrancadas fortes: o onze médio
sem,nivel,SM,med_psv99,0,5,24,54.167,53.452,-0.399,"[-1.53, 0.69]",0.47086,1.43,0.64818,sem diferença clara,False,sem_cobertura_baixa,clube-temporada,percentil por setor do onze físico: mediana,Velocidade de pico: o onze médio
