treinador,clube,temporada,rodadas,inicio,dist_remate,entradas_area,duelo_def,xg,xg_contra,xg_por_remate,xg_por_remate_contra
Hélio dos Anjos,Náutico,2026,27,2025-04-15,72.5,92.5,52.5,92.5,37.5,57.5,12.5
Claudinei Oliveira,Operário-PR,2022,19,2022-03-23,0.0,10.0,35.0,10.0,5.0,5.0,35.0
Matheus Costa,Operário-PR,2022,16,2022-07-29,20.0,40.0,65.0,0.0,15.0,0.0,25.0
Rafael Guanaes,Operário-PR,2024,37,2023-01-10,12.5,32.5,7.5,7.5,72.5,2.5,42.5
Bruno Pivetti,Operário-PR,2025,12,2024-11-29,10.0,25.0,100.0,50.0,75.0,40.0,15.0
Alex,Operário-PR,2025,26,2025-06-16,20.0,65.0,85.0,60.0,100.0,25.0,60.0
Hélio dos Anjos,Paysandu,2024,25,2023-06-29,60.0,90.0,35.0,10.0,50.0,15.0,30.0
Márcio Fernandes,Paysandu,2024,13,2024-09-09,5.0,80.0,100.0,40.0,25.0,35.0,75.0
Claudinei Oliveira,Paysandu,2025,13,2025-06-08,20.0,45.0,70.0,25.0,25.0,35.0,55.0
Márcio Fernandes,Paysandu,2025,10,2025-09-09,10.0,40.0,90.0,35.0,40.0,10.0,95.0
Hélio dos Anjos,Ponte Preta,2022,38,2022-02-25,57.5,47.5,57.5,32.5,52.5,42.5,32.5
Felipe Moreira,Ponte Preta,2023,18,2023-04-19,35.0,10.0,15.0,30.0,30.0,60.0,80.0
Pintado,Ponte Preta,2023,11,2023-07-25,0.0,5.0,40.0,0.0,25.0,10.0,35.0
Nelsinho Baptista,Ponte Preta,2024,25,2024-05-29,50.0,30.0,45.0,65.0,5.0,60.0,0.0
Rodrigo Santana,Ponte Preta,2026,10,2026-02-23,65.0,85.0,90.0,75.0,5.0,90.0,15.0
Márcio Zanardi,Ponte Preta,2026,12,2026-06-11,5.0,0.0,0.0,0.0,0.0,85.0,0.0
Daniel Paulista,Remo,2025,10,2025-03-21,100.0,10.0,65.0,100.0,25.0,100.0,95.0
António Oliveira,Remo,2025,15,2025-06-20,45.0,0.0,10.0,10.0,5.0,55.0,30.0
Guto Ferreira,Remo,2025,10,2025-09-24,0.0,15.0,10.0,5.0,50.0,0.0,90.0
Léo Condé,Sampaio Corrêa,2022,38,2022-03-28,17.5,32.5,37.5,62.5,17.5,57.5,2.5
Márcio Fernandes,Sampaio Corrêa,2023,22,2023-05-10,0.0,25.0,75.0,5.0,65.0,0.0,15.0
Fábio Carille,Santos,2024,37,2024-01-01,80.0,80.0,95.0,80.0,95.0,50.0,95.0
Gilmar Dal Pozzo,Sport,2022,14,2022-03-15,10.0,60.0,5.0,30.0,85.0,5.0,100.0
Claudinei Oliveira,Sport,2022,18,2022-07-27,80.0,95.0,95.0,85.0,95.0,80.0,80.0
Enderson Moreira,Sport,2023,37,2022-11-18,90.0,95.0,65.0,75.0,75.0,85.0,30.0
Mariano Soso,Sport,2024,14,2023-12-05,65.0,100.0,20.0,75.0,85.0,65.0,95.0
Pepa,Sport,2024,17,2024-09-03,100.0,95.0,80.0,100.0,100.0,100.0,95.0
Márcio Goiano,Sport,2026,14,2026-03-24,100.0,35.0,100.0,95.0,45.0,100.0,45.0
Gilmar Dal Pozzo,Sport,2026,11,2026-06-30,65.0,30.0,0.0,80.0,35.0,85.0,75.0
Ricardo Catalá,São Bernardo,2026,20,2024-04-04,15.0,10.0,20.0,35.0,70.0,55.0,95.0
Bruno Pivetti,Tombense,2022,31,2022-05-13,45.0,20.0,0.0,20.0,10.0,75.0,25.0
Marcelo Chamusca,Tombense,2023,10,2023-01-17,80.0,85.0,75.0,90.0,100.0,15.0,100.0
João Burse,Tombense,2023,12,2023-06-23,80.0,45.0,75.0,80.0,0.0,100.0,0.0
Moacir Júnior,Tombense,2023,14,2023-08-25,25.0,25.0,65.0,5.0,80.0,15.0,100.0
Zé Ricardo,Vasco,2022,10,2022-01-10,100.0,50.0,100.0,30.0,95.0,50.0,100.0
Jorginho,Vasco,2022,10,2022-09-06,100.0,25.0,100.0,55.0,10.0,100.0,0.0
Allan Aal,Vila Nova,2022,22,2022-07-07,20.0,0.0,85.0,10.0,95.0,30.0,95.0
Claudinei Oliveira,Vila Nova,2023,21,2022-12-14,25.0,80.0,80.0,90.0,95.0,15.0,80.0
Luizinho Lopes,Vila Nova,2024,26,2024-05-24,70.0,70.0,65.0,55.0,45.0,65.0,50.0
Rafael Lacerda,Vila Nova,2025,11,2025-01-01,30.0,25.0,100.0,25.0,95.0,10.0,95.0
Guto Ferreira,Vila Nova,2026,25,2026-03-27,25.0,40.0,70.0,65.0,80.0,25.0,25.0
Léo Condé,Vitória,2023,38,2023-02-10,62.5,77.5,97.5,82.5,72.5,97.5,92.5
Rogério Corrêa,Volta Redonda,2025,38,2024-02-21,2.5,62.5,77.5,32.5,37.5,2.5,12.5
