liga,fator,casos,forca,destino,familia,ic95,ic95_lo,ic95_hi,p_da_familia,unidade_usada,fator_bruto,fator_sem_idade,quanto_era_selecao,quanto_era_idade,fator_so_quem_jogou_900,passou_bh,porta_coorte,nivel,n_indicadores_da_familia_no_bh,obs
Ucrania,-3.24,1,fraco,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Ucrania,-6.55,1,fraco,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Brasil B,-0.26,240,forte,Brasil C,eficiencia,"[-0.3, -0.3]",-0.26,-0.26,,Brasil B,1.95,-0.3,2.25,-0.04,0.5,0,não testável,indício,10,fator próprio da liga
Brasil B,-0.07,240,forte,Brasil C,volume,"[-0.1, -0.1]",-0.07,-0.07,,Brasil B,0.99,-0.2,1.19,-0.13,1.49,0,não testável,indício,12,fator próprio da liga
Brasil A,2.69,156,forte,Brasil C,eficiencia,"[+1.3, +3.9]",1.31,3.94,1e-05,Brasil A,8.12,2.61,5.51,-0.08,3.37,3,passou,firme,10,fator próprio da liga
Brasil A,3.31,156,forte,Brasil C,volume,"[+1.9, +4.6]",1.91,4.61,0.0,Brasil A,6.85,3.08,3.77,-0.23,5.06,7,não passou,provável,12,fator próprio da liga
Argentina A,2.36,28,forte,Brasil C,eficiencia,"[-1.6, +6.3]",-1.61,6.31,0.19858,Argentina A,4.68,2.39,2.29,0.02,1.0,1,passou,firme,10,fator próprio da liga
Argentina A,5.18,28,forte,Brasil C,volume,"[+1.5, +9.2]",1.54,9.23,0.00894,Argentina A,7.54,5.29,2.25,0.11,5.14,2,não passou,provável,12,fator próprio da liga
Uruguai,-3.22,22,forte,Brasil C,eficiencia,"[-7.9, +1.9]",-7.93,1.93,0.20839,Uruguai,-3.14,-3.19,0.05,0.03,-3.3,2,não passou,provável,10,fator próprio da liga
Uruguai,-3.43,22,forte,Brasil C,volume,"[-9.5, +2.7]",-9.51,2.69,0.26901,Uruguai,-4.92,-3.35,-1.57,0.08,-4.0,2,não passou,provável,12,fator próprio da liga
Colombia A,-5.01,16,forte,Brasil C,eficiencia,"[-12.4, +2.0]",-12.44,2.03,0.17959,Colombia A,-0.64,-5.08,4.45,-0.08,-2.22,0,não passou,indício,10,fator próprio da liga
Colombia A,-7.69,16,forte,Brasil C,volume,"[-12.3, -3.2]",-12.28,-3.24,0.00068,Colombia A,-6.39,-7.94,1.55,-0.25,-8.57,0,não passou,indício,12,fator próprio da liga
EUA,4.01,15,forte,Brasil C,eficiencia,"[-1.3, +9.3]",-1.31,9.29,0.09588,EUA,4.21,3.98,0.23,-0.04,4.34,0,passou,provável,10,fator próprio da liga
EUA,-1.37,15,forte,Brasil C,volume,"[-9.3, +6.5]",-9.32,6.53,0.74268,EUA,-2.31,-1.51,-0.8,-0.13,-0.62,0,não passou,indício,12,fator próprio da liga
Portugal A,2.34,13,forte,Brasil C,eficiencia,"[-3.9, +8.9]",-3.91,8.89,0.42166,Portugal A,4.6,2.37,2.23,0.04,-0.97,0,não passou,indício,10,fator próprio da liga
Portugal A,3.85,13,forte,Brasil C,volume,"[-2.9, +11.1]",-2.92,11.11,0.24519,Portugal A,3.9,3.99,-0.09,0.14,2.15,0,não passou,indício,12,fator próprio da liga
