treinador,clube,id_clube,funcao,interino,inicio,fim,em_curso,dias,jogos_tm,ppj_tm
Eduardo Souza,Atlético Goianiense,15172,Treinador interino,1,2022-02-17,2022-02-23,0,6,1,0.00
Umberto Louzer,Atlético Goianiense,15172,Treinador,0,2022-02-23,2022-05-15,0,81,22,1.82
Jorginho,Atlético Goianiense,15172,Treinador,0,2022-05-20,2022-08-28,0,100,27,1.33
Eduardo Baptista,Atlético Goianiense,15172,Treinador,0,2022-08-31,2022-09-29,0,29,6,0.50
Eduardo Souza,Atlético Goianiense,15172,Treinador,0,2022-09-30,2023-03-03,0,154,23,1.87
Mozart,Atlético Goianiense,15172,Treinador,0,2023-03-14,2023-05-01,0,48,7,1.57
Anderson Gomes,Atlético Goianiense,15172,Treinador interino,1,2023-05-01,2023-05-05,0,4,1,3.00
Alberto Valentim,Atlético Goianiense,15172,Treinador,0,2023-05-05,2023-07-11,0,67,12,1.25
Anderson Gomes,Atlético Goianiense,15172,Treinador,0,2023-07-12,2023-07-26,0,14,3,1.33
Jair Ventura,Atlético Goianiense,15172,Treinador,0,2023-07-27,2024-06-21,0,330,50,2.00
Anderson Gomes,Atlético Goianiense,15172,Treinador,0,2024-06-21,2024-07-08,0,17,5,0.60
Vagner Mancini,Atlético Goianiense,15172,Treinador,0,2024-07-08,2024-08-05,0,28,7,0.29
Umberto Louzer,Atlético Goianiense,15172,Treinador,0,2024-08-05,2024-10-29,0,85,11,0.91
Anderson Gomes,Atlético Goianiense,15172,Treinador,0,2024-10-30,2024-12-25,0,56,7,1.14
Rafael Guanaes,Atlético Goianiense,15172,Treinador,0,2024-12-26,2025-03-03,0,67,13,1.77
Anderson Gomes,Atlético Goianiense,15172,Treinador interino,1,2025-03-03,2025-04-03,0,31,3,1.33
Claudio Tencati,Atlético Goianiense,15172,Treinador,0,2025-03-14,2025-05-13,0,60,8,1.25
Anderson Gomes,Atlético Goianiense,15172,Treinador interino,1,2025-05-14,2025-05-19,0,5,1,1.00
Fábio Matias,Atlético Goianiense,15172,Treinador,0,2025-05-20,2025-07-19,0,60,9,1.22
Rafael Lacerda,Atlético Goianiense,15172,Treinador,0,2025-07-21,2026-03-09,0,231,35,1.57
Eduardo Souza,Atlético Goianiense,15172,Treinador,0,2026-03-10,2026-06-14,0,96,20,1.40
Renan Brito,Atlético Goianiense,15172,Treinador interino,1,2026-03-25,2026-03-27,0,2,1,3.00
William Sander,Atlético Goianiense,15172,Treinador interino,1,2026-03-27,2026-04-18,0,22,2,0.50
Renan Brito,Atlético Goianiense,15172,Treinador interino,1,2026-06-16,2026-07-06,0,20,3,1.33
Roger Silva,Atlético Goianiense,15172,Treinador,0,2026-07-07,,1,,12,2.08
Claudinei Oliveira,Avaí FC,2035,Treinador,0,2016-08-24,2018-04-19,0,603,102,1.57
Geninho,Avaí FC,2035,Treinador,0,2018-04-19,2019-06-17,0,424,70,1.66
Alberto Valentim,Avaí FC,2035,Treinador,0,2019-06-18,2019-10-12,0,116,15,0.87
Evando,Avaí FC,2035,Treinador interino,1,2019-10-12,2019-12-10,0,59,14,0.21
Augusto Inácio,Avaí FC,2035,Treinador,0,2019-12-18,2020-02-14,0,58,6,1.17
Rodrigo Santana,Avaí FC,2035,Treinador,0,2020-02-16,2020-08-01,0,167,6,1.83
Geninho,Avaí FC,2035,Treinador,0,2020-08-05,2020-12-04,0,121,26,1.42
Evando,Avaí FC,2035,Treinador interino,1,2020-12-04,2020-12-10,0,6,1,0.00
Claudinei Oliveira,Avaí FC,2035,Treinador,0,2020-12-10,2022-02-07,0,424,74,1.70
Eduardo Barroca,Avaí FC,2035,Treinador,0,2022-02-15,2022-09-12,0,209,34,1.00
Lisca,Avaí FC,2035,Treinador,0,2022-09-16,2022-10-24,0,38,7,0.43
Fabrício Bento,Avaí FC,2035,Treinador interino,1,2022-10-29,2022-12-31,0,63,4,1.75
Alex,Avaí FC,2035,Treinador,0,2023-01-01,2023-05-04,0,123,18,1.17
Marquinhos,Avaí FC,2035,Treinador interino,1,2023-05-05,2023-05-15,0,10,2,1.50
Gustavo Morínigo,Avaí FC,2035,Treinador,0,2023-05-16,2023-07-03,0,48,9,0.56
Eduardo Barroca,Avaí FC,2035,Treinador,0,2023-07-07,2024-04-27,0,295,40,1.45
Marquinhos,Avaí FC,2035,Treinador,0,2024-05-02,2024-05-05,0,3,1,1.00
Gilmar Dal Pozzo,Avaí FC,2035,Treinador,0,2024-05-06,2024-08-05,0,91,16,1.50
Enderson Moreira,Avaí FC,2035,Treinador,0,2024-08-05,2025-03-24,0,231,34,1.59
Jair Ventura,Avaí FC,2035,Treinador,0,2025-03-31,2025-09-22,0,175,27,1.37
Vinícius,Avaí FC,2035,Treinador,0,2025-09-25,2025-11-28,0,64,10,1.60
Cauan de Almeida,Avaí FC,2035,Treinador,0,2025-12-02,2026-07-06,0,216,37,1.41
Ramon Lima,Avaí FC,2035,Treinador interino,1,2026-03-24,2026-03-26,0,2,1,0.00
Allan Aal,Avaí FC,2035,Treinador,0,2026-07-09,,1,,12,1.42
Sidney Moraes,Boa EC,17561,Treinador,0,2017-11-09,2018-05-06,0,178,22,1.14
Daniel Paulista,Boa EC,17561,Treinador,0,2018-05-07,2018-06-24,0,48,8,0.75
Ney da Matta,Boa EC,17561,Treinador,0,2018-06-26,2018-10-09,0,105,18,1.11
Tuca Guimarães,Boa EC,17561,Treinador,0,2018-10-09,2019-02-25,0,139,16,0.75
Cesinha,Boa EC,17561,Treinador,0,2019-03-01,2019-04-08,0,38,7,2.00
Paulo Foiani,Boa EC,17561,Treinador,0,2019-04-22,2019-07-10,0,79,11,0.91
Nedo Xavier,Boa EC,17561,Treinador,0,2019-07-11,2020-08-24,0,410,24,1.13
Sidney Moraes,Boa EC,17561,Treinador,0,2020-08-28,2020-10-05,0,38,6,0.50
Ariel Mamede,Boa EC,17561,Treinador,0,2020-10-09,2021-03-29,0,171,14,0.86
Gabardo Junior,Boa EC,17561,Treinador,0,2021-03-30,2022-07-07,0,464,22,1.32
Tuca Guimarães,Boa EC,17561,Treinador,0,2022-07-08,2022-08-08,0,31,0,-
Nedo Xavier,Boa EC,17561,Treinador,0,2023-05-05,,1,,0,-
Wilson Júnior,Boa EC,17561,Treinador,0,2024-05-03,2024-05-27,0,24,0,-
Rogério Henrique,Boa EC,17561,Treinador,0,2024-06-05,2024-06-24,0,19,0,-
Alan George,Boa EC,17561,Treinador,0,2026-05-29,2026-07-03,0,35,0,-
Marcos Valadares,Boa EC,17561,Treinador,0,2026-07-17,2026-07-28,0,11,0,-
Léo Condé,Botafogo FC,9030,Treinador,0,2017-10-09,2019-02-16,0,495,43,1.40
Roberto Cavalo,Botafogo FC,9030,Treinador,0,2019-02-19,2019-08-06,0,168,21,1.48
Émerson Nunes,Botafogo FC,9030,Treinador interino,1,2019-08-09,2019-08-13,0,4,1,1.00
Hemerson Maria,Botafogo FC,9030,Treinador,0,2019-08-14,2019-12-03,0,111,23,1.13
Wagner Lopes,Botafogo FC,9030,Treinador,0,2020-01-01,2020-02-16,0,46,6,0.33
Claudinei Oliveira,Botafogo FC,9030,Treinador,0,2020-02-17,2020-11-21,0,278,30,1.00
Moacir Júnior,Botafogo FC,9030,Treinador,0,2020-11-23,2021-01-28,0,66,15,1.07
Samuel Dias,Botafogo FC,9030,Treinador interino,1,2021-01-28,2021-01-31,0,3,0,-
Alexandre Gallo,Botafogo FC,9030,Treinador,0,2021-02-19,2021-04-01,0,41,4,0.25
Argel Fuchs,Botafogo FC,9030,Treinador,0,2021-04-09,2021-09-19,0,163,26,1.23
Samuel Dias,Botafogo FC,9030,Treinador interino,1,2021-09-22,2021-09-30,0,8,1,1.00
Leandro Zago,Botafogo FC,9030,Treinador,0,2021-12-16,2022-05-23,0,158,22,1.41
Paulo Baier,Botafogo FC,9030,Treinador,0,2022-05-26,2023-02-22,0,272,28,1.64
José Leão,Botafogo FC,9030,Treinador interino,1,2023-02-24,2023-02-27,0,3,1,0.00
Adilson Batista,Botafogo FC,9030,Treinador,0,2023-02-28,2023-06-24,0,116,19,1.16
José Leão,Botafogo FC,9030,Treinador interino,1,2023-06-27,2023-06-29,0,2,1,3.00
