ano,jogador,time,posicao,grupo,idade,jogos,minutos,fatia_pct,time_hoje,faixa_do_time,id_tm,lesao_dias,lesao_n,lesao_jogos_perdidos,alta,temporadas_alta_ult3,temporadas_com_dado_ult3,regular
2025,Crystopher,CRB,RCMF,Meia,28,22,1704,44.7,CRB,Meio,730982,,,,0,0,3,0
2025,Mycael,Athletico Paranaense,GK,Goleiro,22,17,1700,43.6,Athletico Paranaense,,743586,,,,0,0,1,0
2025,N. Castrillón,Amazonas,RB,Lateral,30,22,1698,43.9,Atlético Bucaramanga,Cai,,,,,0,0,1,0
2025,Juan Christian,Cuiabá,LW,Extremo,25,32,1693,44.2,Riga FC,Meio,1010016,,,,0,0,3,0
2025,Pedro Castro,Remo,LCMF,Meia,33,28,1692,44.1,CRB,Sobe,214312,,,,0,0,2,0
2025,Marlon,América-MG,LB,Lateral,32,18,1689,43.2,Cuiabá,Meio,,,,,0,1,3,0
2025,Jáderson,Remo,RCMF,Meia,26,26,1679,43.7,Remo,Sobe,653349,,,,0,0,2,0
2025,Rafael Tavares,Amazonas,CF,Atacante,35,32,1673,43.3,Amazonas,Cai,307289,,,,0,0,2,0
2025,A. Dramisino,Botafogo-SP,AMF,Meia,26,28,1668,43.7,Atlanta,Meio,,,,,0,0,1,0
2025,Albano,Ferroviária,AMF,Meia,29,29,1667,43.7,Ferroviária,Cai,530413,,,,0,0,1,0
2025,David,Cuiabá,RCMF,Meia,19,25,1664,43.4,Cuiabá,Meio,,,,,0,0,3,0
2025,Fabio Alemão,CRB,LCB,Zaga,29,19,1662,43.6,CRB,Meio,544254,47.0,1,49.0,0,0,3,0
2025,Moraes,Goiás,LB,Lateral,28,21,1661,43.6,Operário PR,Meio,596586,,,,0,0,2,0
2025,Leandro Vilela,Paysandu,LDMF,Volante,31,19,1637,44.0,Atlético GO,Cai,347090,,,,0,0,3,0
2025,Pedrinho,Goiás,LW,Extremo,22,26,1624,42.6,Goiás,Meio,,,,,0,0,3,0
2025,Mariano,América-MG,RB,Lateral,40,21,1623,41.5,,Meio,54155,,,,0,0,1,0
2025,Wesley Dias,Botafogo-SP,LDMF,Volante,31,20,1622,42.4,Cuiabá,Meio,520456,,,,0,0,1,0
2025,Iury,Coritiba,LW,Extremo,30,27,1613,41.7,Albirex Niigata,Sobe,,,,,0,0,3,0
2025,S. Mendoza,Athletico Paranaense,RW,Extremo,34,21,1612,41.4,Athletico Paranaense,,,,,,0,0,1,0
2025,Gabriel Feliciano,Operário-PR,LB,Lateral,25,22,1608,42.5,Operário PR,Meio,1100029,,,,0,0,2,0
2025,Weverton,CRB,RB,Lateral,27,22,1605,42.1,Londrina,Meio,,,,,0,0,2,0
2025,Wallisson,Coritiba,DMF,Volante,28,30,1604,41.5,Mirassol,Sobe,742073,,,,0,0,2,0
2025,Gabriel Bahia,Volta Redonda,LCB,Zaga,27,17,1593,41.9,Grêmio Novorizontino,Cai,1128780,,,,0,0,1,0
2025,Robson,Novorizontino,CF,Atacante,35,24,1592,40.8,Grêmio Novorizontino,Meio,161188,,,,0,0,2,0
2025,André Lima,Paysandu,RCMF,Meia,26,23,1581,42.5,Ponte Preta,Cai,740299,,,,0,0,1,0
2025,Júnior Todinho,Vila Nova,RAMF,Extremo,32,25,1580,41.4,Náutico,Meio,518080,,,,0,0,3,0
2025,Bruno José,Novorizontino,RW,Extremo,28,32,1572,40.3,Atlético GO,Meio,644210,,,,0,1,2,0
2025,Lelê,Atlético-GO,CF,Atacante,28,17,1559,42.1,Fluminense,Meio,972864,,,,0,0,1,0
2025,Patrick De Lucca,Cuiabá,RCMF,Meia,26,25,1556,40.6,CRB,Meio,689737,,,,0,1,2,0
2025,Luan Freitas,Paysandu,RCB,Zaga,25,17,1552,41.8,Fortaleza,Cai,678376,25.0,1,4.0,0,0,3,0
2025,Cauan Barros,América-MG,LCMF,Meia,22,17,1551,39.6,Vasco da Gama,Meio,1083966,,,,0,0,2,0
2025,Carlão,Botafogo-SP,LCB,Zaga,25,18,1550,40.6,Botafogo SP,Meio,,,,,0,0,3,0
2025,Diogo Mateus,Operário-PR,RB,Lateral,33,22,1539,40.7,Botafogo PB,Meio,231009,,,,0,1,3,0
2025,Felipe Amaral,América-MG,LCMF,Meia,23,21,1533,39.2,América Mineiro,Meio,875994,,,,0,0,3,0
2025,Arthur Dias,Athletico Paranaense,LCB,Zaga,19,17,1529,39.2,Athletico Paranaense,,1233473,,,,0,0,1,0
2025,Lucas Mineiro,Cuiabá,RCMF,Meia,30,25,1512,39.4,Juventude,Meio,432958,,,,0,0,1,0
2025,Guilherme Parede,Vila Nova,LAMF,Extremo,30,21,1511,39.6,América Mineiro,Meio,393830,46.0,1,35.0,0,1,2,0
2025,Fabrício Isidoro,Athletic,RDMF,Volante,34,20,1508,39.6,Athletic Club,Meio,512127,,,,0,0,1,0
2025,Waguininho,Novorizontino,RWF,Extremo,36,22,1505,38.6,Criciúma,Meio,346923,,,,0,1,3,0
2025,Marquinho,Botafogo-SP,AMF,Meia,24,26,1504,39.4,Barra,Meio,942096,,,,0,0,1,0
2025,Douglas Baggio,CRB,RW,Extremo,31,32,1502,39.4,CRB,Meio,191872,,,,0,2,3,1
2025,Stênio,América-MG,RW,Extremo,23,29,1502,38.4,Modena,Meio,796574,,,,0,0,1,0
2025,Neto Costa,Athletic,CF,Atacante,29,33,1502,39.4,Guarani,Meio,594549,,,,0,0,1,0
2025,Maycon,Ferroviária,LCB,Zaga,28,18,1497,39.2,Noroeste,Cai,,,,,0,0,1,0
2025,Italo,Chapecoense,CF,Atacante,23,37,1494,38.6,Jeonbuk Motors,Sobe,,,,,0,0,2,0
2025,Carlos Alberto,Cuiabá,CF,Atacante,24,23,1492,38.9,Al Ittihad Kalba,Meio,727747,9.0,1,1.0,0,0,1,0
2025,Jája Silva,Goiás,RW,Extremo,27,31,1486,39.0,Remo,Meio,,,,,0,0,1,0
2025,Lucas Adell,Volta Redonda,LCB,Zaga,26,17,1458,38.3,Volta Redonda,Cai,979440,,,,0,0,2,0
2025,Vitinho,Volta Redonda,RAMF,Extremo,25,22,1448,38.1,Atlético GO,Cai,,,,,0,0,2,0
2025,A. Martínez,Cuiabá,RW,Extremo,29,17,1432,37.4,Huracán,Meio,,,,,0,0,1,0
2025,Rafael Santos,Chapecoense,GK,Goleiro,37,15,1428,36.9,Chapecoense,Sobe,93243,,,,0,1,2,0
2025,Wallison,Botafogo-SP,RB,Lateral,25,22,1425,37.3,Avaí,Meio,682134,,,,0,0,2,0
2025,Alexandre Jesus,Botafogo-SP,CF,Atacante,24,17,1420,37.2,Orenburg,Meio,739439,,,,0,0,3,0
2025,Gustavo,América-MG,GK,Goleiro,33,14,1416,36.2,América Mineiro,Meio,,,,,0,0,2,0
2025,Titi,Goiás,LCB,Zaga,38,15,1414,37.1,Juventude,Meio,55250,,,,0,0,1,0
2025,J. Torres,Amazonas,RW,Extremo,29,24,1413,36.6,Vardar,Cai,,,,,0,0,1,0
2025,William Pottker,CRB,CF,Atacante,32,29,1411,37.0,Londrina,Meio,199472,,,,0,0,3,0
2025,Zé Mário,Ferroviária,LB,Lateral,34,21,1406,36.8,Santa Cruz,Cai,193513,,,,0,0,2,0
2025,Luan Polli,Cuiabá,GK,Goleiro,33,14,1404,36.6,Athletic Club,Meio,273250,,,,0,0,1,0
2025,Tito,Atlético-GO,RCB,Zaga,25,14,1399,37.8,Atlético GO,Meio,867798,,,,0,0,1,0
2025,Wellington Rato,Goiás,AMF,Meia,34,19,1398,36.7,Goiás,Meio,542483,47.0,2,47.0,0,0,1,0
2025,Jefferson Paulino,Volta Redonda,GK,Goleiro,34,14,1394,36.7,Retrô,Cai,437791,,,,0,2,3,1
2025,Diogo de Oliveira,Paysandu,CF,Atacante,29,17,1391,37.4,Daejeon Citizen,Cai,,,,,0,0,1,0
2025,Dellatorre,Coritiba,CF,Atacante,34,25,1390,35.9,Vila Nova,Sobe,184604,,,,0,1,2,0
2025,Luan Silva,Amazonas,CF,Atacante,34,25,1388,35.9,Itabaiana,Cai,680539,,,,0,0,2,0
2025,Vinicius Mingotti,Operário-PR,CF,Atacante,26,27,1386,36.6,Operário PR,Meio,658664,,,,0,0,2,0
2025,Janderson,Remo,RW,Extremo,27,27,1383,36.0,Vila Nova,Sobe,670940,,,,0,0,3,0
2025,Derik Lacerda,Cuiabá,CF,Atacante,26,15,1369,35.7,Kawasaki Frontale,Meio,700933,,,,0,0,1,0
2025,J. Novillo,Paysandu,LCB,Zaga,28,16,1361,36.6,Aldosivi,Cai,,,,,0,0,1,0
2025,Ronald,Atlético-GO,RDMF,Volante,23,14,1350,36.5,Fortaleza,Meio,,,,,0,0,3,0
2025,Bruno Barra,Volta Redonda,RDMF,Volante,40,17,1346,35.4,Volta Redonda,Cai,439796,,,,0,0,1,0
2025,Igor Bohn,Avaí,GK,Goleiro,30,14,1344,35.1,Avaí,Meio,530385,,,,0,0,3,0
2025,Maurício Antônio,Paysandu,LCB,Zaga,34,15,1342,36.1,Guarani,Cai,340557,,,,0,0,2,0
2025,Giovanni Pavani,Remo,RCMF,Meia,29,24,1329,34.6,Ceará,Sobe,976522,,,,0,1,2,0
2025,Dadá Belmonte,CRB,LWF,Extremo,29,23,1322,34.7,CRB,Meio,546253,,,,0,0,1,0
2025,Léo Coelho,Amazonas,LCB,Zaga,33,14,1315,34.0,Amazonas,Cai,375688,,,,0,0,1,0
2025,J. Aguirre,Athletico Paranaense,CB,Zaga,30,16,1310,33.6,Athletico Paranaense,,,,,,0,0,1,0
2025,Kayky Almeida,Remo,LCB,Zaga,21,15,1286,33.5,Sport Recife,Sobe,1089609,,,,0,0,1,0
2025,Wellington Silva,Volta Redonda,RB,Lateral,38,20,1282,33.7,Volta Redonda,Cai,99500,,,,0,0,2,0
2025,Ítalo,Volta Redonda,CF,Atacante,29,18,1274,33.5,Paysandu,Cai,,,,,0,0,2,0
2025,André Luis,Vila Nova,CF,Atacante,29,23,1267,33.2,Vila Nova,Meio,519851,,,,0,0,1,0
2025,Igor Morais,Volta Redonda,RCB,Zaga,28,13,1263,33.2,Botafogo PB,Cai,546214,,,,0,0,1,0
2025,Rafael Milhorim,Botafogo-SP,LCB,Zaga,27,17,1261,33.0,Brusque,Meio,1091616,,,,0,0,1,0
2025,DG,Avaí,LB,Lateral,25,18,1258,32.9,Avaí,Meio,,,,,0,0,2,0
2025,Gonzalo Freitas,Goiás,DMF,Volante,34,22,1255,32.9,Wanderers,Meio,196520,,,,0,0,1,0
2025,Rossi,Paysandu,RW,Extremo,33,17,1251,33.7,,Cai,212114,,,,0,0,1,0
2025,Pablo Dyego,Novorizontino,LW,Extremo,32,21,1248,32.0,Londrina,Meio,264343,,,,0,0,3,0
2025,Nicolás Ferreira,Remo,LAMF,Extremo,24,16,1244,32.4,Remo,Sobe,995638,,,,0,0,1,0
2025,Wesley Gasolina,Athletic,RB,Lateral,26,21,1241,32.6,Avaí,Meio,371967,,,,0,0,1,0
2025,Alan Kardec,Athletico Paranaense,CF,Atacante,37,26,1238,31.8,Juventude,,53922,,,,0,0,1,0
2025,Clayson,Coritiba,LW,Extremo,31,22,1234,31.9,Sport Recife,Sobe,392809,,,,0,0,1,0
2025,Gabriel Souza,Operário-PR,RB,Lateral,23,20,1230,32.5,Maringá,Meio,979931,,,,0,0,1,0
2025,Edson Lucas,Ferroviária,LB,Lateral,26,15,1228,32.2,Sport Recife,Cai,886688,,,,0,0,2,0
2025,Breno Herculano,CRB,CF,Atacante,27,26,1226,32.2,Anyang,Meio,978480,,,,0,0,2,0
2025,F. Elizari,América-MG,AMF,Meia,35,23,1220,31.2,América Mineiro,Meio,,,,,0,0,2,0
2025,Kauã Moraes,Athletico Paranaense,RB,Lateral,19,14,1217,31.2,Cruzeiro,,1388409,,,,0,0,1,0
2025,Jean Mota,Vila Nova,LCMF,Meia,32,22,1211,31.8,Sporting Jax,Meio,215212,,,,0,0,1,0
2025,Marcelo Hermes,Criciúma,LB,Lateral,31,12,1210,31.3,Criciúma,Meio,348769,,,,0,1,2,0
2025,Bernardo Schappo,Vila Nova,LCB,Zaga,27,12,1210,31.7,Estrela Amadora,Meio,699679,14.0,1,2.0,0,1,2,0
2025,Habraão,Athletico Paranaense,RCB,Zaga,25,14,1204,30.9,Sport Recife,,965630,,,,0,0,3,0
2025,Sandro Lima,Atlético-GO,CF,Atacante,35,17,1203,32.5,Ararat-Armenia,Meio,284739,,,,0,0,1,0
2025,Anderson Leite,Paysandu,RDMF,Volante,33,16,1199,32.3,Muharraq,Cai,376640,,,,0,0,3,0
2025,Rhaldney,Atlético-GO,RDMF,Volante,27,13,1193,32.2,Göztepe,Meio,638269,,,,0,1,2,0
2025,Andrey,Avaí,LB,Lateral,24,14,1189,31.1,Santa Clara,Meio,,,,,0,0,3,0
