fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,porta_roda,teto_da_parte
sem,sofre,ST,sofre_45_60,0,8,7,0.132,0.105,0.205,"[-1.23, 1.29]",0.70684,1.57,0.80782,sem diferença clara,False,"Gols sofridos por jogo, 45 a 60 min",0,provável
sem,sofre,ST,sofre_60_75,0,8,7,0.118,0.105,-0.236,"[-1.73, 0.87]",0.66067,1.57,0.80782,sem diferença clara,False,"Gols sofridos por jogo, 60 a 75 min",0,provável
sem,sofre,ST,sofre_75_90,0,8,7,0.132,0.132,0.039,"[-1.31, 1.2]",0.94347,1.57,0.94347,sem diferença clara,False,"Gols sofridos por jogo, 75 a 90 min",0,provável
sem,sofre,ST,sofre_90mais,0,8,7,0.053,0.053,1.196,"[0.26, 2.98]",0.05508,1.57,0.1893,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 2º tempo",0,provável
sem,sofre,CM,sofre_0_15,0,12,32,0.132,0.132,0.1,"[-0.72, 0.94]",0.79321,0.97,0.79321,sem diferença clara,False,"Gols sofridos por jogo, 0 a 15 min",0,provável
sem,sofre,CM,sofre_15_30,0,12,32,0.224,0.145,-0.927,"[-2.27, -0.02]",0.02347,0.97,0.09387,pode ser sorte,False,"Gols sofridos por jogo, 15 a 30 min",0,provável
sem,sofre,CM,sofre_30_45,0,12,32,0.184,0.158,-0.618,"[-1.34, 0.01]",0.06373,0.97,0.1372,sem diferença clara,False,"Gols sofridos por jogo, 30 a 45 min",0,provável
sem,sofre,CM,sofre_45mais,0,12,32,0.053,0.026,-0.413,"[-1.21, 0.3]",0.24104,0.97,0.32139,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 1º tempo",0,provável
sem,sofre,CM,sofre_45_60,0,12,32,0.184,0.158,-0.373,"[-1.04, 0.26]",0.22782,0.97,0.32139,sem diferença clara,False,"Gols sofridos por jogo, 45 a 60 min",0,provável
sem,sofre,CM,sofre_60_75,0,12,32,0.197,0.132,-0.695,"[-1.39, -0.12]",0.0686,0.97,0.1372,sem diferença clara,False,"Gols sofridos por jogo, 60 a 75 min",0,provável
sem,sofre,CM,sofre_75_90,0,12,32,0.224,0.158,-0.779,"[-1.35, -0.31]",0.01794,0.97,0.09387,pode ser sorte,False,"Gols sofridos por jogo, 75 a 90 min",0,provável
sem,sofre,CM,sofre_90mais,0,12,32,0.105,0.079,-0.255,"[-1.07, 0.42]",0.4842,0.97,0.55338,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 2º tempo",0,provável
sem,tempo,SM,marca_1t,0,8,32,0.579,0.474,1.267,"[0.69, 2.05]",0.00069,1.14,0.00274,firme,True,Gols por jogo no 1º tempo,0,provável
sem,tempo,SM,marca_2t,0,8,32,0.697,0.553,1.15,"[0.19, 2.41]",0.03596,1.14,0.03596,firme,True,Gols por jogo no 2º tempo,0,provável
sem,tempo,SM,sofre_1t,0,8,32,0.342,0.447,1.191,"[0.41, 2.17]",0.0086,1.14,0.01721,firme,True,Gols sofridos por jogo no 1º tempo,0,provável
sem,tempo,SM,sofre_2t,0,8,32,0.434,0.579,1.115,"[0.3, 1.99]",0.01352,1.14,0.01802,firme,False,Gols sofridos por jogo no 2º tempo,0,provável
sem,tempo,ST,marca_1t,0,8,7,0.579,0.553,0.781,"[-0.32, 1.93]",0.16987,1.57,0.33975,sem diferença clara,False,Gols por jogo no 1º tempo,0,provável
sem,tempo,ST,marca_2t,0,8,7,0.697,0.579,0.475,"[-0.48, 3.4]",0.36103,1.57,0.47137,sem diferença clara,False,Gols por jogo no 2º tempo,0,provável
sem,tempo,ST,sofre_1t,0,8,7,0.342,0.447,0.787,"[-0.26, 2.78]",0.15915,1.57,0.33975,sem diferença clara,False,Gols sofridos por jogo no 1º tempo,0,provável
sem,tempo,ST,sofre_2t,0,8,7,0.434,0.447,0.395,"[-0.81, 1.57]",0.47137,1.57,0.47137,sem diferença clara,False,Gols sofridos por jogo no 2º tempo,0,provável
sem,tempo,CM,marca_1t,0,12,32,0.395,0.474,-0.924,"[-1.63, -0.33]",0.0052,0.97,0.00693,firme,False,Gols por jogo no 1º tempo,0,provável
sem,tempo,CM,marca_2t,0,12,32,0.461,0.553,-0.611,"[-1.24, 0.04]",0.05818,0.97,0.05818,sem diferença clara,False,Gols por jogo no 2º tempo,0,provável
sem,tempo,CM,sofre_1t,0,12,32,0.671,0.447,-1.255,"[-2.23, -0.49]",0.00105,0.97,0.00419,firme,True,Gols sofridos por jogo no 1º tempo,0,provável
sem,tempo,CM,sofre_2t,0,12,32,0.75,0.579,-1.056,"[-1.8, -0.4]",0.00222,0.97,0.00444,firme,True,Gols sofridos por jogo no 2º tempo,0,provável
