chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
c inga,universitario,C. Inga,Universitario,Peru,ZE,Zaga,Explosivo e rápido,28.99,28.99,7.79,48.22,1.95,8886.63,20.6,False
a santamaria,universitario,A. Santamaría,Universitario,Peru,ZD,Zaga,Explosivo e rápido,30.35,30.35,6.75,38.62,1.28,7748.37,3.8,False
e castillo,liverpool,E. Castillo,Liverpool,Uruguai,ZD,Zaga,Motor de volume,28.93,28.93,4.96,35.47,0.7,8827.74,5.3,True
wellington silva,chengdu rongcheng,Wellington Silva,Chengdu Rongcheng,China,ED,Extremo,Baixa intensidade,28.0,28.0,7.83,51.64,1.04,8316.18,,False
romulo,chengdu rongcheng,Rômulo,Chengdu Rongcheng,China,MEI,Meia,Baixa intensidade,25.46,25.46,2.47,34.32,0.41,9287.5,,False
m rivero,boston river,M. Rivero,Boston River,Uruguai,ZD,Zaga,Motor de volume,29.5,29.5,6.77,41.23,0.86,9025.31,5.8,True
g velazquez,cerro porteno,G. Velázquez,Cerro Porteño,Paraguai,ZD,Zaga,Explosivo e rápido,28.92,28.92,7.72,45.73,1.48,8512.13,7.9,False
yuri cesar,shabab al ahli dubai,Yuri César,Shabab Al Ahli Dubai,Emirados,MEI,Meia,Médio em tudo,28.69,28.69,8.52,57.29,1.04,9618.71,,True
paulo victor,,Paulo Victor,América-MG,Série B,CA,Atacante,Explosivo e rápido,30.75,30.75,13.57,73.81,2.75,9804.86,29.72,False
benevenuto,,Benevenuto,Sport,Série B,ZD,Zaga,Baixa intensidade,28.46,28.46,4.3,27.59,0.67,7899.79,2.94,False
l martinez quarta,river plate,L. Martínez Quarta,River Plate,Argentina A,ZD,Zaga,Motor de volume,27.94,27.94,5.64,39.53,0.67,9529.18,10.4,True
