chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
a soto,rosario central,A. Soto,Rosario Central,Argentina A,LE,Lateral,Baixa intensidade,27.79,27.79,7.43,52.81,1.2,9710.72,15.7,False
rhaldney,goztepe,Rhaldney,Göztepe,Turquia,MED,Meia,Médio em tudo,27.91,27.91,8.89,62.62,0.68,10809.12,,True
i rossi,danubio,I. Rossi,Danubio,Uruguai,VOL,Volante,Menos intenso,27.06,27.06,4.74,43.94,0.33,9872.11,11.0,False
v robaldo,alianza atletico,V. Robaldo,Alianza Atlético,Peru,CA,Atacante,Motor de volume,27.58,27.58,8.09,56.78,0.83,9469.48,39.3,True
p pavlov,khorfakkan,P. Pavlov,Khorfakkan,Emirados,LE,Lateral,Baixa intensidade,28.2,28.2,7.87,48.14,0.63,8772.89,,False
a romero,albion,A. Romero,Albion,Uruguai,LD,Lateral,Baixa intensidade,28.28,28.28,7.88,53.03,1.5,9502.12,7.6,False
j bisanz,huracan,J. Bisanz,Huracán,Argentina A,CA,Atacante,Explosivo e rápido,29.69,29.69,18.44,93.51,2.91,10255.91,51.6,False
f tobio,barracas central,F. Tobio,Barracas Central,Argentina A,ZD,Zaga,Baixa intensidade,26.29,26.29,1.8,19.43,0.4,8256.71,2.0,False
calegari,eyupspor,Calegari,Eyüpspor,Turquia,LD,Lateral,Médio em tudo,28.56,28.56,9.98,59.63,1.54,9794.16,,False
n chavez,cd moquegua,N. Chavez,CD Moquegua,Peru,MEI,Meia,Baixa intensidade,26.41,26.41,5.16,45.14,0.84,9230.38,24.2,False
e rubio,delfin,E. Rubio,Delfin,Equador A,LD,Lateral,Baixa intensidade,28.82,28.82,6.21,42.79,1.77,8648.73,9.0,False
dellatorre,,Dellatorre,Vila Nova,Série B,CA,Atacante,Motor de volume,28.39,28.39,11.33,67.01,1.33,9309.99,41.02,True
guilherme,konyaspor,Guilherme,Konyaspor,Turquia,LE,Lateral,Baixa intensidade,28.75,28.75,10.13,60.72,1.95,9312.93,,False
j quiceno,boyaca chico,J. Quiceno,Boyacá Chicó,Colombia A,LE,Lateral,Baixa intensidade,28.51,28.51,8.45,52.9,1.17,8960.8,18.4,False
l blondel,huracan,L. Blondel,Huracán,Argentina A,LD,Lateral,Médio em tudo,27.13,27.13,5.59,49.68,0.8,10058.87,19.8,False
c velez,leones del norte,C. Vélez,Leones del Norte,Equador A,MED,Meia,Baixa intensidade,25.63,25.63,1.98,25.75,0.61,9351.57,11.8,False
p vegetti,cerro porteno,P. Vegetti,Cerro Porteño,Paraguai,CA,Atacante,Baixa intensidade,28.14,28.14,8.95,57.77,1.17,8892.7,24.6,False
o valenzuela,cusco,O. Valenzuela,Cusco,Peru,VOL,Volante,Menos intenso,26.09,26.09,2.75,30.52,0.52,9364.93,10.3,False
g blanc,macara,G. Blanc,Macará,Equador A,VOL,Volante,Menos intenso,25.85,25.85,2.62,31.61,0.27,9087.9,15.1,False
facundo balatti,danubio,Facundo Balatti,Danubio,Uruguai,LD,Lateral,Explosivo e rápido,29.95,29.95,11.56,67.46,3.05,10050.21,19.5,True
kauan ferreira,pacos de ferreira,Kauan Ferreira,Paços de Ferreira,Portugal B,ZD,Zaga,Baixa intensidade,27.44,27.44,4.29,31.62,1.07,8575.84,,False
a medina,lanus,A. Medina,Lanús,Argentina A,VOL,Volante,Intermediário,27.2,27.2,7.57,52.41,0.39,10265.34,22.4,True
victor henrique,ajman,Victor Henrique,Ajman,Emirados,CA,Atacante,Explosivo e rápido,29.94,29.94,15.11,80.73,3.21,9486.28,,False
h gonzalez ojeda,sportivo san lorenzo,H. González Ojeda,Sportivo San Lorenzo,Paraguai,MED,Meia,Médio em tudo,27.37,27.37,8.47,54.32,0.76,10325.28,17.3,True
jordy monroy,deportivo pereira,Jordy Monroy,Deportivo Pereira,Colombia A,ED,Extremo,Baixa intensidade,30.78,30.78,11.78,65.97,2.5,9401.81,33.9,False
j caicedo,huracan,J. Caicedo,Huracán,Argentina A,CA,Atacante,Explosivo e rápido,30.02,30.02,11.67,67.93,2.61,8656.27,28.2,False
m collao,audax italiano,M. Collao,Audax Italiano,Chile,MED,Meia,Baixa intensidade,26.3,26.3,3.53,46.17,0.5,10713.28,15.8,False
g aguilar,club libertad,G. Aguilar,Club Libertad,Paraguai,CA,Atacante,Baixa intensidade,27.33,27.33,8.63,59.26,1.55,9913.14,21.9,False
i zambrano,ldu quito,I. Zambrano,LDU Quito,Equador A,MED,Meia,Médio em tudo,27.67,27.67,6.31,54.5,0.57,9949.43,33.0,True
k osorio,llaneros,K. Osorio,Llaneros,Colombia A,MED,Meia,Baixa intensidade,26.86,26.86,5.06,42.6,0.58,9544.67,29.6,False
j bauman,adt,J. Bauman,ADT,Peru,CA,Atacante,Baixa intensidade,26.84,26.84,6.25,49.94,1.18,8178.04,29.1,False
j toledo,juan pablo ii college,J. Toledo,Juan Pablo II College,Peru,LD,Lateral,Baixa intensidade,27.75,27.75,7.34,50.92,1.64,8536.49,12.7,False
j castro,inter bogota,J. Castro,Inter Bogotá,Colombia A,LD,Lateral,Baixa intensidade,30.12,30.12,9.8,55.22,2.23,8594.05,14.4,False
c gonzalez,sportivo trinidense,C. González,Sportivo Trinidense,Paraguai,CA,Atacante,Baixa intensidade,26.48,26.48,4.11,41.34,0.26,9209.23,22.7,False
e rodas,atletico grau,E. Rodas,Atlético Grau,Peru,LE,Lateral,Médio em tudo,26.6,26.6,7.39,55.35,0.31,9903.41,30.2,False
g bezerra menezes,dibba al fujairah,G. Bezerra Menezes,Dibba Al Fujairah,Emirados,ZE,Zaga,Baixa intensidade,28.51,28.51,5.29,32.74,0.99,8445.97,,False
a hernandez,cerro largo,A. Hernández,Cerro Largo,Uruguai,LD,Lateral,Explosivo e rápido,30.1,30.1,11.41,62.4,2.28,9413.53,17.7,True
c valencia,libertad,C. Valencia,Libertad,Equador A,MED,Meia,Baixa intensidade,27.33,27.33,4.8,39.76,0.92,9122.1,15.5,False
waguininho,,Waguininho,Criciúma,Série B,CA,Atacante,Motor de volume,28.53,28.53,10.4,63.68,1.56,9947.01,35.27,True
mateusao,shabab al ahli dubai,Mateusão,Shabab Al Ahli Dubai,Emirados,CA,Atacante,Explosivo e rápido,31.72,31.72,15.45,76.77,4.04,9252.22,,False
caio lucas,al sharjah,Caio Lucas,Al Sharjah,Emirados,CA,Atacante,Baixa intensidade,28.59,28.59,9.88,58.2,1.19,9095.1,,False
cecilio waterman,univ concepcion, Cecilio Waterman,Univ. Concepción,Chile,CA,Atacante,Baixa intensidade,29.23,29.23,6.68,45.67,1.06,8479.16,27.7,False
e darias,penarol,E. Darias,Peñarol,Uruguai,MED,Meia,Explosivo e rápido,28.22,28.22,8.44,60.71,1.3,10223.45,33.4,False
s salle,sarmiento,S. Salle,Sarmiento,Argentina A,ED,Extremo,Motor de volume,29.75,29.75,14.79,78.11,1.9,10402.44,25.3,False
m sierra,llaneros,M. Sierra,Llaneros,Colombia A,VOL,Volante,Intermediário,27.09,27.09,7.27,51.32,0.9,9343.32,13.0,True
alvaro de oliveira,al bataeh,Alvaro de Oliveira,Al Bataeh,Emirados,CA,Atacante,Explosivo e rápido,30.15,30.15,10.98,58.92,3.06,8970.47,,False
t moschion,albion,T. Moschión,Albion,Uruguai,MED,Meia,Médio em tudo,25.59,25.59,4.81,54.31,0.51,11480.81,17.2,True
maicol leon,huachipato,Maicol León,Huachipato,Chile,LD,Lateral,Médio em tudo,27.6,27.6,8.73,61.08,0.99,10446.53,23.9,False
a sporle,belgrano,A. Spörle,Belgrano,Argentina A,LE,Lateral,Explosivo e rápido,29.27,29.27,13.8,73.79,1.14,9900.62,32.3,True
j quintero,los chankas,J. Quintero,Los Chankas,Peru,CA,Atacante,Baixa intensidade,28.61,28.61,11.15,56.41,2.25,8384.85,28.8,False
f chamorro,la serena,F. Chamorro,La Serena,Chile,MEI,Meia,Explosivo e rápido,27.85,27.85,12.14,78.57,0.49,10683.1,39.0,False
a quinonez,sportivo san lorenzo,A. Quiñónez,Sportivo San Lorenzo,Paraguai,MED,Meia,Baixa intensidade,27.5,27.5,5.52,46.31,0.55,9863.61,18.8,False
a auzmendi,gimnasia la plata,A. Auzmendi,Gimnasia La Plata,Argentina A,CA,Atacante,Explosivo e rápido,28.87,28.87,15.45,84.73,2.31,9709.28,37.9,False
g mainero,platense,G. Mainero,Platense,Argentina A,ED,Extremo,Motor de volume,28.46,28.46,11.95,75.05,1.43,10217.0,26.7,False
f echeguren,deportivo recoleta,F. Echeguren,Deportivo Recoleta,Paraguai,LD,Lateral,Médio em tudo,29.13,29.13,9.78,61.25,1.28,9792.8,19.4,False
k londono,cucuta deportivo,K. Londoño,Cúcuta Deportivo,Colombia A,MED,Meia,Baixa intensidade,27.07,27.07,3.26,31.11,0.48,9803.58,13.5,False
lucas velasquez,huachipato,Lucas Velásquez,Huachipato,Chile,LE,Lateral,Explosivo e rápido,30.04,30.04,13.29,76.97,1.98,10404.01,19.4,True
r aguilar,cienciano,R. Aguilar,Cienciano,Peru,LD,Lateral,Baixa intensidade,27.13,27.13,4.43,33.96,0.71,8338.78,5.2,False
m mendez,tigre,M. Méndez,Tigre,Argentina A,CA,Atacante,Baixa intensidade,27.38,27.38,5.88,44.71,1.65,8682.4,34.2,False
r aliendro,velez sarsfield,R. Aliendro,Vélez Sarsfield,Argentina A,VOL,Volante,Mais intenso,27.11,27.11,8.1,63.23,0.62,9697.22,26.1,True
t habib,racing,T.  Habib,Racing,Uruguai,CA,Atacante,Baixa intensidade,28.4,28.4,11.16,66.14,1.86,9402.38,19.6,False
j larrivey,concepcion,J. Larrivey,Concepción,Chile,CA,Atacante,Baixa intensidade,27.74,27.74,7.43,52.92,0.83,9129.15,23.3,False
r chipao,cd moquegua,R. Chipao,CD Moquegua,Peru,VOL,Volante,Menos intenso,27.06,27.06,3.52,36.66,0.52,9226.74,8.0,False
alex teixeira,panserraikos,Alex Teixeira,Panserraikos,Grecia,CA,Atacante,Baixa intensidade,29.66,29.66,9.96,58.31,1.44,9319.37,,False
n garayalde,liverpool,N. Garayalde,Liverpool,Uruguai,MED,Meia,Baixa intensidade,26.25,26.25,3.15,39.85,0.29,10585.22,13.2,False
o nunez,adt,O. Núñez,ADT,Peru,LE,Lateral,Baixa intensidade,29.6,29.6,9.05,49.95,1.87,8336.66,15.3,False
a caceres,concepcion,A. Cáceres,Concepción,Chile,LD,Lateral,Médio em tudo,29.06,29.06,11.45,66.54,1.33,9970.75,29.8,False
l lemos,mushuc runa,L. Lemos,Mushuc Runa,Equador A,MED,Meia,Baixa intensidade,26.88,26.88,2.56,28.18,0.0,9108.72,9.7,False
r tarragona,central espanol,R. Tarragona,Central Español,Uruguai,CA,Atacante,Baixa intensidade,28.32,28.32,8.37,49.06,1.23,8970.44,26.4,False
a colorado,once caldas,A. Colorado,Once Caldas,Colombia A,MED,Meia,Baixa intensidade,27.2,27.2,5.93,47.97,0.4,9536.49,30.2,False
j medranda,llaneros,J. Medranda,Llaneros,Colombia A,LE,Lateral,Baixa intensidade,27.67,27.67,6.36,45.28,0.74,8637.38,12.8,False
a de la cruz,atletico grau,A. de la Cruz,Atlético Grau,Peru,MED,Meia,Baixa intensidade,26.22,26.22,3.34,38.65,0.4,9965.36,8.7,False
a nadruz,cobresal,A. Nadruz,Cobresal,Chile,VOL,Volante,Menos intenso,26.51,26.51,3.74,41.98,0.08,10768.37,12.8,False
t conechny,racing club,T. Conechny,Racing Club,Argentina A,CA,Atacante,Explosivo e rápido,29.93,29.93,19.85,101.93,3.22,9632.9,44.3,False
r rojas,comerciantes unidos,R. Rojas,Comerciantes Unidos,Peru,LD,Lateral,Baixa intensidade,27.75,27.75,6.58,45.61,1.58,8952.97,19.2,False
l paredes,gimnasia mendoza,L. Paredes,Gimnasia Mendoza,Argentina A,LD,Lateral,Médio em tudo,29.23,29.23,9.94,57.28,1.85,10032.2,17.1,False
yeison suarez,junior,Yeison Súarez,Junior,Colombia A,LE,Lateral,Baixa intensidade,28.84,28.84,10.11,60.56,1.88,8787.51,24.9,False
l mosevich,instituto,L. Mosevich,Instituto,Argentina A,ZD,Zaga,Baixa intensidade,27.18,27.18,3.08,24.58,1.09,8445.2,4.3,False
i fernandez,gimnasia la plata,I. Fernández,Gimnasia La Plata,Argentina A,MEI,Meia,Explosivo e rápido,27.06,27.06,8.86,69.47,0.66,10137.33,45.6,False
r tesuri,atletico tucuman,R. Tesuri,Atlético Tucumán,Argentina A,ED,Extremo,Motor de volume,28.88,28.88,14.85,87.82,1.84,10403.59,36.1,False
g sosa,deportes limache,G. Sosa,Deportes Limache,Chile,CA,Atacante,Baixa intensidade,27.29,27.29,7.53,56.47,0.45,9282.48,21.7,False
f munoz,central espanol,F. Muñoz,Central Español,Uruguai,MED,Meia,Baixa intensidade,25.87,25.87,3.4,48.19,0.0,10878.5,25.4,False
m santos,central cordoba sde,M. Santos,Central Córdoba SdE,Argentina A,CA,Atacante,Baixa intensidade,28.47,28.47,10.36,62.32,1.15,9224.12,30.2,False
b leyes,tigre,B. Leyes,Tigre,Argentina A,MED,Meia,Baixa intensidade,26.8,26.8,4.35,45.15,0.74,10159.73,16.3,False
v mejia,cucuta deportivo,V. Mejía,Cúcuta Deportivo,Colombia A,MED,Meia,Baixa intensidade,27.95,27.95,6.88,51.39,0.35,9165.77,16.3,False
a veliz,rosario central,A. Véliz,Rosario Central,Argentina A,CA,Atacante,Baixa intensidade,28.84,28.84,8.31,53.73,1.57,8823.92,23.3,False
anderson,,Anderson,Vila Nova,Série B,ZE,Zaga,Baixa intensidade,28.6,28.6,5.95,38.76,0.24,8436.17,6.26,False
j florentin,independiente rivadavia,J. Florentín,Independiente Rivadavia,Argentina A,MED,Meia,Baixa intensidade,26.59,26.59,4.84,46.61,0.67,9996.16,18.4,False
f troyansky,audax italiano,F. Troyansky,Audax Italiano,Chile,CA,Atacante,Motor de volume,28.16,28.16,9.65,62.04,1.19,9965.42,37.8,True
j angulo,manta,J. Angulo,Manta,Equador A,CA,Atacante,Baixa intensidade,26.81,26.81,4.24,33.84,1.62,8060.53,19.0,False
saile,al ittihad kalba,Saile,Al Ittihad Kalba,Emirados,MED,Meia,Explosivo e rápido,28.93,28.93,8.15,57.2,1.31,9579.16,,False
a cardozo,lanus,A. Cardozo,Lanús,Argentina A,VOL,Volante,Menos intenso,27.47,27.47,3.94,36.77,0.47,9927.16,10.6,False
l castro,delfin,L. Castro,Delfin,Equador A,MED,Meia,Baixa intensidade,25.71,25.71,3.47,39.01,0.58,9731.68,21.3,False
e rigoni,belgrano,E. Rigoni,Belgrano,Argentina A,ED,Extremo,Motor de volume,28.91,28.91,11.68,71.39,2.04,10050.05,30.6,False
n palma,union la calera,N. Palma,Unión La Calera,Chile,ZE,Zaga,Motor de volume,28.55,28.55,5.35,38.7,1.61,8970.53,5.2,True
d suarez,cerro,D. Suárez,Cerro,Uruguai,LD,Lateral,Baixa intensidade,26.92,26.92,4.72,42.87,1.71,9748.68,11.9,False
thalys,,Thalys,Ponte Preta,Série B,LD,Lateral,Explosivo e rápido,30.09,30.09,12.29,68.1,1.97,9883.64,27.25,True
j rios,junior,J. Ríos,Junior,Colombia A,VOL,Volante,Intermediário,26.93,26.93,4.84,40.53,0.33,8981.33,10.8,True
y quinones,deportivo pereira,Y. Quiñones,Deportivo Pereira,Colombia A,CA,Atacante,Explosivo e rápido,29.07,29.07,12.62,68.3,1.59,9527.92,25.7,False
a cuello,san lorenzo,A. Cuello,San Lorenzo,Argentina A,CA,Atacante,Explosivo e rápido,30.56,30.56,15.66,77.47,2.91,9425.79,38.7,False
e herrera,san lorenzo,E. Herrera,San Lorenzo,Argentina A,LD,Lateral,Baixa intensidade,28.54,28.54,7.04,47.45,0.93,9054.37,12.0,False
d arroyo,guayaquil city,D. Arroyo,Guayaquil City,Equador A,MED,Meia,Baixa intensidade,26.5,26.5,4.79,38.83,0.33,9762.66,14.0,False
yimmi chara,junior,Yimmi Chará,Junior,Colombia A,MEI,Meia,Médio em tudo,29.88,29.88,7.15,48.03,1.01,8659.7,37.9,True
i poblete,universidad de chile,I. Poblete,Universidad de Chile,Chile,MED,Meia,Médio em tudo,26.95,26.95,9.26,73.83,0.79,10652.55,31.8,True
a maiz,sportivo luqueno,A. Maíz,Sportivo Luqueño,Paraguai,MED,Meia,Médio em tudo,28.59,28.59,8.15,50.5,1.34,9180.07,14.2,True
c olivares,deportivo garcilaso,C. Olivares,Deportivo Garcilaso,Peru,CA,Atacante,Baixa intensidade,28.48,28.48,10.14,61.87,1.57,8363.93,28.1,False
m de ritis,san lorenzo,M. De Ritis,San Lorenzo,Argentina A,LE,Lateral,Médio em tudo,27.94,27.94,9.42,65.12,1.7,9973.54,19.8,False
l arroyo,aucas,L. Arroyo,Aucas,Equador A,CA,Atacante,Motor de volume,30.09,30.09,10.96,63.75,1.93,9380.89,41.7,True
p guerrero,alianza lima,P. Guerrero,Alianza Lima,Peru,CA,Atacante,Baixa intensidade,27.21,27.21,5.0,41.64,0.64,8194.87,25.5,False
r santa cruz,nacional asuncion,R. Santa Cruz,Nacional Asunción,Paraguai,CA,Atacante,Baixa intensidade,27.04,27.04,6.97,56.97,0.59,9431.39,19.6,False
e gomez,velez sarsfield,E. Gómez,Vélez Sarsfield,Argentina A,LE,Lateral,Baixa intensidade,28.48,28.48,10.23,61.33,1.21,9122.01,22.6,False
c paz,deportivo riestra,C. Paz,Deportivo Riestra,Argentina A,ZD,Zaga,Baixa intensidade,27.33,27.33,5.68,38.07,0.43,9092.93,2.8,False
l suarez,sarmiento,L. Suárez,Sarmiento,Argentina A,LE,Lateral,Baixa intensidade,26.6,26.6,5.61,43.57,1.04,9209.87,17.5,False
l esteche,sportivo san lorenzo,L. Esteche,Sportivo San Lorenzo,Paraguai,LD,Lateral,Baixa intensidade,29.62,29.62,9.94,56.72,1.26,9669.82,14.8,False
j perez,guarani,J. Pérez,Guaraní,Paraguai,LD,Lateral,Explosivo e rápido,29.23,29.23,11.71,70.11,1.85,9936.69,26.1,True
k caicedo,llaneros,K. Caicedo,Llaneros,Colombia A,EE,Extremo,Explosivo e rápido,30.01,30.01,14.94,77.73,2.05,9562.38,29.5,True
f sartori,independiente rivadavia,F. Sartori,Independiente Rivadavia,Argentina A,CA,Atacante,Explosivo e rápido,29.52,29.52,15.43,79.73,2.24,9757.87,27.6,False
o bosso,nublense,O. Bosso,Ñublense,Chile,ZD,Zaga,Baixa intensidade,27.56,27.56,3.3,28.3,0.16,8596.99,2.8,False
f romero,estudiantes rio cuarto,F. Romero,Estudiantes Río Cuarto,Argentina A,VOL,Volante,Menos intenso,26.09,26.09,3.82,40.88,0.13,10475.44,13.2,False
m llontop,sport boys,M. Llontop,Sport Boys,Peru,LE,Lateral,Médio em tudo,27.62,27.62,9.26,59.43,0.97,9488.28,26.6,False
k sandoval,deportivo garcilaso,K. Sandoval,Deportivo Garcilaso,Peru,ED,Extremo,Baixa intensidade,27.66,27.66,9.0,59.16,0.79,9357.86,32.7,False
saymon cabral,dibba al fujairah,Saymon Cabral,Dibba Al Fujairah,Emirados,ED,Extremo,Baixa intensidade,28.41,28.41,9.45,59.79,1.74,9028.75,,False
f mac allister,la serena,F. Mac Allister,La Serena,Chile,VOL,Volante,Intermediário,27.17,27.17,5.38,49.58,0.4,9705.86,18.5,True
kaue rodrigues,porto ii,Kauê Rodrigues,Porto II,Portugal B,MED,Meia,Explosivo e rápido,28.85,28.85,10.86,70.25,1.44,10084.71,,False
marcelinho,al dhafra,Marcelinho,Al Dhafra,Emirados,CA,Atacante,Baixa intensidade,28.1,28.1,9.81,55.84,1.83,9032.99,,False
c diez,cusco,C. Diez,Cusco,Peru,MED,Meia,Médio em tudo,26.29,26.29,6.3,50.91,0.83,10143.72,26.1,True
vinicius diniz,,Vinicius Diniz,Operário-PR,Série B,MED,Meia,Médio em tudo,27.11,27.11,6.4,51.31,0.65,10159.97,28.81,True
g benedetti,estudiantes,G. Benedetti,Estudiantes,Argentina A,LE,Lateral,Médio em tudo,27.73,27.73,9.87,63.21,1.26,10024.4,27.4,False
f fernandez,guarani,F. Fernández,Guaraní,Paraguai,CA,Atacante,Baixa intensidade,26.45,26.45,5.95,46.69,0.94,8386.79,18.3,False
j anangono,leones del norte,J. Anangonó,Leones del Norte,Equador A,CA,Atacante,Baixa intensidade,28.79,28.79,6.65,41.6,1.73,7999.15,18.9,False
a gordillo,alianza atletico,A. Gordillo,Alianza Atlético,Peru,LE,Lateral,Baixa intensidade,28.78,28.78,9.28,54.3,1.59,9010.76,25.8,False
n goitea,newell s old boys,N. Goitea,Newell's Old Boys,Argentina A,ZE,Zaga,Baixa intensidade,28.6,28.6,4.93,34.82,0.87,8737.23,6.0,False
s da silva,racing,S. da Silva,Racing,Uruguai,CA,Atacante,Explosivo e rápido,29.83,29.83,12.29,70.01,2.78,9338.05,24.9,False
thalisson,genclerbirligi,Thalisson,Gençlerbirliği,Turquia,LE,Lateral,Baixa intensidade,29.12,29.12,7.75,47.55,1.27,8832.51,,False
b baldini,,B. Baldini,Avaí,Série B,ZE,Zaga,Motor de volume,29.48,29.48,8.61,48.26,0.77,8566.09,5.95,True
f sosa,central espanol,F. Sosa,Central Español,Uruguai,ED,Extremo,Motor de volume,28.17,28.17,13.51,81.24,1.44,10421.72,19.4,False
a dos santos alvez,nacional,A. dos Santos Álvez,Nacional,Uruguai,MED,Meia,Explosivo e rápido,27.1,27.1,11.23,79.24,0.83,11499.83,27.7,False
danny,lusitania fc lourosa,Danny,Lusitania FC Lourosa,Portugal B,LD,Lateral,Explosivo e rápido,30.15,30.15,14.59,77.08,3.65,9174.25,,True
carlos gomez,fc cajamarca,Carlos Gómez,FC Cajamarca,Peru,LD,Lateral,Baixa intensidade,28.73,28.73,9.95,57.35,1.87,8908.0,19.3,False
f guch,newell s old boys,F. Guch,Newell's Old Boys,Argentina A,MEI,Meia,Médio em tudo,27.3,27.3,8.12,65.78,0.91,10399.96,37.8,True
g alanis,estudiantes rio cuarto,G. Alanís,Estudiantes Río Cuarto,Argentina A,EE,Extremo,Motor de volume,27.94,27.94,13.64,83.25,1.59,10521.47,34.4,False
i russo,tigre,I. Russo,Tigre,Argentina A,CA,Atacante,Baixa intensidade,28.95,28.95,9.66,57.48,1.72,8967.63,35.4,False
r ruiz diaz,rubio nu,R. Ruiz Díaz,Rubio Ñú,Paraguai,CA,Atacante,Motor de volume,29.02,29.02,12.94,74.73,1.79,9882.62,30.9,True
e davila,mushuc runa,E. Dávila,Mushuc Runa,Equador A,MED,Meia,Médio em tudo,28.25,28.25,7.23,53.25,0.18,10224.54,27.1,True
f hinestroza,atletico bucaramanga,F. Hinestroza,Atlético Bucaramanga,Colombia A,LE,Lateral,Baixa intensidade,28.17,28.17,7.57,49.25,0.98,8982.47,18.4,False
matheus araujo,,Matheus Araújo,Ceará,Série B,MEI,Meia,Explosivo e rápido,28.28,28.28,10.98,73.06,0.57,10179.48,56.02,False
c baeza,velez sarsfield,C. Baeza,Vélez Sarsfield,Argentina A,VOL,Volante,Intermediário,27.19,27.19,6.64,54.26,0.57,10275.55,11.1,True
serginho,fatih karagumruk,Serginho,Fatih Karagümrük,Turquia,CA,Atacante,Motor de volume,28.56,28.56,13.47,82.71,1.55,10077.22,,True
r jaramillo,orense,R. Jaramillo,Orense,Equador A,VOL,Volante,Intermediário,27.66,27.66,6.02,45.86,0.64,9224.42,16.5,True
t guidara,lanus,T. Guidara,Lanús,Argentina A,LD,Lateral,Baixa intensidade,28.92,28.92,10.51,61.99,1.82,9635.82,17.3,False
c ibanez,huracan,C. Ibáñez,Huracán,Argentina A,LE,Lateral,Baixa intensidade,27.72,27.72,7.2,48.72,0.64,9159.42,16.6,False
yulian gomez,inter bogota,Yulian Gomez,Inter Bogotá,Colombia A,LE,Lateral,Baixa intensidade,29.81,29.81,11.75,62.99,2.67,9104.76,17.4,False
r mierez,al nasr,R. Miérez,Al Nasr,Emirados,CA,Atacante,Motor de volume,28.73,28.73,11.88,67.01,1.41,9613.64,,True
h caballero,club libertad,H. Caballero,Club Libertad,Paraguai,MED,Meia,Baixa intensidade,27.41,27.41,5.62,44.45,0.16,10358.0,16.6,False
j dinenno,deportivo cali,J. Dinenno,Deportivo Cali,Colombia A,CA,Atacante,Baixa intensidade,26.98,26.98,7.62,60.16,0.77,9389.62,29.4,False
d martinez,volos nfc,D. Martínez,Volos NFC,Grecia,MED,Meia,Baixa intensidade,26.73,26.73,4.97,46.55,0.29,10770.97,18.5,False
a medina,manta,A. Medina,Manta,Equador A,LD,Lateral,Baixa intensidade,28.1,28.1,5.58,39.29,1.5,8464.19,10.6,False
e piovi,estudiantes,E. Piovi,Estudiantes,Argentina A,VOL,Volante,Intermediário,27.83,27.83,4.94,43.64,0.41,9715.58,15.4,True
j palomino,los chankas,J. Palomino,Los Chankas,Peru,VOL,Volante,Intermediário,27.76,27.76,3.59,40.68,0.65,9271.14,17.4,True
a castillo,cobresal,A. Castillo,Cobresal,Chile,LE,Lateral,Médio em tudo,29.13,29.13,10.06,62.63,1.66,9798.04,20.1,False
j valverde,emelec,J. Valverde,Emelec,Equador A,VOL,Volante,Intermediário,27.93,27.93,3.43,31.39,0.77,8776.69,8.5,True
guido vadala,coquimbo unido,Guido Vadalá,Coquimbo Unido,Chile,MEI,Meia,Explosivo e rápido,29.77,29.77,13.74,81.98,1.65,10167.39,49.1,False
m garnerone,estudiantes rio cuarto,M. Garnerone,Estudiantes Río Cuarto,Argentina A,CA,Atacante,Motor de volume,28.59,28.59,10.69,67.06,0.69,10022.42,53.5,True
i jeraldino,nublense,I. Jeraldino,Ñublense,Chile,CA,Atacante,Baixa intensidade,26.93,26.93,6.48,56.09,1.28,9983.82,27.9,False
diego barrera,central cordoba sde,Diego Barrera,Central Córdoba SdE,Argentina A,EE,Extremo,Motor de volume,27.24,27.24,5.45,46.95,0.76,10268.07,,False
j collazos,cd moquegua,J. Collazos,CD Moquegua,Peru,CA,Atacante,Baixa intensidade,26.97,26.97,5.38,42.34,0.57,8540.04,30.5,False
j jimenez,manta,J. Jiménez,Manta,Equador A,MED,Meia,Baixa intensidade,27.08,27.08,6.24,51.97,0.21,9962.13,19.5,False
f ayunta,delfin,F. Ayunta,Delfin,Equador A,CA,Atacante,Baixa intensidade,28.41,28.41,9.75,62.2,1.42,9210.84,24.5,False
v moreno,tigre,V. Moreno,Tigre,Argentina A,LD,Lateral,Baixa intensidade,29.25,29.25,9.87,59.47,2.56,9372.43,20.5,False
v griffith,emelec,V. Griffith,Emelec,Equador A,VOL,Volante,Menos intenso,27.37,27.37,3.89,33.47,0.13,9555.46,7.0,False
l ayala,macara,L. Ayala,Macará,Equador A,LE,Lateral,Baixa intensidade,28.25,28.25,7.54,48.56,1.29,8804.35,19.1,False
s costa,albion,S. Costa,Albion,Uruguai,MEI,Meia,Explosivo e rápido,28.61,28.61,12.92,77.58,0.98,10451.99,,False
a ojeda,adt,Á. Ojeda,ADT,Peru,LE,Lateral,Baixa intensidade,27.93,27.93,5.48,40.28,0.84,8565.67,15.0,False
t wilke,fortaleza,T. Wilke,Fortaleza,Colombia A,CA,Atacante,Baixa intensidade,28.65,28.65,8.43,59.41,2.41,9039.21,24.3,False
a aguas,leones del norte,A. Aguas,Leones del Norte,Equador A,ZD,Zaga,Motor de volume,26.24,26.24,4.39,36.83,0.55,9190.55,12.5,True
f montes,palestino,F. Montes,Palestino,Chile,MED,Meia,Médio em tudo,27.43,27.43,7.49,59.56,0.18,10977.24,32.6,True
l gomez,banfield,L. Gómez,Banfield,Argentina A,EE,Extremo,Motor de volume,26.62,26.62,10.2,72.92,1.19,10729.46,35.0,False
