ano,clube,jogador,pos11,setor,tipo,minutos,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,Duelos/90,"Duelos ganhos, %","Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Duelos ofensivos/90,Dribles/90,Corridas progressivas/90,Toques na área/90,Acções atacantes com sucesso/90,xgxa90,ga90,Interseções/90
2023,Ituano,Rafael Pereira,ZE,Zaga,Baixa intensidade,1465,28.01,3.8,29.2,0.13,8442.87,4.51,8.97,58.9,70.18,48.28,0.74,0.25,0.18,0.61,0.25,0.03,0.0,4.18
2023,Juventude,Danilo Boza,ZD,Zaga,Explosivo e rápido,3888,30.05,7.66,45.45,1.07,9396.14,11.97,11.74,62.92,76.83,57.27,1.57,0.32,1.48,0.97,0.46,0.11,0.05,4.14
2023,Juventude,Zé Marcos,ZE,Zaga,Motor de volume,2704,28.44,5.34,39.66,0.58,9338.23,10.6,15.01,56.54,61.97,59.9,1.83,0.57,0.93,0.73,0.5,0.08,0.0,3.96
2023,Juventude,Luiz Gustavo,ZD,Zaga,Explosivo e rápido,1146,29.87,8.35,49.92,2.31,9157.69,11.75,13.9,58.19,64.29,54.84,1.26,0.31,0.79,0.47,0.39,0.05,0.08,3.46
2023,Londrina,Rafael Vaz,ZE,Zaga,Baixa intensidade,1734,27.9,2.64,23.32,0.67,8227.33,6.6,11.47,59.28,64.29,54.55,1.92,0.78,1.09,0.52,1.04,0.060000000000000005,0.0,4.78
2023,Londrina,Patrick,ZE,Zaga,Explosivo e rápido,1610,29.48,7.48,42.83,1.17,9023.55,8.52,13.08,58.55,68.35,56.6,0.89,0.22,0.73,0.89,0.17,0.04,0.0,5.42
2023,Mirassol,Thalisson,ZD,Zaga,Baixa intensidade,2506,29.18,4.23,30.64,0.36,8650.13,7.12,11.74,57.19,60.32,63.41,0.86,0.22,1.51,0.5,0.4,0.06999999999999999,0.15,3.2
2023,Mirassol,Rodrigo Sam,ZD,Zaga,Motor de volume,1630,28.94,6.22,39.42,0.9,8843.14,7.32,16.9,63.07,61.29,68.27,3.53,0.99,1.21,0.44,0.83,0.04,0.0,4.8
2023,Novorizontino,Adriano Martins,ZD,Zaga,Motor de volume,3420,28.82,6.73,42.84,1.02,9660.1,9.43,15.34,63.81,68.09,60.31,1.58,0.61,1.63,0.68,0.76,0.11,0.03,4.92
2023,Novorizontino,César Martins,ZD,Zaga,Explosivo e rápido,2586,30.55,9.8,51.74,1.39,9204.72,9.55,11.55,63.55,67.35,70.34,1.25,0.52,0.03,1.04,0.63,0.16,0.17,5.88
2023,Novorizontino,Ligger,ZE,Zaga,Motor de volume,1857,28.88,7.45,45.6,0.97,9621.81,9.15,17.84,64.4,68.75,73.57,1.84,0.58,0.97,0.68,0.82,0.06999999999999999,0.0,5.19
2023,Novorizontino,Renato Palm,ZE,Zaga,Motor de volume,1790,29.0,5.43,38.07,0.72,9443.26,5.15,13.73,69.23,69.09,72.17,0.65,0.2,0.65,0.45,0.25,0.02,0.0,5.23
2023,Ponte Preta,Fábio Sanches,ZE,Zaga,Baixa intensidade,2486,29.06,5.39,34.99,1.05,8347.31,3.05,11.01,60.86,66.67,58.27,0.91,0.11,0.07,0.33,0.14,0.04,0.0,5.21
2023,Ponte Preta,Mateus Silva,ZD,Zaga,Baixa intensidade,2412,27.34,4.02,31.64,1.15,8783.41,7.58,10.63,64.56,63.46,67.65,1.23,0.52,1.01,0.49,0.52,0.06,0.0,5.9
2023,Sampaio Corrêa,Gustavo Henrique,ZD,Zaga,Explosivo e rápido,2836,29.94,7.23,42.81,1.27,8824.97,7.41,12.28,60.47,70.92,49.59,2.03,0.67,0.67,0.19,0.54,0.01,0.0,5.24
2023,Sampaio Corrêa,Gabriel Furtado,ZE,Zaga,Baixa intensidade,1372,27.32,4.0,31.02,0.72,8548.65,4.19,11.68,69.66,67.39,74.68,1.64,0.66,0.66,0.72,0.66,0.04,0.0,5.51
2023,Sampaio Corrêa,Ícaro,ZD,Zaga,Baixa intensidade,998,27.85,4.59,32.11,0.45,8744.18,3.49,9.38,59.62,63.04,53.13,0.36,0.09,0.54,0.09,0.0,0.03,0.0,5.59
2023,Sampaio Corrêa,Joécio,ZE,Zaga,Motor de volume,942,29.48,6.01,36.52,0.29,8909.11,5.7,13.09,61.31,66.67,62.12,0.86,0.19,0.86,0.67,0.38,0.07,0.1,3.34
2023,Sampaio Corrêa,Rafael Jansen,ZE,Zaga,Motor de volume,933,28.89,6.94,41.56,0.96,8810.64,6.22,11.48,57.14,65.63,57.41,0.77,0.39,0.68,0.58,0.19,0.05,0.0,4.63
2023,Sport,Rafael Thyere,ZD,Zaga,Baixa intensidade,3114,27.43,3.95,31.07,0.43,8828.42,7.55,9.68,59.1,67.39,56.47,0.81,0.32,1.91,0.49,0.38,0.08,0.09,4.6
2023,Sport,Sabino,ZE,Zaga,Baixa intensidade,2952,28.9,4.62,29.33,0.73,8342.3,2.91,11.95,57.14,66.42,57.67,1.25,0.43,1.86,1.1,0.64,0.12,0.03,4.82
2023,Sport,Chico,ZE,Zaga,Baixa intensidade,1018,29.03,5.21,34.95,0.62,8729.91,4.88,12.02,61.03,67.92,55.1,1.24,0.35,0.88,0.71,0.53,0.01,0.0,3.98
2023,Tombense,Roger Carvalho,ZE,Zaga,Baixa intensidade,2351,27.58,3.17,23.31,0.38,8132.4,1.36,11.75,61.24,71.43,54.76,0.88,0.11,0.11,0.5,0.08,0.06,0.0,4.02
2023,Tombense,Augusto,ZD,Zaga,Baixa intensidade,2308,27.97,3.35,26.25,0.47,7871.74,3.43,16.77,61.16,67.63,60.48,3.16,1.4,0.58,0.9,1.13,0.09999999999999999,0.0,4.72
2023,Tombense,Wesley Marth,ZD,Zaga,Baixa intensidade,1111,27.79,4.7,33.71,0.24,8738.91,5.51,10.86,55.97,61.11,50.94,1.22,0.32,1.54,0.41,0.24,0.01,0.0,3.24
2023,Vila Nova,Rafael Donato,ZD,Zaga,Baixa intensidade,3808,28.7,4.25,29.91,0.97,8442.17,5.21,13.52,65.91,73.77,64.71,0.73,0.12,0.19,1.16,0.35,0.11,0.14,5.18
2023,Vila Nova,Eduardo Doma,ZE,Zaga,Baixa intensidade,3487,28.35,4.33,30.6,0.33,8710.26,4.59,12.03,57.08,59.17,56.68,0.46,0.05,0.52,0.65,0.28,0.11,0.05,4.8
2023,Vitória,Wagner Leonardo,ZE,Zaga,Baixa intensidade,3546,28.74,5.25,35.68,1.01,8484.68,6.65,12.28,65.08,74.87,62.13,1.73,0.56,1.14,0.71,0.69,0.1,0.13,5.25
2023,Vitória,Camutanga,ZD,Zaga,Baixa intensidade,3069,28.71,4.89,34.11,0.97,8280.71,4.17,11.96,66.67,71.27,65.89,1.41,0.41,0.15,0.26,0.44,0.05,0.09,5.19
2023,Vitória,Yan Souto,ZD,Zaga,Explosivo e rápido,1017,29.97,8.47,48.79,1.76,8844.38,9.97,15.31,49.71,66.67,43.75,2.57,1.15,0.8,0.71,1.06,0.12,0.0,4.6
2024,Amazonas,Alexis Alvariño,ZD,Zaga,Baixa intensidade,2789,28.23,3.42,27.71,0.61,8394.27,9.33,8.52,53.03,64.49,43.96,0.77,0.23,1.03,0.48,0.26,0.08,0.03,3.94
2024,Amazonas,Miranda,ZD,Zaga,Baixa intensidade,2685,28.23,4.75,31.88,0.47,8430.18,6.01,13.44,63.59,75.98,52.34,1.27,0.3,1.11,0.5,0.4,0.08,0.07,4.96
2024,América-MG,Ricardo Silva,ZD,Zaga,Motor de volume,3087,29.74,5.96,38.26,0.59,9071.19,6.81,13.44,68.11,71.35,72.0,1.25,0.15,0.09,0.32,0.15,0.04,0.0,3.76
2024,América-MG,Éder,ZE,Zaga,Motor de volume,2507,28.36,5.01,37.07,1.04,9035.9,8.76,9.87,63.27,62.71,65.0,0.72,0.14,0.9,0.47,0.32,0.060000000000000005,0.04,3.7
2024,América-MG,Lucão,ZE,Zaga,Motor de volume,1514,28.45,5.48,37.62,0.64,9238.53,8.67,8.62,64.14,61.4,70.83,0.59,0.12,1.01,0.36,0.3,0.06,0.12,4.16
2024,Avaí,Tiago Pagnussat,ZD,Zaga,Motor de volume,3296,28.16,4.6,33.64,0.54,9085.51,7.03,13.02,65.62,68.16,69.48,0.74,0.33,0.52,0.87,0.41,0.1,0.16,4.78
2024,Avaí,Vilar,ZE,Zaga,Motor de volume,2541,28.73,5.33,36.2,0.67,9200.42,8.08,13.18,63.98,72.14,66.19,1.2,0.14,0.57,0.28,0.07,0.05,0.0,4.29
