ano,clube,psv_min_kmh,psv_max_kmh,psv_amp_kmh,psv_media_kmh,mais_lento,mais_lento_setor,pontos,pos,faixa,rendimento,ppj,log_valor,dist_g4
2023,Vila Nova,27.57,29.9,2.3299999999999983,28.794999999999998,Igor Henrique,Atacante,61,8,Meio,0.3302481759862095,1.605263157894737,16.164502023772474,-3
2023,Vitória,27.24,29.84,2.6000000000000014,28.605,Léo Gamalho,Atacante,72,1,Sobe,0.5430094217663612,1.894736842105263,16.456352009373035,8
2024,Amazonas,26.69,32.15,5.459999999999997,28.698000000000008,Cauan Barros,Meia,52,11,Meio,0.11428842155292807,1.368421052631579,16.08505579688012,-12
2024,América-MG,26.17,29.74,3.5699999999999967,28.262999999999998,F. Elizari,Meia,58,7,Meio,0.040881277783413106,1.5263157894736843,16.96503630469768,-6
2024,Avaí,27.06,31.39,4.330000000000002,28.603999999999996,Giovanni,Atacante,53,10,Meio,-0.036790844825395075,1.394736842105263,16.759949537130716,-11
2024,Botafogo-SP,26.73,31.25,4.52,28.806,João Costa,Volante,45,14,Meio,-0.06581500763510828,1.1842105263157894,16.06943047897704,-19
2024,Brusque,27.31,30.92,3.610000000000003,28.666999999999994,Rodolfo Potiguar,Volante,36,19,Cai,-0.23983179110346897,0.9473684210526315,15.830413578506539,-28
2024,CRB,27.25,30.36,3.1099999999999994,28.377,Saimon,Zaga,43,16,Meio,-0.21350572927073252,1.131578947368421,16.43107990627232,-21
2024,Ceará,27.6,31.86,4.259999999999998,29.237000000000002,Patrick De Lucca,Meia,64,4,Sobe,0.18345478256664194,1.6842105263157894,17.02332543547305,0
2024,Chapecoense,25.97,29.51,3.5400000000000027,27.921,Tárik,Volante,44,15,Meio,-0.1086443524692362,1.1891891891891893,16.25131449474454,-20
2024,Coritiba,28.0,30.14,2.1400000000000006,29.006999999999998,Bruno Melo,Zaga,50,13,Meio,-0.2531709005052454,1.3157894736842106,17.282807741330952,-14
2024,Goiás,27.33,31.89,4.560000000000002,29.258,David Braz,Zaga,63,6,Meio,0.11749536721150822,1.6578947368421053,17.174148325207632,-1
2024,Guarani,26.16,31.1,4.940000000000001,28.731,Gabriel Bispo,Meia,33,20,Cai,-0.5843585163982439,0.868421052631579,16.84080163375981,-31
2024,Ituano,26.95,30.08,3.129999999999999,28.576,José Aldo,Meia,37,18,Cai,-0.32241815779428873,0.9736842105263158,16.244728301891687,-27
2024,Mirassol,27.35,30.41,3.0599999999999987,28.542,Lucas Gazal,Zaga,67,2,Sobe,0.36125256707631914,1.763157894736842,16.647252231409034,3
2024,Novorizontino,27.26,29.77,2.509999999999998,28.451999999999998,Willian Farias,Meia,64,5,Meio,0.3963412340840158,1.6842105263157894,16.213405830762646,0
